lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
правда	NOUN	1918	1918-1990	1918-1990_правда_3854		"С выходом статьи 15 февраля 1990 г. в ""Комсомольской правде"" я прочел следующее: ""Уехал в Афганистан со своей собакой Чарой, крикнешь ""Умри!"", и она падает."	53:59	0:156	3854	rushifteval	ru
правда	NOUN	1992	1992-2016	1992-2016_правда_3855		Справедливость сия есть правда.	24:30	0:31	3855	rushifteval	ru
правда	NOUN	1918	1918-1990	1918-1990_правда_3856		-- Это правда На сколько За что -- Лина задавала эти вопросы бессознательно, как бессознательно стала тут же наливать воду, чтобы мыть Тальку.	7:13	0:142	3856	rushifteval	ru
правда	NOUN	1992	1992-2016	1992-2016_правда_3857		По правде сказать, бетонная коробка на открытке выглядит убого, хотя архитекторы постарались придать ей какую-то оригинальность, выстроив некое подобие арки перед входом.	3:9	0:170	3857	rushifteval	ru
правда	NOUN	1918	1918-1990	1918-1990_правда_3858		Но зачем же без нужды отбирать из реальной жизни то, что полагается отбрасывать, как ненужный сор Такая задача и такая правда антихудожественны, и впечатление от них будет такое же.	119:125	0:181	3858	rushifteval	ru
правда	NOUN	1992	1992-2016	1992-2016_правда_3859		-- Есть, правда, запасной вариант в другом медицинском.	9:15	0:55	3859	rushifteval	ru
правда	NOUN	1918	1918-1990	1918-1990_правда_3860		Читателей можно было разделить на три части; передовая молодежь встретила поэму восторженно; другие были ошеломлены и не сразу поняли ее, а поняв, почувствовали в ней глубокую правду.	176:182	0:183	3860	rushifteval	ru
правда	NOUN	1992	1992-2016	1992-2016_правда_3861		"Несколько респондентов отметили, что хотели бы получать достоверную информацию о кредитах в рекламных сообщениях: ""...очень много неправильной информации даётся, хотелось бы, чтобы писали правду о кредите"" (интервью 12)."	188:194	0:220	3861	rushifteval	ru
правда	NOUN	1918	1918-1990	1918-1990_правда_3862		Он писал правду в форме диалога, он наделял почти всех персонажей способностью говорить, а следовательно, мыслить поэтично -- образно.	9:15	0:134	3862	rushifteval	ru
правда	NOUN	1992	1992-2016	1992-2016_правда_3863		Петр Семенович вскинул руки: -- Разве не проще допустить, что все это правда и вести себя лучше, чем упрямо отрицать, а потом очень страдать!	70:76	0:141	3863	rushifteval	ru
