identifier1	identifier2	annotator	judgment	comment	lemma
4034	4035	0	1		проникновение
4034	4035	1	2		проникновение
4034	4035	2	1		проникновение
4036	4037	0	2		проникновение
4036	4037	1	1		проникновение
4036	4037	2	1		проникновение
4038	4039	0	2		проникновение
4038	4039	1	1		проникновение
4038	4039	2	2		проникновение
4040	4041	0	3		проникновение
4040	4041	1	4		проникновение
4040	4041	2	1		проникновение
4042	4043	0	4		проникновение
4042	4043	1	4		проникновение
4042	4043	2	3		проникновение
4044	4045	0	4		проникновение
4044	4045	1	4		проникновение
4044	4045	2	3		проникновение
4046	4047	0	1		проникновение
4046	4047	1	1		проникновение
4046	4047	2	1		проникновение
4048	4049	0	2		проникновение
4048	4049	1	3		проникновение
4048	4049	2	4		проникновение
4050	4051	0	2		проникновение
4050	4051	1	4		проникновение
4050	4051	2	3		проникновение
4052	4053	0	4		проникновение
4052	4053	1	2		проникновение
4052	4053	2	4		проникновение
4054	4055	0	4		проникновение
4054	4055	1	1		проникновение
4054	4055	2	2		проникновение
4056	4057	0	4		проникновение
4056	4057	1	4		проникновение
4056	4057	2	4		проникновение
4058	4059	0	1		проникновение
4058	4059	1	2		проникновение
4058	4059	2	1		проникновение
4060	4061	0	3		проникновение
4060	4061	1	2		проникновение
4060	4061	2	3		проникновение
4062	4063	0	2		проникновение
4062	4063	1	2		проникновение
4062	4063	2	4		проникновение
4064	4065	0	4		проникновение
4064	4065	1	4		проникновение
4064	4065	2	4		проникновение
4066	4067	0	4		проникновение
4066	4067	1	2		проникновение
4066	4067	2	4		проникновение
4068	4069	0	4		проникновение
4068	4069	1	4		проникновение
4068	4069	2	4		проникновение
4070	4071	0	4		проникновение
4070	4071	1	1		проникновение
4070	4071	2	1		проникновение
4072	4073	0	4		проникновение
4072	4073	1	3		проникновение
4072	4073	2	4		проникновение
4074	4075	0	1		проникновение
4074	4075	1	3		проникновение
4074	4075	2	1		проникновение
4076	4077	0	1		проникновение
4076	4077	1	1		проникновение
4076	4077	2	1		проникновение
4078	4079	0	2		проникновение
4078	4079	1	2		проникновение
4078	4079	2	3		проникновение
4080	4081	0	4		проникновение
4080	4081	1	4		проникновение
4080	4081	2	4		проникновение
4082	4083	0	2		проникновение
4082	4083	1	3		проникновение
4082	4083	2	3		проникновение
4084	4085	0	3		проникновение
4084	4085	1	3		проникновение
4084	4085	2	3		проникновение
4086	4087	0	4		проникновение
4086	4087	1	3		проникновение
4086	4087	2	4		проникновение
4088	4089	0	4		проникновение
4088	4089	1	1		проникновение
4088	4089	2	4		проникновение
4090	4091	0	3		проникновение
4090	4091	1	1		проникновение
4090	4091	2	2		проникновение
4092	4093	0	1		проникновение
4092	4093	1	4		проникновение
4092	4093	2	3		проникновение
