lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4084-15		Как папа, так и мама не оберегали нас от проникновения в нашу жизнь больших, высоких понятий и представлений.	41:54	0:109
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4064-15		Тем самым можно считать доказанным, что цветные кирлиановские фотографии появляются за счет проникновения электронов на различную глубину фотослоя.	92:105	0:147
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4068-15		Ответы на вопросы Экселенца я получил: Абалкин НЕ интересовался работой Глумовой, Абалкин НЕ намеревался использовать ее для проникновения в музей.	125:138	0:147
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4058-15		Впрочем, до того как Володя взял меня в плен, я достоверно и с большим проникновением в роль сыграл труп будущего пленного турка.	71:85	0:129
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4038-15		Бурные успехи физики, химии, кибернетики, других точных наук позволили использовать их методы и для проникновения в сущность жизненных явлений.	100:113	0:143
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4054-15		Психотерапевтический момент играет большую или меньшую роль при всяком лечении, и конечно успех всех известных врачей-интернистов помимо их большого диагностического проникновения зависел в значительной мере от того, что они обладали даром вчувствования в психику больного, были психотерапевтами по интуиции.	166:179	0:308
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4052-15		Что же будет со мною" История производства Макарова в гардемарины -- яркий образец волокиты всероссийской канцелярской машины; не оставляет сомнения, что вся эта волокита была затеяна сознательно, с целью создать побольше препятствий для проникновения во флот лиц недворянского происхождения.	238:251	0:292
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4050-15		Представляется полная возможность осветить светом цифр нашу партию, ее личный состав, основные, происходящие в нем процессы, достижения в деле улучшения состава, проникновения партии в массы и пр. Статистическое подлежащее и статистическое сказуемое.	162:175	0:250
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4062-15		Да и арсенал средств решения этих проблем ныне столь велик, что без знаний общего характера, без проникновения в науки смежные просто не обойтись.	97:110	0:146
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4048-15		Это сознание тождества последних глубин бытия с абсолютным совершенством, благостью и блаженством есть то последнее проникновение в тайну бытия, которое спасает нас от ужас жизни.	116:129	0:179
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4044-15		Итак, новатор должен быть: эрудированным генератором идей, освещающих проблему с разных точек зрения и помогающих заметить неочевидную возможность проникновения в ее сущность; аналитиком-оракулом, без сожаления расстающимся с массой несущественных подробностей, о которых говорят, что из-за них "не видно леса"; толковым критиком-опровергателем, способным заранее предусмотреть ответы на все возможные и невозможные "почему" и "зачем"; педантом-оформителем, проявляющим стойкий интерес к проблеме, решение которой в первом приближении уже выполнено генератором идей и аналитиком, а ответы на возможные вопросы и сомнения найдены критиком; толкачом-занудой, преодолевающим своей навязчивостью инертность скептиков, когда они тормозят внедрение законченной разработки; связным-организатором, обладающим личной коммуникабельностью, общительностью и способным быстро устанавливать деловые контакты, что помогает "в темпе протолкнуть нужное решение".	147:160	0:945
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4042-15		Большой вред нанесло проникновение субъективистских взглядов химической науке.	21:34	0:78
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4040-15		И проникновение всяких "затейников" тоже вредно воздействует на психику: наши мужики стали сравнивать себя с западными образцами.	2:15	0:129
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4086-15		Впервые та же задача ставится для проникновения научного знания во все человечество.	34:47	0:84
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4088-15		А раз так, то какое-то ведомство должно заняться изучением природы "опасных мыслей", исследованием путей проникновения их и борьбой с ними.	105:118	0:139
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4090-15		Глубинный анализ 30-х годов, безыллюзорное исследование "пружин" террора, исторической слепоты живущих в Доме на набережной и объективной вины тех, кто стоял у начал (об этом прямо и недвусмысленно свидетельствует историческая концепция Трифонова в целом, вся "цепь", которую он старался вытащить из колодца истории), проникновение в истоки современного конформизма -- все это есть в недавно опубликованном романе Ю. Трифонова "Исчезновение".	318:331	0:442
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4036-15		Усложненные задачи требуют повышения организованности радиолюбительства, требуют вместе с тем проникновения его в широкую массу вплоть до села, не только и не столько словом, сколько делом, они требуют плановой, бесперебойно и безотказно действующей радиофикации.	94:107	0:263
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4046-15		Этот путь в основном связан с проблемами духовных откровений, духовных проникновений...	71:84	0:87
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4060-15		Полвека назад, в 1903 году, царские цензоры противились публикации статьи Циолковского "Исследование мировых пространств реактивными приборами", -- она утверждала возможность проникновения человека в небеса -- в "резиденцию господа бога".	175:188	0:238
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4092-15		В своем месте я упоминал, что из советского проникновения в центральные правительственные органы ничего особенно существенного и планомерного не вышло.	44:57	0:151
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4080-15		Я чувствую себя побежденной, готова себя побить за то, что понадеялась на свое проникновение в их душонки.	79:92	0:106
проникновение	NOUN	1918	1918-1990	1918-1990_проникновение_4070-15		Яша рассказывал о положении в Бразилии, об интересующих нас вопросах, в частности, просил осветить тему о проникновении американского влияния и капитала в Бразилию.	106:119	0:164
