lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
радикал	NOUN	1918	1918-1990	1918-1990_радикал_502-15		Органические материалы при контакте с кислородом подвергаются окислительной деструкции, в ходе которой образуются и другие, углеродсодержащие радикалы.	142:150	0:151
радикал	NOUN	1918	1918-1990	1918-1990_радикал_506-15		Одним из важнейших моментов в истории развития вопроса о возможности существования свободных радикалов надо считать опыты Чичибабина, относящиеся к термической диссоциации пентафенилэтана с образованием тетрафенилэтана и трифенилметила, выделенного, правда, в виде трифенил-карбинола.	93:102	0:284
радикал	NOUN	1918	1918-1990	1918-1990_радикал_510-15		Выборы 1932 года, приведшие к власти радикалов и социалистов, никого не удовлетворили, и политическая атмосфера, постепенно сгущаясь, становилась невыносимой.	37:46	0:158
радикал	NOUN	1918	1918-1990	1918-1990_радикал_530-15		Трифенилметил и его аналоги -- это свободные радикалы, только в отличие от большинства радикалов достаточно стабильные.	45:53	0:119
радикал	NOUN	1918	1918-1990	1918-1990_радикал_532-15		I. Старорежимным радикалам За последнее время часто приходится выслушивать и вычитывать нападки на нашу идеологию, исходящие из лагеря неисправимых демократов, доселе живущих "светлыми идеалами русской интеллигенции".	17:26	0:217
радикал	NOUN	1918	1918-1990	1918-1990_радикал_546-15		Таким образом, приведенная выписка из протоколов эксперимента показывает особую структуру нарушений мыслительной деятельности больного: они не сводятся к нарушению интеллектуальных операций и являются индикатором более общего "радикала" -- его аспонтанности, утери возможности регулировать свои действия.	227:235	0:304
радикал	NOUN	1918	1918-1990	1918-1990_радикал_514-15		Таким образом, винный спирт можно назвать "этиловым" спиртом, а спирт строения формула "пропиловым" спиртом, так как он содержит радикал "пропил".	129:136	0:146
радикал	NOUN	1918	1918-1990	1918-1990_радикал_556-15		Наши славянофилы были, конечно, духовно глубже и плодотворнее вытеснивших их западников, как западники 40-х годов -- более значительны, культурны и духовно богаты, чем радикалы 60-х годов.	168:176	0:188
радикал	NOUN	1918	1918-1990	1918-1990_радикал_554-15		Эти исследования привели его, с одной стороны, к изучению явления таутомерии вообще, а с другой -- дали возможность открыть новый, очень изящный способ получения свободных радикалов.	172:181	0:182
радикал	NOUN	1918	1918-1990	1918-1990_радикал_516-15		-- Но тут-то мы и столкнулись с почти неразрешимой задачей -- каждая из радикальных групп соединяется со своим щупальцем гидрозона при условиях, которые исключают возможность для другой пары, радикал -- двойная связь гидрозона.	72:83	0:227
радикал	NOUN	1918	1918-1990	1918-1990_радикал_552-15		-- А то у нас нынче все радикалы.	24:32	0:33
радикал	NOUN	1918	1918-1990	1918-1990_радикал_550-15		Далее шли совершенно непонятные Люсину структурные формулы, где шестиугольные ячейки бензола были опутаны разветвленной паутиной всяческих радикалов.	139:148	0:149
радикал	NOUN	1918	1918-1990	1918-1990_радикал_512-15		В "переводе" это означает, что у молекулы бутана при втором и третьем атомах углерода четыре (тетра) атома водорода замещены на метильные радикалы.	138:146	0:147
радикал	NOUN	1918	1918-1990	1918-1990_радикал_548-15		Пока нет условий для развития цепной лавины и при очень редком появлении исходных радикалов реакция практически не идет вовсе.	82:91	0:126
радикал	NOUN	1918	1918-1990	1918-1990_радикал_518-15		В книге ни слова о радиоактивных изотопах, о свободных радикалах, о биохимии, об элементоорганических соединениях, о полупроводниках -- всего не перечислишь!	55:64	0:157
