identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_расчет_4384-15	1992-2016_расчет_4385-15	0	4		расчет
1918-1990_расчет_4390-15	1992-2016_расчет_4391-15	0	4		расчет
1918-1990_расчет_4338-15	1992-2016_расчет_4339-15	0	4		расчет
1918-1990_расчет_4392-15	1992-2016_расчет_4393-15	0	1		расчет
1918-1990_расчет_4336-15	1992-2016_расчет_4337-15	0	3		расчет
1918-1990_расчет_4364-15	1992-2016_расчет_4365-15	0	1		расчет
1918-1990_расчет_4334-15	1992-2016_расчет_4335-15	0	1		расчет
1918-1990_расчет_4380-15	1992-2016_расчет_4381-15	0	2		расчет
1918-1990_расчет_4348-15	1992-2016_расчет_4349-15	0	1		расчет
1918-1990_расчет_4342-15	1992-2016_расчет_4343-15	0	2		расчет
1918-1990_расчет_4350-15	1992-2016_расчет_4351-15	0	1		расчет
1918-1990_расчет_4366-15	1992-2016_расчет_4367-15	0	1		расчет
1918-1990_расчет_4362-15	1992-2016_расчет_4363-15	0	4		расчет
1918-1990_расчет_4386-15	1992-2016_расчет_4387-15	0	1		расчет
1918-1990_расчет_4388-15	1992-2016_расчет_4389-15	0	1		расчет
1918-1990_расчет_4368-15	1992-2016_расчет_4369-15	0	1		расчет
1918-1990_расчет_4358-15	1992-2016_расчет_4359-15	0	3		расчет
1918-1990_расчет_4352-15	1992-2016_расчет_4353-15	0	1		расчет
1918-1990_расчет_4346-15	1992-2016_расчет_4347-15	0	1		расчет
1918-1990_расчет_4354-15	1992-2016_расчет_4355-15	0	2		расчет
1918-1990_расчет_4376-15	1992-2016_расчет_4377-15	0	3		расчет
1918-1990_расчет_4382-15	1992-2016_расчет_4383-15	0	4		расчет
1918-1990_расчет_4360-15	1992-2016_расчет_4361-15	0	1		расчет
1918-1990_расчет_4340-15	1992-2016_расчет_4341-15	0	1		расчет
1918-1990_расчет_4344-15	1992-2016_расчет_4345-15	0	2		расчет
1918-1990_расчет_4356-15	1992-2016_расчет_4357-15	0	1		расчет
1918-1990_расчет_4378-15	1992-2016_расчет_4379-15	0	4		расчет
1918-1990_расчет_4372-15	1992-2016_расчет_4373-15	0	4		расчет
1918-1990_расчет_4370-15	1992-2016_расчет_4371-15	0	1		расчет
1918-1990_расчет_4374-15	1992-2016_расчет_4375-15	0	1		расчет
1918-1990_расчет_4340-15	1992-2016_расчет_4341-15	1	1		расчет
1918-1990_расчет_4342-15	1992-2016_расчет_4343-15	1	4		расчет
1918-1990_расчет_4344-15	1992-2016_расчет_4345-15	1	2		расчет
1918-1990_расчет_4348-15	1992-2016_расчет_4349-15	1	4		расчет
1918-1990_расчет_4336-15	1992-2016_расчет_4337-15	1	1		расчет
1918-1990_расчет_4346-15	1992-2016_расчет_4347-15	1	1		расчет
1918-1990_расчет_4360-15	1992-2016_расчет_4361-15	1	1		расчет
1918-1990_расчет_4356-15	1992-2016_расчет_4357-15	1	2		расчет
1918-1990_расчет_4358-15	1992-2016_расчет_4359-15	1	3		расчет
1918-1990_расчет_4362-15	1992-2016_расчет_4363-15	1	3		расчет
1918-1990_расчет_4354-15	1992-2016_расчет_4355-15	1	1		расчет
1918-1990_расчет_4352-15	1992-2016_расчет_4353-15	1	1		расчет
1918-1990_расчет_4338-15	1992-2016_расчет_4339-15	1	4		расчет
1918-1990_расчет_4382-15	1992-2016_расчет_4383-15	1	1		расчет
1918-1990_расчет_4364-15	1992-2016_расчет_4365-15	1	4		расчет
1918-1990_расчет_4378-15	1992-2016_расчет_4379-15	1	4		расчет
1918-1990_расчет_4334-15	1992-2016_расчет_4335-15	1	1		расчет
1918-1990_расчет_4376-15	1992-2016_расчет_4377-15	1	1		расчет
1918-1990_расчет_4374-15	1992-2016_расчет_4375-15	1	3		расчет
1918-1990_расчет_4372-15	1992-2016_расчет_4373-15	1	1		расчет
1918-1990_расчет_4370-15	1992-2016_расчет_4371-15	1	1		расчет
1918-1990_расчет_4368-15	1992-2016_расчет_4369-15	1	1		расчет
1918-1990_расчет_4366-15	1992-2016_расчет_4367-15	1	1		расчет
1918-1990_расчет_4392-15	1992-2016_расчет_4393-15	1	1		расчет
1918-1990_расчет_4390-15	1992-2016_расчет_4391-15	1	4		расчет
1918-1990_расчет_4388-15	1992-2016_расчет_4389-15	1	2		расчет
1918-1990_расчет_4350-15	1992-2016_расчет_4351-15	1	1		расчет
1918-1990_расчет_4386-15	1992-2016_расчет_4387-15	1	1		расчет
1918-1990_расчет_4380-15	1992-2016_расчет_4381-15	1	3		расчет
1918-1990_расчет_4384-15	1992-2016_расчет_4385-15	1	3		расчет
1918-1990_расчет_4354-15	1992-2016_расчет_4355-15	2	1		расчет
1918-1990_расчет_4362-15	1992-2016_расчет_4363-15	2	1		расчет
1918-1990_расчет_4376-15	1992-2016_расчет_4377-15	2	4		расчет
1918-1990_расчет_4352-15	1992-2016_расчет_4353-15	2	1		расчет
1918-1990_расчет_4346-15	1992-2016_расчет_4347-15	2	1		расчет
1918-1990_расчет_4374-15	1992-2016_расчет_4375-15	2	1		расчет
1918-1990_расчет_4372-15	1992-2016_расчет_4373-15	2	2		расчет
1918-1990_расчет_4380-15	1992-2016_расчет_4381-15	2	2		расчет
1918-1990_расчет_4344-15	1992-2016_расчет_4345-15	2	1		расчет
1918-1990_расчет_4356-15	1992-2016_расчет_4357-15	2	2		расчет
1918-1990_расчет_4368-15	1992-2016_расчет_4369-15	2	2		расчет
1918-1990_расчет_4358-15	1992-2016_расчет_4359-15	2	2		расчет
1918-1990_расчет_4382-15	1992-2016_расчет_4383-15	2	1		расчет
1918-1990_расчет_4366-15	1992-2016_расчет_4367-15	2	1		расчет
1918-1990_расчет_4360-15	1992-2016_расчет_4361-15	2	1		расчет
1918-1990_расчет_4348-15	1992-2016_расчет_4349-15	2	4		расчет
1918-1990_расчет_4370-15	1992-2016_расчет_4371-15	2	1		расчет
1918-1990_расчет_4340-15	1992-2016_расчет_4341-15	2	1		расчет
1918-1990_расчет_4350-15	1992-2016_расчет_4351-15	2	1		расчет
1918-1990_расчет_4378-15	1992-2016_расчет_4379-15	2	3		расчет
1918-1990_расчет_4334-15	1992-2016_расчет_4335-15	2	2		расчет
1918-1990_расчет_4392-15	1992-2016_расчет_4393-15	2	1		расчет
1918-1990_расчет_4342-15	1992-2016_расчет_4343-15	2	2		расчет
1918-1990_расчет_4390-15	1992-2016_расчет_4391-15	2	4		расчет
1918-1990_расчет_4336-15	1992-2016_расчет_4337-15	2	2		расчет
