lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4458-15		Половина довоенных станций метро украшена его росписями.	46:55	0:56
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4510-15		Какие же конструкции якорей применяли на своих кораблях древние греки и римляне Более или менее подробное заключение нам дают возможность сделать дошедшие до наших дней эллинские барельефы, росписи по керамике, мозаики, описания современников и находки памятников, подобных галерам Калигулы.	190:197	0:291
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4492-15		Иконописная техника, сводящаяся к последовательно наслояющимся акцентуациям -- пробелениям одежд и вохрениям ликов, употребляя эти термины расширительно, и описи, или росписи.	167:174	0:175
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4508-15		Особой яркостью отличаются росписи храмов майев, богато орнаментирована вся их скульптура.	27:34	0:90
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4506-15		Ввиду того, что, при огромном замысле и таких же тратах на этот замысел, Великая Княгиня не могла ассигновать особенно больших сумм на постройку храма, я должен был считаться с этим, сократив смету на роспись храма до минимума.	201:208	0:227
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4476-15		Тончайшие кисточки окунались игольчатыми кончиками своими в ту или иную краску и, скользя по черноте фона, оставляли на нем тончайшую роспись.	134:141	0:142
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4502-15		В росписи храма мы не были солидарны со Щусевым.	2:9	0:48
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4500-15		Я думал сохранить в росписи свой, так сказать, "нестеровский" стиль, -- стиль своих картин, их индивидуальность, хорошо сознавая всю трудность такой задачи.	20:27	0:156
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4498-15		Очевидно вспомнив роспись на стене жилища, Вергилиан спросил: -- Скажи, Делия, как могла эта христианская рыба проглотить корабль с корабельщиками, мачтой и всем грузом Но Делия или ничего не знала об этом примечательном событии, или ей было сегодня не до шуток.	18:25	0:262
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4480-15		Винценто Бренна приехал из Варшавы, где занимался росписью плафонов арабесками.	50:58	0:79
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4496-15		Она сама работает в этой артели по росписи тканей.	35:42	0:50
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4474-15		-- Сегодня они уникальны, а завтра новая линия, принцип росписи, цвет обязательно отзовутся на массовой продукции.	56:63	0:114
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4454-15		-- "А вот этот вот дом" -- мы киваем на дом с превосходной верандой, подпертой колонками; росписи в чашечку (черное с белым) -- на арках, колонках, над дверью.	90:97	0:159
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4494-15		К несчастью, стены недавно побелили, и только местами осталась роспись: чья-то голова, плечо...	63:70	0:95
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4482-15		На куполе сверкала свежая роспись.	26:33	0:34
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4472-15		Однажды, еще во время росписи Владимирского собора, Виктор Михайлович говорил о Семирадском.	22:29	0:92
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4504-15		В мастерской снятые фрагменты росписи и скульптуры подвергают окончательной обработке, на которую идет во много раз больше времени, чем в экспедиции.	30:37	0:149
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4484-15		В результате, как правило, удается в значительной степени восстановить композицию и цветовые соотношения древней росписи.	113:120	0:121
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4468-15		Уехать он не хотел и не мог, потому что он армянин и работает над росписью армянского собора.	66:74	0:93
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4466-15		Нам предстояло встретиться со старейшей здешней мастерицей по росписи фарфора.	62:69	0:78
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4486-15		В числе проложных сюжетов волотовской росписи изображения в северо-западном углу здания, повидимому, стояли в связи со словами и поучениями Пролога именно о "почитании книжном", ближайшим образом, может быть, со "Словом, како не ленитися чести книги", положенным на 1 апреля, день Марии Египетской, изображение которой находилось рядом.	38:45	0:336
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4464-15		Последний в России -- заказ декораций к "Граду Китежу" и заказ росписи домовой церкви на Юге, -- обе невыполненные.	63:70	0:115
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4462-15		Все расходы были сбалансированы исключительно на счет одних обыкновенных доходов, которые оказались достаточными и для покрытия всех чрезвычайных расходов, занесенных в роспись в крупной цифре в 235 миллионов рублей, т. к. избыток обыкновенных доходов над обыкновенными же расходами составил свыше этой суммы.	169:176	0:309
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4470-15		Въ связи съ насаждаемымъ C. В. Чехонинымъ культомъ чистаго мазка, въ современной росписи фарфора наблюдается стремлене воспринимать пространство не стереометрически, a исключительно красочно.	81:88	0:191
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4490-15		С росписью залы Большого совета все было покончено.	2:10	0:51
роспись	NOUN	1918	1918-1990	1918-1990_роспись_4460-15		Это была парадная зала дома, с лепным потолком и яркой росписью: дебелая Венера рождалась в раковине и вокруг летали амуры.	55:63	0:123
