lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4530-15		Не хотелось многим, однако они стали не только военными моряками, но и прославленными командирами, как сверстник Саши Герой Советского Союза вице-адмирал Григорий Иванович Щедрин.	103:112	0:179
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4514-15		Как известно, исследования Д. Б. Эльконина (1991 показали, что именно в подростковом возрасте развивается особая деятельность, заключающаяся в установлении личностных отношений между подростками, формируется особая деятельность общения, в которой подросток сравнивает свое поведение и свои возможности с возможностями сверстников, появляется мотив самоутверждения, стремление овладеть формами "взрослого поведения".	318:329	0:415
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4542-15		Почти мои сверстники его видели.	10:20	0:32
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4562-15		Когда я прочитал ей нравившееся любителям поэзии стихотворение моего сверстника "Ночной дозор", описывающее картину Рембрандта с точки зрения уличного патруля под окнами художника и кончающееся строчками, в которых подытожена идея всей вещи: "То ли мы ночная стража В этих стенах, то ли он", -- она недовольно фыркнула: "Пусть он самый "Ночной дозор" напишет!" -- то есть вещь, а не описание вещи.	69:79	0:397
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4512-15		Но, с другой стороны, кто из его сверстников, соучеников преуспел Есть один, стал профессором, но живет он тусклее Теодора, одевается во что попало.	33:44	0:148
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4570-15		Все это вспомнилось мне в тот день, когда мой сверстник, тоже царскосел, поэт Рождественский, даже физически трепетавший перед Гумилевым, представил меня мэтру.	46:55	0:160
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4568-15		Интересно бы посмотреть, как там работают наши сверстники.	47:57	0:58
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4566-15		Даша, опустив голову, молчала, глаза её заслезились: Коля был её сверстник, они вместе играли с ним в куклы и в шармазлу.	65:74	0:121
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4516-15		Он был сверстником и ближайшим другом моего брата Альбера и сам очень даровитым пейзажистом, с успехом участвовавшим на наших акварельных выставках.	7:18	0:148
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4564-15		Изображая себя "чудаком", описывая непонятные для нашего времени "шалости" (от "шалый") моих сверстников, я прошу читательскую молодежь понять: речь идет о действительности, не имеющей ничего общего с нашим временем, о действительности нашего былого подполья, наградившего нас печатью субъективизма и анархизма: в ряде жизненных выявлений.	93:104	0:339
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4558-15		Если поэт еще не мог говорить со мною как со своим сверстником, то, во всяком случае, уже не очень стеснялся в разговорах затрагивать щекотливые вопросы о любви или продолжении человеческого рода.	51:62	0:196
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4556-15		Помню, что сам мирный договор мной и, наверное, многими моими сверстниками воспринимался как некий политический шахматный ход (мы уже играли в шахматы) с некоторой потерей качества для будущей грандиозной комбинации с шахом и матом всему капиталистическому миру.	62:74	0:262
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4554-15		Когда ему надо было взглянуть на работы на поле, он садился в ручную тележку и мы, племянники, вместе с его сыном Валерианом, моим сверстником, возили его.	131:142	0:155
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4552-15		С него и с его сверстников началось духовное оскудение хозяйской аристократии.	15:26	0:78
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4550-15		Примерно то же говорила она ему о его сверстниках, из которых многие нередко пользовались-таки его помощью, и немалой, обгоняя его, делая на его плечах карьеру, добиваясь чинов, благ и тому подобного.	38:49	0:200
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4548-15		Его сверстники на каникулах баклуши бьют, а он вот уже второе лето не выпускает косы и граблей из рук.	4:14	0:102
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4546-15		Со мной часто случалось такое: в разгар интересной беседы в доме Толстопята (все, конечно, о том, как он пел по городам Франции, купался с испанской инфантой, видел великих княгинь, царских сестер, то да се) на меня наваливалась такая тоска по несвершенным заботам, меня тянуло к сверстникам, в текучку, черт знает куда, но чтобы жить и тратить часы на отпущенное мне бытие.	280:291	0:374
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4560-15		В глазах моего поколения он и его сверстники казались стариками, которые видали лучшие дни.	34:44	0:91
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4520-15		В 1900 -- 1901 годах мы подошли к рубежу с твердым знаньем, что рубеж -- Рубикон, ибо сами мы были -- рубеж, выросший из недр конца века; но нас было мало, а "их" было много; мы были юны; и мы были лишены: традиций, покровительства, авторитета власти; и пока "Боренька", тайком от родителей, уже скрипел пером и прятал стишок под увесистый том "Истории индуктивных наук" Уэвеля, "Танечка" заливалась малиновкой в редакции "Русских Ведомостей", а у нас за стеной, у Янжулов, читал чтимый Янжулами Мачтет: на его чтения собирались седые, волосатые старцы; ряд же современников, сверстников, тоже "профессорских сынков", не отличавшихся никакими "нюхами", покорно внимали "папашам"; иные из них и стали в нынешние годы нашими истолкователями.	576:587	0:739
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4544-15		Смоленск -- Исаковский, сверстники Марьенков, Локтев Аркадий Николаевич.	24:34	0:72
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4524-15		Ведь сверстники его уже капралы.	5:15	0:32
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4522-15		Из сверстников Анны особенно знаменит художник Брусиловский.	3:14	0:60
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4536-15		И все же я с моими сверстниками, мальчишками нашей улицы, на дворе или в палисаднике сам старался устроить балаган или нечто в этом роде.	19:31	0:137
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4538-15		Шутка: мой сверстник (1913 г.), чуть ли не единственный человек -- уроженец тех мест, оставшийся там доныне (и наверно, мечтающий о том, как выбраться оттуда).	11:20	0:159
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4532-15		Религиозное воспитание средствами семьи еще более необходимо, когда дитя уходит из семьи, подчиняется влиянию школы, сверстников, всей жизни.	117:128	0:141
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4540-15		Творить добро, рассказывать о добре, учить добру завещано нам великими: Подвиг начинается Фильм "Мне двадцать лет" тоже об идеалах молодого поколения -- сверстников Паши Колокольникова, ребят, шагающих по Москве.	153:164	0:212
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4526-15		Когда Родольфо вынул пулю и прижег рану порохом, юноша повесил себе эту пулю на шею в виде брелока и хвастался ею перед сверстниками.	120:132	0:133
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4518-15		Словно назло, все сверстники поумирали, за ними и кто помоложе, все начиналось, да не кончалось.	18:28	0:96
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4528-15		К Гере пришли гости с соседней фермы, в их числе двое сверстников Пуффи.	54:65	0:72
сверстник	NOUN	1918	1918-1990	1918-1990_сверстник_4534-15		Как это совместить с яростной целеустремленностью, с "фанатической преданностью морю", о которой я столько наслышан от его друзей и сверстников Сегодня я нахожу эти увлечения не только совместимыми, но и необходимыми для формирования характера будущего капитана дальнего плавания.	132:143	0:280
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4557-15		Учился у Филда и сверстник Верстовского, поручик Алябьев.	17:26	0:57
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4555-15		Дело в том, что те двое, по сути наши сверстники, сами еще ходили в молодых.	38:48	0:76
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4553-15		В-третьих, у девочек и у мальчиков обнаруживаются различия в локусе ориентации на социальные объекты: если для мальчиков значимой оказывается группа сверстников своего пола, то для девочек не группа сверстниц, а взрослый наделяется свойством значимости.	149:160	0:253
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4533-15		Да, он вошел в нашу жизнь, жизнь моих сверстников, как триумфатор, знаменем которого была радость, побеждающая любые горести.	38:49	0:125
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4537-15		Ведь дети из бедных семей остро воспринимают неравенство, видя рядом с собой разодетых в пух и прах сверстников с их чванством и высокомерием.	100:111	0:142
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4549-15		С мужчинами считал возможным лишь совместный акт онанизма или то, что я делал со своими сверстниками.	88:100	0:101
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4547-15		Вдобавок, дети некоторые бывают склонны подмечать и высмеивать чужие недостатки, не начнут ли они высмеивать сверстников, рожденных во вторых браках, что они воспитываются якобы не настоящими отцами и вообще неполноценные Священник, рискнувший на проповедь телегонии, рискует вместе с ней распугать адекватных людей из прихода и собрать вокруг себя не самых умных, которые будут каждому слову его внимать, не проверяя его.	109:120	0:422
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4531-15		Редкий ребенок, лишенный опыта общения со сверстниками, не обречен на комплексы.	42:54	0:80
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4545-15		Ему недавно исполнилось 17 лет, но в отличие от большинства своих сверстников в армии служить он хочет.	66:77	0:103
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4543-15		Мои сверстники, к примеру, только к тридцати годам в редких случаях стали напоминать что-то такое, что можно полюбить.	4:14	0:118
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4551-15		В то время, когда сверстники уже выступали в чемпионатах различных национальных Формул, да Матта все еще выступал в чемпионате штата по картингу.	18:28	0:145
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4559-15		Дети с ОЛЛ менее склонны отмечать себя в первых рядах в группе детей, но в то же время они не отгораживаются от сверстников, не изолируют себя от других детей.	112:123	0:159
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4519-15		Это показалось очень значительным -- и, преисполнившись особенного самоуважения, начал сверстниками повелевать.	87:99	0:111
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4561-15		К нему, может, позже, чем к некоторым его сверстникам, пришли признание, популярность, зрительская любовь.	42:53	0:106
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4517-15		С одной стороны, семьи со средним уровнем доходов заинтересованы в мини-группах, но в них, если следовать букве закона, дети не смогут развиваться так же, как их сверстники в муниципальном детсаду.	162:172	0:197
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4515-15		Здесь, ввиду достигнутой наконец оседлости, у меня, естественно, возникли многие приятельства: Саша Пучков и Саша Месхи, Андрюша Пожарский и Сережа Рачинский -- все дети университетских преподавателей, и в разное время мы с одним играли в солдатики, с другим клеили картонные замки и лепили пластилиновых рыцарей, закованных в латы из шоколадной фольги; гоняли в футбол, пекли картошку в углях костра, разведенного на пустыре прямо за домом, и с опасливым любопытством наблюдали не касавшуюся нас, "чистых" детей, кипящую вокруг университетского оазиса барачную жизнь наших сверстников и соучеников, сбивавшихся в стаи и устраивавших время от времени форменные битвы, оружием в которых служил преимущественно штакетник и которые именовались почти эпически -- "Раменки на Нижний Мосфильм" или "Верхний Мосфильм на Фили".	574:585	0:819
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4523-15		Мальчики же в значительно большей степени ориентируются на группу сверстников, их мнение и оценку, поскольку группа своего пола для мальчиков обладает свойством референтности [27], [28].	66:77	0:186
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4541-15		Расширение диапазона усвоенных ребенком социальных эталонов регуляции состояний, приобретаемых в общении со взрослыми и сверстниками и в совместной деятельности связано с вовлечением памяти, мышления, речи, воображения, эмоций и психологических свойств личности в регуляторный процесс.	120:132	0:285
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4527-15		Практично рассудив, что ненависть должна быть с кулаками, он пошел в секцию самбо и уже через полгода эффектно кидал оземь всех сверстников, а через год -- и хулиганов на класс или два старше.	128:139	0:192
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4525-15		Если взрослый несет для ребенка культурно нормированные образцы поведения, то сверстник создает условия для индивидуальных, ненормированных, свободных проявлений ребенка.	78:87	0:170
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4539-15		Из мужчин, способных воевать, держать стадо и торить путь аргишу, оставались Оленегонка и Лидянг -- брат старика был намного крепче многих своих седоголовых сверстников.	157:168	0:169
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4571-15		По сути, он фиксирует конформность, зависимость от ближайшего социального окружения сверстников.	84:95	0:96
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4535-15		Мне кажется, как и большинство его сверстников, не только живших, но и пришедших в политику при Сталине, он был глубоко травмирован.	35:46	0:132
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4567-15		Большую часть своего времени я проводил в компании ребят старшего поколения, хорошо ли, плохо, но видел и понимал немножко больше сверстников.	130:141	0:142
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4565-15		И вредно это, и от сверстников изолирует -- чего только не придумают.	19:30	0:69
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4529-15		Из запомнившихся тогдашних разговоров: отец строго делил своих партийных сверстников, людей, участвовавших в революции и в том, что за ней последовало, на четыре категории.	73:84	0:172
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4563-15		Именно в общении со сверстником впервые появляются такие сложные формы поведения, как притворство, стремление сделать вид, выразить обиду, нарочито не отвечать партнеру, кокетство, фантазирование и т.д.	20:31	0:202
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4521-15		Я еще старался что-то переводить, стихи моих сверстников, туманяновскую "Ануш".	45:56	0:79
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4569-15		Из отзывов сверстников выяснилось, что Боря Колышкин был самым обыкновенным 15-летним мальчишкой, живым и жизнерадостным.	11:22	0:121
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4513-15		В представлении большинства сверстников студенты-медики --это что-то вроде медички из Саши Черного, которая влюбленному филологу бесстрастно рассказывала о своих анатомических опытах.	28:39	0:183
