identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_советчик_4754-15	1992-2016_советчик_4755-15	0	3		советчик
1918-1990_советчик_4808-15	1992-2016_советчик_4809-15	0	4		советчик
1918-1990_советчик_4774-15	1992-2016_советчик_4775-15	0	4		советчик
1918-1990_советчик_4762-15	1992-2016_советчик_4763-15	0	4		советчик
1918-1990_советчик_4804-15	1992-2016_советчик_4805-15	0	4		советчик
1918-1990_советчик_4764-15	1992-2016_советчик_4765-15	0	1		советчик
1918-1990_советчик_4752-15	1992-2016_советчик_4753-15	0	4		советчик
1918-1990_советчик_4766-15	1992-2016_советчик_4767-15	0	4		советчик
1918-1990_советчик_4756-15	1992-2016_советчик_4757-15	0	4		советчик
1918-1990_советчик_4758-15	1992-2016_советчик_4759-15	0	3		советчик
1918-1990_советчик_4760-15	1992-2016_советчик_4761-15	0	4		советчик
1918-1990_советчик_4770-15	1992-2016_советчик_4771-15	0	4		советчик
1918-1990_советчик_4806-15	1992-2016_советчик_4807-15	0	4		советчик
1918-1990_советчик_4772-15	1992-2016_советчик_4773-15	0	4		советчик
1918-1990_советчик_4810-15	1992-2016_советчик_4811-15	0	4		советчик
1918-1990_советчик_4768-15	1992-2016_советчик_4769-15	0	4		советчик
1918-1990_советчик_4776-15	1992-2016_советчик_4777-15	0	4		советчик
1918-1990_советчик_4788-15	1992-2016_советчик_4789-15	0	4		советчик
1918-1990_советчик_4792-15	1992-2016_советчик_4793-15	0	4		советчик
1918-1990_советчик_4786-15	1992-2016_советчик_4787-15	0	1		советчик
1918-1990_советчик_4796-15	1992-2016_советчик_4797-15	0	4		советчик
1918-1990_советчик_4784-15	1992-2016_советчик_4785-15	0	4		советчик
1918-1990_советчик_4790-15	1992-2016_советчик_4791-15	0	3		советчик
1918-1990_советчик_4798-15	1992-2016_советчик_4799-15	0	2		советчик
1918-1990_советчик_4778-15	1992-2016_советчик_4779-15	0	4		советчик
1918-1990_советчик_4782-15	1992-2016_советчик_4783-15	0	4		советчик
1918-1990_советчик_4800-15	1992-2016_советчик_4801-15	0	3		советчик
1918-1990_советчик_4794-15	1992-2016_советчик_4795-15	0	4		советчик
1918-1990_советчик_4802-15	1992-2016_советчик_4803-15	0	4		советчик
1918-1990_советчик_4780-15	1992-2016_советчик_4781-15	0	4		советчик
1918-1990_советчик_4794-15	1992-2016_советчик_4795-15	1	1		советчик
1918-1990_советчик_4752-15	1992-2016_советчик_4753-15	1	4		советчик
1918-1990_советчик_4808-15	1992-2016_советчик_4809-15	1	4		советчик
1918-1990_советчик_4810-15	1992-2016_советчик_4811-15	1	3		советчик
1918-1990_советчик_4802-15	1992-2016_советчик_4803-15	1	4		советчик
1918-1990_советчик_4756-15	1992-2016_советчик_4757-15	1	4		советчик
1918-1990_советчик_4800-15	1992-2016_советчик_4801-15	1	4		советчик
1918-1990_советчик_4754-15	1992-2016_советчик_4755-15	1	2		советчик
1918-1990_советчик_4798-15	1992-2016_советчик_4799-15	1	4		советчик
1918-1990_советчик_4804-15	1992-2016_советчик_4805-15	1	4		советчик
1918-1990_советчик_4796-15	1992-2016_советчик_4797-15	1	4		советчик
1918-1990_советчик_4792-15	1992-2016_советчик_4793-15	1	4		советчик
1918-1990_советчик_4758-15	1992-2016_советчик_4759-15	1	3		советчик
1918-1990_советчик_4806-15	1992-2016_советчик_4807-15	1	4		советчик
1918-1990_советчик_4790-15	1992-2016_советчик_4791-15	1	2		советчик
1918-1990_советчик_4786-15	1992-2016_советчик_4787-15	1	4		советчик
1918-1990_советчик_4766-15	1992-2016_советчик_4767-15	1	4		советчик
1918-1990_советчик_4788-15	1992-2016_советчик_4789-15	1	4		советчик
1918-1990_советчик_4784-15	1992-2016_советчик_4785-15	1	3		советчик
1918-1990_советчик_4768-15	1992-2016_советчик_4769-15	1	4		советчик
1918-1990_советчик_4780-15	1992-2016_советчик_4781-15	1	4		советчик
1918-1990_советчик_4782-15	1992-2016_советчик_4783-15	1	4		советчик
1918-1990_советчик_4770-15	1992-2016_советчик_4771-15	1	3		советчик
1918-1990_советчик_4762-15	1992-2016_советчик_4763-15	1	4		советчик
1918-1990_советчик_4772-15	1992-2016_советчик_4773-15	1	4		советчик
1918-1990_советчик_4778-15	1992-2016_советчик_4779-15	1	3		советчик
1918-1990_советчик_4760-15	1992-2016_советчик_4761-15	1	4		советчик
1918-1990_советчик_4774-15	1992-2016_советчик_4775-15	1	3		советчик
1918-1990_советчик_4776-15	1992-2016_советчик_4777-15	1	4		советчик
1918-1990_советчик_4764-15	1992-2016_советчик_4765-15	1	3		советчик
1918-1990_советчик_4796-15	1992-2016_советчик_4797-15	2	2		советчик
1918-1990_советчик_4784-15	1992-2016_советчик_4785-15	2	4		советчик
1918-1990_советчик_4788-15	1992-2016_советчик_4789-15	2	4		советчик
1918-1990_советчик_4794-15	1992-2016_советчик_4795-15	2	4		советчик
1918-1990_советчик_4780-15	1992-2016_советчик_4781-15	2	1		советчик
1918-1990_советчик_4800-15	1992-2016_советчик_4801-15	2	4		советчик
1918-1990_советчик_4778-15	1992-2016_советчик_4779-15	2	4		советчик
1918-1990_советчик_4802-15	1992-2016_советчик_4803-15	2	4		советчик
1918-1990_советчик_4776-15	1992-2016_советчик_4777-15	2	3		советчик
1918-1990_советчик_4782-15	1992-2016_советчик_4783-15	2	4		советчик
1918-1990_советчик_4798-15	1992-2016_советчик_4799-15	2	4		советчик
1918-1990_советчик_4790-15	1992-2016_советчик_4791-15	2	4		советчик
1918-1990_советчик_4792-15	1992-2016_советчик_4793-15	2	4		советчик
1918-1990_советчик_4806-15	1992-2016_советчик_4807-15	2	3		советчик
1918-1990_советчик_4752-15	1992-2016_советчик_4753-15	2	4		советчик
1918-1990_советчик_4772-15	1992-2016_советчик_4773-15	2	4		советчик
1918-1990_советчик_4808-15	1992-2016_советчик_4809-15	2	3		советчик
1918-1990_советчик_4770-15	1992-2016_советчик_4771-15	2	4		советчик
1918-1990_советчик_4810-15	1992-2016_советчик_4811-15	2	4		советчик
1918-1990_советчик_4768-15	1992-2016_советчик_4769-15	2	4		советчик
1918-1990_советчик_4766-15	1992-2016_советчик_4767-15	2	4		советчик
