lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4752		В советчики меня зовет, а из меня какой советчик Да и плевать ей на меня.	2:11	0:73	4752	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4753		"Бывает очень горько сознавать, что ты мог спасти человека, если бы он чуть раньше обратил внимание на крошечное пятнышко, переродившееся в серьезное онкологическое заболевание-меланому, непослушал бы вредных советчиков: ""Не трогай родинку -- от греха подальше!"" может образоваться практически из любого пигментированного образования на коже."	208:218	0:341	4753	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4754		Я еще суетился по инерции, а также из деликатности к моим доброжелателям и советчикам, но при этом твердо знал, что сегодня Япония мне уже не нужна.	75:85	0:148	4754	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4755		"-- Это кто же -- Помнишь Ханина из агентства ""Тайный советчик"" Завалили."	53:61	0:72	4755	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4756		Но обида плохой советчик, еще худший, чем страх.	16:24	0:48	4756	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4757		Голод лучший советчик при решении самых щекотливых вопросов.	13:21	0:60	4757	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4758		Но для нас Сергей Викторович был не только крупным, известным во всем мире ученым, он долгие годы был нашим автором, другом и советчиком.	126:136	0:137	4758	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4759		Только не поддавайся на уговоры (я тут читала некогорых советчиков, обвиняющих тебя в мерконтильности).	56:66	0:103	4759	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4760		"Галансков (вероятно, под влиянием лагерных ""советчиков"") категорически не хотел делать эту операцию в лагерной больнице, требовал перевода в Ленинградскую тюремную больницу им. доктора Гааза."	44:54	0:191	4760	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4761		Тоже мне советчики.	9:18	0:19	4761	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4762		"Если в белой эмиграции существовал террор против ""советчиков"", то почему ему не быть против белых И многие русские приходили выражать сочувствие жене генерала, но я не пошел."	50:60	0:174	4762	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4763		И уж тем более опасно выполнять требования непрошеных западных советчиков, навязывающих свои стандарты, да еще в ухудшенном варианте.	63:73	0:133	4763	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4764		Через некоторое время, чтобы отвязаться от непрошенных советчиков, их отдали в распоряжение отставного генерала Ванкова.	55:65	0:120	4764	rushifteval	ru
советчик	NOUN	1992	1992-2016	1992-2016_советчик_4765		Советчики, становясь все более настоятельными, перешли к более активным действиям -- у водителей отнимались лицензии и маршрутные листы.	0:9	0:136	4765	rushifteval	ru
советчик	NOUN	1918	1918-1990	1918-1990_советчик_4766		Великий писатель должен обладать добротой, беспощадностью, храбростью, самоотверженностью и волей, чтобы с презрением отвергнуть мнение советчика, повисшего на его ухе.	136:145	0:168	4766	rushifteval	ru
