lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4812		Союзники намереваются дать немецкому народу возможность подготовиться к тому, чтобы в дальнейшем осуществить реконструкцию своей жизни на демократической и мирной основе.	0:8	0:170	4812	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4813		"В интересах МО США специалистами MPRI в Афганистане и Ираке выполнялся широкий спектр услуг как в ходе подготовительного этапа операций ""Несгибаемая свобода"" и операции ВС США и их союзников против Ирака, так и во время проведения их активной фазы."	184:193	0:248	4813	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4814		Но союзником македонского царя в его войне с Римом был Антиох сирийский; союзник также и этолийцев; победа над ним Рима в 191 г. повела к роспуску этолийского союза.	73:80	0:165	4814	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4815		"""Сдерживание"", в понимании американских политологов, означает создание такой военной структуры, которая удерживала бы Советский Союз от войны с США и их союзниками."	156:166	0:164	4815	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4816		Со своей стороны Вайс охранял гиммлеровского уполномоченного от разносторонней слежки, которую вели и гестаповцы Мюллера, и абверовцы, и агенты Риббентропа, в свою очередь проводившие здесь тайные переговоры с союзниками от имени фюрера.	210:220	0:237	4816	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4817		Похоже, сегодня в действие введен план по информационному и желательно организационному разгрому КПРФ и ее союзников.	107:116	0:117	4817	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4818		"Отнеслись к этому примерно так же, как московские рабочие относились к печатанию в ""Британском союзнике"" портретов виндзорских филантропических королевн."	97:105	0:153	4818	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4819		Я внушала ребятам: мы должны создать у Героцкого впечатление, что и в мыслях не держим его подозревать, он -- наш союзник, мы рассчитываем на его помощь.	114:121	0:153	4819	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4820		Сегодня я прошел по ротам, объяснил людям и показал по карте все, что касается высадки союзников и международного положения в Европе.	87:96	0:133	4820	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4821		"Очередной, и особенно крутой, крен Москвы в сторону Запада как якобы самой надежной опоры России во внешнем мире, по сути дела, серьезно обесценивает ее еще совсем недавнюю активную ориентацию на создание стратегического треугольника Россия -- Китай -- Индия, открывавшую вполне реальную перспективу успешного противодействия силам глобального гегемонизма в лице ""большой семерки""; -- ориентацию, гарантирующую оптимальные условия для отстаивания жизненных интересов Российского государства, которые США и их союзники по НАТО демонстративно игнорируют, все более нахраписто вмешиваясь в его внутренние дела и год за годом урезая даже абсолютно естественную зону его влияния в границах СНГ."	512:520	0:689	4821	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4822		Но когда вдобавок еще оказывалось, что согласно царскому повелению, Сенявин со своей эскадрой отныне обязан будет беспрекословно повиноваться повелениям императора Наполеона, который внезапно стал другом и союзником русского царя, то вполне естественно, что Сенявин сделал все от него зависящее, чтобы, насколько возможно, уклониться от выполнения этого возложенного на него тяжкого обязательства.	206:215	0:397	4822	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4823		Так, в конце 30-х годов был налажен серийный выпуск истребителей и бомбардировщиков, превосходящих в начале войны по своим летно-техническим характеристикам самолеты союзников на тихоокеанском театре военных действий.	166:175	0:217	4823	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4824		Самый верный союзник в лечении -- творческий организм самого больного.	13:20	0:70	4824	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4825		А белогвардейцев Юга России союзники и Бахметьев снабжали в последнюю очередь, хотя именно здесь Добровольческая армия выдерживала основной натиск большевиков -- и под конец не выдержала.	28:36	0:187	4825	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4826		В течение предыдущего дня, 5(17) июня, шла усиленная бомбардировка города и с суши и с моря, а ночью часть парового флота союзников (десять судов) начала усиленно обстреливать Южную сторону.	122:131	0:190	4826	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4827		Союзников как-то нема.	0:9	0:22	4827	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4828		Резюме кончалось утверждением, что они готовы заключить мир без аннексий и контрибуций, что их военные цели вполне совпадают с теми, которые выдвинуты русской революцией; Германия и Австрия готовы заключить не только сепаратный, но и всеобщий мир; если же доселе австро-германские предложения адресовались именно к России, а не ко всем союзникам, то это лишь потому, что одна Россия, со своей стороны, выразила желание мира.	336:345	0:424	4828	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4829		К тому же Сталин дал обещание союзникам в случае высадки на севере Франции поддержать их действия наступательными операциями на советско-германском фронте.	30:39	0:155	4829	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4830		"Ком. видл в Иванов ""не столько врага, сколько союзника"")."	48:56	0:57	4830	rushifteval	ru
союзник	NOUN	1992	1992-2016	1992-2016_союзник_4831		В следующем году должны завершиться основные мероприятия по переходу Вооружённых Сил России на новый уровень, по созданию современной, боеспособной и мобильной армии, которая не даст шанса угрожать нам и нашим союзникам.	210:219	0:220	4831	rushifteval	ru
союзник	NOUN	1918	1918-1990	1918-1990_союзник_4832		Такой-то (он назвал фамилию и полк) был расстрелян за то, что не хотел рыть окопы на фронте союзников.	92:101	0:102	4832	rushifteval	ru
