lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
список	NOUN	1918	1918-1990	1918-1990_список_4920-15		По официальной статистике, в списках этого лагеря были вписаны имена 9000 человек, приняв во внимание увоз из Вольфсберга большой группы немцев и прибытие "африканцев" и заключенных из других лагерей Австрии и Германии.	29:36	0:219
список	NOUN	1918	1918-1990	1918-1990_список_4898-15		А ежели к ним прибавить еще тех пекашинцев, которые приняли смерть во время войны тут, на Пинеге, -- кто от работы, кто от голода, кто от простуды на сплаве, кто от пересады в лесу Разве они не заслужили того, чтобы тоже быть в этом списке Разве не ради родины, не ради победы отдали свои жизни Тоня-библиотекарша (это она рисовала список) поначалу размахнулась круто -- за версту видать первые фамилии.	332:338	0:403
список	NOUN	1918	1918-1990	1918-1990_список_4922-15		Впрочем, и последним неважно: те, о ком уже отговорили, наваливаются на тех, кто стоит в конце списка.	95:101	0:102
список	NOUN	1918	1918-1990	1918-1990_список_4918-15		Этот список мы с Лишневским обдумывали без конца".	5:11	0:50
список	NOUN	1918	1918-1990	1918-1990_список_4916-15		И опять его вопрос Анфису сбил с толку: -- Почему не вижу тут Мошкина -- Подрезов поднял со стола список колхозников -- трепаный-перетрепаный серый лист, так как каждый районщик, приезжая в колхоз, начинал свое дело с изучения этого списка.	98:104	0:240
список	NOUN	1918	1918-1990	1918-1990_список_4914-15		Он ответил что-то неопределенное, а потом Хаммер действительно подошел ко мне, и я передал ему список узников для Горбачева (тут Хаммер, как мне показалось, не проявил особой заинтересованности).	95:101	0:195
список	NOUN	1918	1918-1990	1918-1990_список_4912-15		Мой сверстник нейлон изобретен в Штатах в 1938 г. Идя в ванную, составлять список всего, что надо вымыть, и периодически вычеркивать.	75:81	0:133
список	NOUN	1918	1918-1990	1918-1990_список_4910-15		На днях мой сын открыл такую штуку: в последние списки УРЧ включил людей, которых вы уже по два раза снимали с эшелонов.	48:54	0:120
список	NOUN	1918	1918-1990	1918-1990_список_4884-15		Я придумал список удивительных рейсов для своих пароходов.	11:17	0:58
список	NOUN	1918	1918-1990	1918-1990_список_4908-15		Незадолго до юбилея я передал обращения (вместе со списками подписавших -- несколько больше пятидесяти человек под каждым из документов) иностранным корреспондентам в Москве.	51:59	0:174
