lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4976-15		Косвенным образом меня связывало с Лениным еще одно знакомство: близкий друг моего отца, его товарищ по ссылке и завсегдатай нашего дома, писатель и врач, Сергей Яковлевич Елпатьевский.	104:110	0:185
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4956-15		Лена была великим водным путем ссылки.	31:37	0:38
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4948-15		Недостаточно и ссылки на "впечатление", которое произвела личность Иисуса на их души 7.	15:21	0:87
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4934-15		Они вместе пережили ссылку и вернулись под Москву -- въезд в столицу бывшим ссыльным был запрещен.	20:26	0:98
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4936-15		Вторая особенность -- неимоверное изобилие цитат и ссылок на классических авторов.	51:57	0:82
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4938-15		Об этом периоде его жизни я только слышал, так как сам лишь с зимы 1907 года появился в ссылке в г.Тобольске.	88:94	0:109
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4940-15		Невольно вспоминался мне нарядный зал нижегородского дворянского собрания с губернатором и архиереем, перед которыми я возвещал в 1894 г. зарю нового "конституционного" царствования Николая II -- и открыл себе прямой путь в ссылку и заграницу.	224:230	0:243
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4942-15		Но, конечно, уже раньше для него было ясно, что он открыл важный факт, так как он, между прочим, старается подтвердить его ссылкой на целый ряд своих идейных предшественников, успевших дать в свое время некоторые отрывочные указания на "хронический арахнит" и его значение для психиатрической клиники.	123:130	0:301
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4988-15		Один актер даже заметил такую мою особенность и заразительно хохотал, как только я доходил до ссылки на Станиславского.	94:100	0:119
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4944-15		Но ограничиться здесь простой ссылкой на двусмысленность -- значит не понять глубины самой двусмысленности и упустить самое важное и интересное.	30:37	0:144
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4950-15		-- А помнишь в ссылке, в Верхоленске На именинах Хуторева.	15:21	0:58
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4952-15		В первый раз он был выпущен под честное слово, что больше не обнажит свою шпагу Слова не сдерживает и попадает в плен второй раз оказывается в Казани, откуда бежит вместе со своим товарищем по конфедерации и ссылке шведом майором Винбландом в Санкт-Петербург, чтобы отсюда на любом попутном суденышке вернуться через Балтику назад в Польшу.	208:214	0:340
ссылка	NOUN	1918	1918-1990	1918-1990_ссылка_4954-15		Только что приехавший из сибирской ссылки Андрей Александрович Аргунов (вместе со своей женой Марией Евгеньевной) был одним из основателей партии социалистов-революционеров.	35:41	0:173
