lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
стена	NOUN	1918	1918-1990	1918-1990_стена_5020-15		Над городом, над сизо-бурыми, заволоченными изморосью лесами неслись с запада низкие, свисающие лохмотьями облака, по десять раз на день начинало дождить, и озеро поднималось над городом свинцовой стеной.	197:203	0:204
стена	NOUN	1918	1918-1990	1918-1990_стена_5044-15		Один человек натирал паркет, а другой оклеивал стены, третий переплетал книги.	47:52	0:78
стена	NOUN	1918	1918-1990	1918-1990_стена_5046-15		Прижатая к стене, недвижная, с запрокинутой назад головой и руками, распростертыми, как у фигур на распятии, она и сама кажется распятой.	11:16	0:137
стена	NOUN	1918	1918-1990	1918-1990_стена_5018-15		Нижние части башен, сохраняющиеся в толще вала, имеют прямоугольную форму, незначительную толщину стен (1.21.3 м) и по своему типу вполне совпадают с типом кремлевских башен XIV в.	98:102	0:180
стена	NOUN	1918	1918-1990	1918-1990_стена_5050-15		В особенности в эти тусклые от сухой мглы, душные дни тоскливо было представлять себе городскую учительницу, сидящую у голой стены, у железной кровати.	125:130	0:151
стена	NOUN	1918	1918-1990	1918-1990_стена_4992-15		С великим напряжением высиживал я два, три часа в яме, насыщенной запахом клея, рассматривая, как по грязной стене ползают мокрицы.	109:114	0:131
стена	NOUN	1918	1918-1990	1918-1990_стена_4994-15		Лазаренко артисты, явившиеся 16 января с.г. на заседание президиума, чтобы понять, какую стену воздвиг между собой и исполнителями т. Лазаренко.	89:94	0:144
стена	NOUN	1918	1918-1990	1918-1990_стена_4996-15		Часовые, завидя черный царский сертук и рядом шубу министра, беззвучно вытягивались вдоль стен.	90:94	0:95
стена	NOUN	1918	1918-1990	1918-1990_стена_4998-15		Обычно в десятом часу за стеной происходило чтение -- хозяйка читала внуку "Войну и мир".	25:31	0:89
стена	NOUN	1918	1918-1990	1918-1990_стена_5000-15		На стенах отсутствовали зеркала и картины; от потолка к полу они были вертикально разделены, в равных расстояниях, лиловым багетом, покрытым мельчайшим серебряным узором.	3:9	0:170
стена	NOUN	1918	1918-1990	1918-1990_стена_5002-15		Все же Конкин сунул голову в одну из трещин, которая наискось рассекала закругленную стену перехода неподалеку от тех мест, где все было смято и искорежено.	85:90	0:156
стена	NOUN	1918	1918-1990	1918-1990_стена_5004-15		Только это меня и спасло, а не то лежать бы мне под стеной с разбитым черепом.	52:58	0:78
стена	NOUN	1918	1918-1990	1918-1990_стена_5006-15		То ему казалось, что они крутятся на одном месте, то что эту стену он видел с другой стороны, то будто крепость слишком большая, то мнилась она слишком маленькой.	61:66	0:162
стена	NOUN	1918	1918-1990	1918-1990_стена_5008-15		Тишина была полной, такой, когда сам себе кажешься оглохшим, но момент спустя я разобрал легкий шелест, как будто материей водили осторожно за стеной.	143:149	0:150
стена	NOUN	1918	1918-1990	1918-1990_стена_5010-15		Все равно он делал успехи и набирался музыкальной культуры, не мог не набраться ее в стенах Московской консерватории.	85:91	0:117
стена	NOUN	1918	1918-1990	1918-1990_стена_5012-15		Общая площадь наших двух комнат немного больше 30 м2, одна служила спальней, столовой и детской, другая (проходная, очень маленькая) была папиным кабинетом -- там у окна стоял папин рабочий стол (папа сам его отремонтировал), с книжными полками по стенам над столом.	248:254	0:266
стена	NOUN	1918	1918-1990	1918-1990_стена_5014-15		Эти учебные заведения ежегодно выпускали из своих стен монархически настроенных военнослужащих, духовных и гражданских лиц.	50:54	0:123
стена	NOUN	1918	1918-1990	1918-1990_стена_5016-15		Тут только я вспомнил, что несколько минут назад пение за стеной оборвалось -- там царствовала тишина, водворенная чьим-то, поразившим умы волонтеров, внезапным появлением.	58:64	0:172
стена	NOUN	1918	1918-1990	1918-1990_стена_5042-15		Тахта, два глубоких кресла, яркий палас на полу, стены с элегантными удобными стеллажами, проигрыватель-стереофоник с парой нарядных спикеров, иконы, ряды долгоиграющих пластинок в цветных блок-пакетах, четыре распятия -- одно из них замечательно красивое, старинный бронзовый фонарь.	49:54	0:284
стена	NOUN	1918	1918-1990	1918-1990_стена_5040-15		У стены стоял Зинин зеленый деревенский сундучок.	2:7	0:49
стена	NOUN	1918	1918-1990	1918-1990_стена_5048-15		Стены белые, очень высокие; свет из громадного окна, отражаясь от них, резал глаза.	0:5	0:83
стена	NOUN	1918	1918-1990	1918-1990_стена_5030-15		Оставалось "забыть" колдунью на стене.	32:37	0:38
стена	NOUN	1918	1918-1990	1918-1990_стена_5038-15		В этом случае никакая богатая отделка стен, пола, потолка и мебели не спасет данного интерьера.	38:42	0:95
