lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5320-15		Спиридович (состоявший в распоряжении Дворцового коменданта), которого также обвиняли в допуске сотрудника Богрова в Киевский театр, задолго до событий в Киеве потребовал немедленного увольнения одного из сотрудников, назначенного Петербургским охранным отделением сопровождать царский автомобиль.	184:194	0:297
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5300-15		Призыв 1902 года в 1924 году дал Красной армии 4.700 партийцев; при увольнении же этого возраста в 1926 году в запас Красная армия дала стране 19.439 партийцев.	68:78	0:160
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5298-15		Я давно не подавал ему руки, не отвечал на поклоны, зная все его предосудительное прошлое и его гнусную роль, сыгранную е моем увольнении.	127:137	0:138
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5296-15		Вскоре по приезду Мищенко в Туркестан начались столкновения между ним и Паленом, а затем и просьбы Мищенко об увольнении его от должности; я его просил терпеть, для пользы дела, до конца и старался успокоить Мищенко, вообще обидчивого, и действительно его удалось удержать в Туркестане.	110:120	0:286
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5324-15		В. В чем заключались главные причины Вашего увольнения О. Их было много и излагая их, я должен отнять у Вас много времени и, кроме того, войти в чисто субъективную оценку, т. к. видимые и официальные причины -- одно, а действительные поводы и основания -- совсем другое.	44:54	0:270
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5322-15		Одно в Киеве очень страшно: это страх людей перед увольнением, перед безработицей.	50:61	0:82
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5348-15		Таким образом, мое увольнение состоялось в самой милостивой форме, якобы по моей просьбе, мотивированной расстройством здоровья, мне был дан рескрипт с благодарностью за мои труды и с признанием "целесообразности многих из моих начинаний"; наконец, меня украсили орденом Александра Невского -- словом, уволили честь честью.	19:29	0:323
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5346-15		Выбор членов Совета, подлежащих увольнению, я произвел при содействии Забелина и Поливанова, хорошо знавших состав Совета.	32:42	0:122
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5302-15		Команда, за исключением вахтенных, ушла в увольнение, в город.	42:52	0:62
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5344-15		-- Своего голоса за увольнение вашего сына я не подам, -- сказал я.	20:30	0:67
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5340-15		Капиталисты грозили трудящимся немедленным увольнением из предприятий и учреждений в том случае, если они будут голосовать за конституцию, не предусматривающую создание второй палаты.	43:54	0:183
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5338-15		Сходным образом люди вдруг меняются под угрозой увольнения.	48:58	0:59
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5334-15		При этом непременным условием я поставил приглашение и увольнение младших маклеров.	55:65	0:83
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5332-15		Устав о промышленном труде, проведение которого было возложено на особые присутствия (в составе представителей власти и фабрикантов) и фабричную инспекцию, содержал некоторые гарантии и для рабочих (расчетные книжки, сроки и правила расплаты, рабочее время, порядок найма и увольнения и проч.), но они были далеко недостаточны.	274:284	0:327
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5330-15		Когда Бредихин наконец добился увольнения из лагеря и засобирался в Москву, Франца удалось устроить к нам в геологический отряд -- поваром и завхозом.	31:41	0:150
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5328-15		Глава VI Об увольнении из рядов вооруженных сил ссср и о запасе солдат, матросов, сержантов и старшин Статья 39.	12:22	0:112
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5326-15		В июле я получил весть из Одессы от д-ра Бродовича, который просил защитить его от увольнения со службы в дисциплинарном порядке, не объясняя в чем дело, в чем его обвиняют и что можно сказать в его защиту За столь сомнительное дело я не взялся; он был уволен, но причины я не знаю.	83:93	0:282
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5342-15		Вытеснение женщин также вызвало издание Наркомтрудом ряда постановлений, направленных к недопущению увольнения женщин, исполняющих одинаковую с мужчинами работу.	100:110	0:161
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5304-15		Государь сказал: "Ну, если так, то печатайте приказ об увольнении".	55:65	0:67
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5336-15		Но петиция требует прекращения войны по воле народа, увольнения рабочих лишь по постановлению постоянных выборных рабочих комиссий, 8-ми час раб. дня, отмены выкупных платежей, дешевого кредита и передачи земли народу, равенства всех перед законом, свободы личности, слова, печати и т. д. **** Об янв. событ.	53:63	0:308
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5316-15		-- Инцидент в Думе, "явившийся причиной моего увольнения".	46:56	0:58
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5306-15		После моего увольнения от должности я провел в Петербурге три недели без всякой работы, чего со мною не бывало, за исключением случаев болезни.	12:22	0:143
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5292-15		Я счел такое невнимание к себе нового министра оскорбительным и подал прошение об увольнении меня от должности минского губернатора, ходатайствуя одновременно о разрешении, до воспоследования приказа, уехать в отпуск.	82:92	0:217
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5314-15		А чтобы она не могла устроиться на другую работу, снабдили ее при увольнении позорной характеристикой.	66:76	0:102
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5308-15		Как произошло это увольнение, я не знаю; но увольнение его было нужно уже потому, что он был в разладе с большинством прочих министров.	18:28	0:135
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5294-15		Когда первоначальная выучка заканчивалась, молодые солдаты принимали присягу и только тогда могли получить первое увольнение из казармы на 3-4 часа.	114:124	0:148
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5350-15		; "преследование" обратится в увольнение единственного генерала, требовавшего обращения его в технического советника при комитете; "поощрение удушающих" -- в отказ в немедленном отчислении от должности, без дознания и следствия двух начальников, обвиненных войсковыми комитетами в неуважении к революции, и в оскорблении солдата и т. д.	30:40	0:336
