lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5660-15		Королева любит своего фаворита Фабиано сильной и страстной любовью.	22:30	0:67
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5708-15		Сменялись фавориты и фавориты фаворитов.	10:18	0:40
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5710-15		Но ведь опять может повториться история с Прологом и Пеленгатором: Приз Элиты разыгрывается по тем же правилам, и в полуфиналах фаворитам не обязательно приходить первыми.	128:137	0:171
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5684-15		Скаредный Чернышев трепетал между фаворитами, он вполголоса вымолвил, что самой императрице ехать-де вредно, и сделал вид, что спешит записать имена тех полков, которым к Москве "маршировать вновь повелено".	34:44	0:207
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5682-15		Фаворит мотнул головой и тихим шагом понес на себе Поля.	0:7	0:56
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5656-15		Один из кандидатов, Нуждин -- ставленник Лысенко, бывшего тогда фаворитом Хрущева.	64:73	0:82
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5658-15		Пользуясь абсолютной безнаказанностью, совтске фавориты, особенно т, которые, такъ или иначе, связаны съ ГПУ, сплошь и рядомъ завлекаютъ въ свои сти понравившихся имъ молодыхъ двушекъ и женщинъ.	47:55	0:194
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5662-15		Окружив себя штатом фаворитов и приживалок, она металась из Парижа в Астрахань, из Петербурга в Ниццу, слывя всюду за русскую богачку, проигрывая десятки тысяч рублей в Монте-Карло, заказывая себе, дочерям и внучкам бесчисленные платья у самых дорогих парижских портных.	20:29	0:270
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5706-15		Потемкин -- фаворит Екатерины -- буквально "выл от страха смерти".	12:19	0:66
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5664-15		Фаворит сделал шаг, другой, стал беспокойно озираться, точно хотел встретиться еще раз с глазами своего наездника.	0:7	0:114
