identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_хозяйка_5852-15	1992-2016_хозяйка_5853-15	0	4		хозяйка
1918-1990_хозяйка_5836-15	1992-2016_хозяйка_5837-15	0	4		хозяйка
1918-1990_хозяйка_5838-15	1992-2016_хозяйка_5839-15	0	2		хозяйка
1918-1990_хозяйка_5840-15	1992-2016_хозяйка_5841-15	0	3		хозяйка
1918-1990_хозяйка_5842-15	1992-2016_хозяйка_5843-15	0	4		хозяйка
1918-1990_хозяйка_5844-15	1992-2016_хозяйка_5845-15	0	3		хозяйка
1918-1990_хозяйка_5846-15	1992-2016_хозяйка_5847-15	0	4		хозяйка
1918-1990_хозяйка_5862-15	1992-2016_хозяйка_5863-15	0	4		хозяйка
1918-1990_хозяйка_5880-15	1992-2016_хозяйка_5881-15	0	1		хозяйка
1918-1990_хозяйка_5882-15	1992-2016_хозяйка_5883-15	0	3		хозяйка
1918-1990_хозяйка_5834-15	1992-2016_хозяйка_5835-15	0	2		хозяйка
1918-1990_хозяйка_5884-15	1992-2016_хозяйка_5885-15	0	4		хозяйка
1918-1990_хозяйка_5888-15	1992-2016_хозяйка_5889-15	0	4		хозяйка
1918-1990_хозяйка_5890-15	1992-2016_хозяйка_5891-15	0	4		хозяйка
1918-1990_хозяйка_5878-15	1992-2016_хозяйка_5879-15	0	3		хозяйка
1918-1990_хозяйка_5866-15	1992-2016_хозяйка_5867-15	0	3		хозяйка
1918-1990_хозяйка_5868-15	1992-2016_хозяйка_5869-15	0	4		хозяйка
1918-1990_хозяйка_5864-15	1992-2016_хозяйка_5865-15	0	4		хозяйка
1918-1990_хозяйка_5870-15	1992-2016_хозяйка_5871-15	0	3		хозяйка
1918-1990_хозяйка_5874-15	1992-2016_хозяйка_5875-15	0	4		хозяйка
1918-1990_хозяйка_5872-15	1992-2016_хозяйка_5873-15	0	4		хозяйка
1918-1990_хозяйка_5886-15	1992-2016_хозяйка_5887-15	0	4		хозяйка
1918-1990_хозяйка_5860-15	1992-2016_хозяйка_5861-15	0	4		хозяйка
1918-1990_хозяйка_5876-15	1992-2016_хозяйка_5877-15	0	1		хозяйка
1918-1990_хозяйка_5856-15	1992-2016_хозяйка_5857-15	0	4		хозяйка
1918-1990_хозяйка_5858-15	1992-2016_хозяйка_5859-15	0	4		хозяйка
1918-1990_хозяйка_5850-15	1992-2016_хозяйка_5851-15	0	4		хозяйка
1918-1990_хозяйка_5854-15	1992-2016_хозяйка_5855-15	0	2		хозяйка
1918-1990_хозяйка_5848-15	1992-2016_хозяйка_5849-15	0	3		хозяйка
1918-1990_хозяйка_5832-15	1992-2016_хозяйка_5833-15	0	4		хозяйка
1918-1990_хозяйка_5854-15	1992-2016_хозяйка_5855-15	1	1		хозяйка
1918-1990_хозяйка_5884-15	1992-2016_хозяйка_5885-15	1	4		хозяйка
1918-1990_хозяйка_5886-15	1992-2016_хозяйка_5887-15	1	4		хозяйка
1918-1990_хозяйка_5888-15	1992-2016_хозяйка_5889-15	1	4		хозяйка
1918-1990_хозяйка_5878-15	1992-2016_хозяйка_5879-15	1	3		хозяйка
1918-1990_хозяйка_5890-15	1992-2016_хозяйка_5891-15	1	4		хозяйка
1918-1990_хозяйка_5832-15	1992-2016_хозяйка_5833-15	1	4		хозяйка
1918-1990_хозяйка_5882-15	1992-2016_хозяйка_5883-15	1	1		хозяйка
1918-1990_хозяйка_5852-15	1992-2016_хозяйка_5853-15	1	2		хозяйка
1918-1990_хозяйка_5866-15	1992-2016_хозяйка_5867-15	1	3		хозяйка
1918-1990_хозяйка_5848-15	1992-2016_хозяйка_5849-15	1	3		хозяйка
1918-1990_хозяйка_5868-15	1992-2016_хозяйка_5869-15	1	4		хозяйка
1918-1990_хозяйка_5870-15	1992-2016_хозяйка_5871-15	1	3		хозяйка
1918-1990_хозяйка_5874-15	1992-2016_хозяйка_5875-15	1	2		хозяйка
1918-1990_хозяйка_5850-15	1992-2016_хозяйка_5851-15	1	1		хозяйка
1918-1990_хозяйка_5872-15	1992-2016_хозяйка_5873-15	1	1		хозяйка
1918-1990_хозяйка_5876-15	1992-2016_хозяйка_5877-15	1	2		хозяйка
1918-1990_хозяйка_5864-15	1992-2016_хозяйка_5865-15	1	4		хозяйка
1918-1990_хозяйка_5856-15	1992-2016_хозяйка_5857-15	1	4		хозяйка
1918-1990_хозяйка_5862-15	1992-2016_хозяйка_5863-15	1	4		хозяйка
1918-1990_хозяйка_5880-15	1992-2016_хозяйка_5881-15	1	4		хозяйка
1918-1990_хозяйка_5838-15	1992-2016_хозяйка_5839-15	1	2		хозяйка
1918-1990_хозяйка_5842-15	1992-2016_хозяйка_5843-15	1	3		хозяйка
1918-1990_хозяйка_5858-15	1992-2016_хозяйка_5859-15	1	4		хозяйка
1918-1990_хозяйка_5836-15	1992-2016_хозяйка_5837-15	1	4		хозяйка
1918-1990_хозяйка_5846-15	1992-2016_хозяйка_5847-15	1	4		хозяйка
1918-1990_хозяйка_5860-15	1992-2016_хозяйка_5861-15	1	4		хозяйка
1918-1990_хозяйка_5844-15	1992-2016_хозяйка_5845-15	1	3		хозяйка
1918-1990_хозяйка_5834-15	1992-2016_хозяйка_5835-15	1	3		хозяйка
1918-1990_хозяйка_5840-15	1992-2016_хозяйка_5841-15	1	4		хозяйка
1918-1990_хозяйка_5834-15	1992-2016_хозяйка_5835-15	2	3		хозяйка
1918-1990_хозяйка_5848-15	1992-2016_хозяйка_5849-15	2	3		хозяйка
1918-1990_хозяйка_5864-15	1992-2016_хозяйка_5865-15	2	4		хозяйка
1918-1990_хозяйка_5868-15	1992-2016_хозяйка_5869-15	2	3		хозяйка
1918-1990_хозяйка_5874-15	1992-2016_хозяйка_5875-15	2	4		хозяйка
1918-1990_хозяйка_5836-15	1992-2016_хозяйка_5837-15	2	4		хозяйка
1918-1990_хозяйка_5866-15	1992-2016_хозяйка_5867-15	2	4		хозяйка
1918-1990_хозяйка_5832-15	1992-2016_хозяйка_5833-15	2	4		хозяйка
1918-1990_хозяйка_5850-15	1992-2016_хозяйка_5851-15	2	3		хозяйка
1918-1990_хозяйка_5838-15	1992-2016_хозяйка_5839-15	2	1		хозяйка
1918-1990_хозяйка_5870-15	1992-2016_хозяйка_5871-15	2	4		хозяйка
1918-1990_хозяйка_5846-15	1992-2016_хозяйка_5847-15	2	4		хозяйка
1918-1990_хозяйка_5880-15	1992-2016_хозяйка_5881-15	2	1		хозяйка
1918-1990_хозяйка_5840-15	1992-2016_хозяйка_5841-15	2	4		хозяйка
1918-1990_хозяйка_5854-15	1992-2016_хозяйка_5855-15	2	2		хозяйка
1918-1990_хозяйка_5878-15	1992-2016_хозяйка_5879-15	2	3		хозяйка
1918-1990_хозяйка_5882-15	1992-2016_хозяйка_5883-15	2	1		хозяйка
1918-1990_хозяйка_5856-15	1992-2016_хозяйка_5857-15	2	4		хозяйка
1918-1990_хозяйка_5872-15	1992-2016_хозяйка_5873-15	2	4		хозяйка
1918-1990_хозяйка_5884-15	1992-2016_хозяйка_5885-15	2	2		хозяйка
1918-1990_хозяйка_5862-15	1992-2016_хозяйка_5863-15	2	4		хозяйка
1918-1990_хозяйка_5844-15	1992-2016_хозяйка_5845-15	2	3		хозяйка
1918-1990_хозяйка_5852-15	1992-2016_хозяйка_5853-15	2	4		хозяйка
1918-1990_хозяйка_5888-15	1992-2016_хозяйка_5889-15	2	4		хозяйка
1918-1990_хозяйка_5890-15	1992-2016_хозяйка_5891-15	2	4		хозяйка
1918-1990_хозяйка_5860-15	1992-2016_хозяйка_5861-15	2	3		хозяйка
1918-1990_хозяйка_5842-15	1992-2016_хозяйка_5843-15	2	4		хозяйка
1918-1990_хозяйка_5858-15	1992-2016_хозяйка_5859-15	2	4		хозяйка
1918-1990_хозяйка_5886-15	1992-2016_хозяйка_5887-15	2	3		хозяйка
1918-1990_хозяйка_5876-15	1992-2016_хозяйка_5877-15	2	1		хозяйка
