lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5832		-- Вас надо гадать на даму треф, -- сообщила хозяйка.	45:52	0:53	5832	rushifteval	ru
хозяйка	NOUN	1992	1992-2016	1992-2016_хозяйка_5833		"Она теперь -- Хранительница нашего очага, мать музыканта, мудрая хозяйка семьи, а никакая не ""су...""."	65:72	0:101	5833	rushifteval	ru
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5834		Никакого привкуса казенщины, казалось, что мы в гостях у радушной хозяйки.	66:73	0:74	5834	rushifteval	ru
хозяйка	NOUN	1992	1992-2016	1992-2016_хозяйка_5835		".."", а в том, который подразумевают, когда речь идет о хозяйке публичного дома."	55:62	0:79	5835	rushifteval	ru
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5836		Хозяйка говорила, что наши деньги в Польше не принимают, но взяла последние мои 6 рублей и налила суп -- чистую водичку, причем даже в хлебе отказала, оправдываясь, что раздала его бойцам.	0:7	0:188	5836	rushifteval	ru
хозяйка	NOUN	1992	1992-2016	1992-2016_хозяйка_5837		"А хозяйка, сказав: ""Обычно она не кусается."	2:9	0:43	5837	rushifteval	ru
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5838		Придет партизан с задания, хозяйка соберет на стол, поставит чарочку, угощает: -- Закуси вот да выпей.	27:34	0:102	5838	rushifteval	ru
хозяйка	NOUN	1992	1992-2016	1992-2016_хозяйка_5839		-- А вы здесь в каком качестве -- поднимаясь на второй этаж за сопроводителем и прекрасно догадываясь, что тот выполняет роль телохранителя хозяйки заведения, поинтересовался Агейко.	140:147	0:182	5839	rushifteval	ru
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5840		Назавтра нашлась его хозяйка.	21:28	0:29	5840	rushifteval	ru
хозяйка	NOUN	1992	1992-2016	1992-2016_хозяйка_5841		"И тогда же родилась ""остроумная"" идея -- продать холодильник хозяйки."	61:68	0:69	5841	rushifteval	ru
хозяйка	NOUN	1918	1918-1990	1918-1990_хозяйка_5842		Когда накал чуточку поостыл и как бы вязнуть стал в бумаге карандаш, Фирсов поднял на хозяйку усталые, огоньком утаенной радости светившиеся глаза, -- их взгляды встретились.	86:93	0:174	5842	rushifteval	ru
