lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
центр	NOUN	1918	1918-1990	1918-1990_центр_6070		Это была общая всем мировым центрам молодежь, кочевавшая из гнезда в гнездо.	28:35	0:76	6070	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6071		Исследованием этой безвременно рассеявшейся цивилизации он думал сделать себе имя и очень скоро стал центром Крымского исторического кружка.	101:108	0:140	6071	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6072		"Для этого потребовался полный пересмотр государственной идеологии, перенос центра новой империи на такое место, откуда поудобнее было бы ""прорубить окно в Европу""."	76:82	0:163	6072	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6073		"Совместно с институтами РАН, отраслевыми научно-производственными и исследовательскими центрами, университетами и ведомствами музей проводит научные конференции, чтения, ""круглые столы"", встречи."	88:96	0:195	6073	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6074		В ресторане Бернштейна, где-то в центре, возле Маркет-стрит, подают только рыбные блюда, сам ресторанчик устроен в виде корабля, кушанья разносят люди в капитанских и матросских костюмах.	33:39	0:187	6074	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6075		Огромный двухколесный зверь странного вида стоял в самом центре королевских покоев на светлом паркете.	57:63	0:102	6075	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6076		Мне приходится отбиваться и справа, и слева, и спереди, и с тыла; это -- бой за действительную точку пересечения моего мировоззрительного многогранника; так я подыскиваю бронировку этого центра, символа в лозунгах: 1) многорядности знаний, 2) ограничения познанием знаний, 3) переложения и сочетания формул знаний друг в друга для построения эмблем смысловых фигур, 4) преодоления отвлеченного познания в мудрость символизма на этом пути.	187:193	0:438	6076	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6077		Этой работе в Учебном центре уделяется очень большое внимание.	22:28	0:62	6077	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6078		Вообще -- и раньше -- интеллигентский tonus Петербурга, где создавался правящий центр Союза Союзов, был для меня слишком левым, слишком отвлеченным, слишком абстрактно-теоретическим.	80:85	0:182	6078	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6079		С тем, что клиенты у выставочных центров разные, согласна и Наталья Лотина.	33:40	0:75	6079	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6080		И музыкальная теория Птолемея выражает его космологию с неподвижным Солнцем в центре мира.	78:84	0:90	6080	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6081		В то же время за кордоном существуют многочисленные оккультные и эзотерические центры, контролируемые крупным финансово-промышленным капиталом и белой эмиграцией.	79:85	0:162	6081	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6082		Аппарат международной федерации сельхозрабочих в Берлине превратился в штрейкбрехерский центр.	88:93	0:94	6082	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6083		Хотя победить на выборах в федеральные и локальные органы власти может лишь доминирующая партия или ее кандидаты, высокий процент голосов, полученных победителями, служит показателем способности локальных акторов действовать в интересах центра.	237:243	0:244	6083	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6084		Черемхово было все-таки открыто и разведано крупное месторождение угля, и село сделалось центром первого в Восточной Сибири каменноугольного рудника, расположенного у самой железной дороги и до сих пор снабжающего ее и город Иркутск минеральным топливом.	89:96	0:254	6084	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6085		Посередине чашечки, по косой к центру груди, проходит шов.	31:37	0:58	6085	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6086		Между тем маршал Ойяма, предоставив Куроки своей участи, 10-го перешел в контрнаступление армиями Нодзу и Оку на наш Западный отряд и на центр.	137:142	0:143	6086	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6087		Гусинскому принадлежит огромный торговый центр в Хайфе, несколько рекламных компаний, фирм, оказывающих услуги по производству кино и ТВ.	41:46	0:137	6087	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6088		"Дядя Валя-то умер давно, еще в восемьдесят шестом, после двух инсультов, -- Вера тогда уже была в Германии, -- а Сергей с Наташей и двумя девочками так и жили в центре, на ""Ц-5"", в двухкомнатной квартире, которую дядя Валя получил после землетрясения, когда его халупа треснула, как орех, и месяца три он подпирал ее бревнами и подмазывал глиной."	162:168	0:346	6088	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6089		Многие методики разрабатываются непосредственно в центрах, исходя из текущих потребностей и ориентации на определенный контингент клиентов без должного для этого научного содержательного обоснования.	50:57	0:199	6089	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6090		Жена Сизифа выставляет рамы и смотрит на работу мужа изумленная: чему Сизиф улыбается ...исключительное желание способно сгущаться, оседать, уплотняться, превращаться в идола или Бога (кулак и Тихон Задонский), и весь секрет в том, чтобы установить разницу между идолом и Богом; не в этом ли центр всего искомого смысла нравственного существования человека.	292:297	0:357	6090	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6091		Я вижу Дом Москвы не только в качестве центра делового сотрудничества двух столиц.	39:45	0:82	6091	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6092		Мы сидели с Алисой и слушали ее наставления; она держала какую-то книгу на коленях, на носу ее были очки, и она была похожа на старую, добрую учительницу из маленького провинциального города: три тысячи населения, церковь, кюре, мэрия, лес в двух километрах, приземистые дубы, под которыми трюфели, осенью грибы и дожди, в центре города витрина фотографа, где выставлены голые маленькие дети на бархатных диванах и застывшие, деревянные новобрачные в непривычно парадных костюмах.	323:329	0:480	6092	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6093		"В нашей стране так и не возникло аналогов таких влиятельных центров, как ""G-17"" в бывшей Югославии или Институт свободы в Грузии, которые планомерно и целенаправленно работали с оппозиционными организациями, оставаясь при этом независимыми от них и свободными для любой конструктивной критики."	61:68	0:293	6093	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6094		Главная заслуга Архимеда в геометрии -- многочисленные теоремы о площадях, объемах и центрах тяжести фигур и тел, образованных не только прямыми линиями и не только плоскими поверхностями.	85:92	0:188	6094	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6095		Что мы со всем этим делать-то будем Ясно, что территория, на которую ребята не смогли пролезть, это и есть тот пресловутый учебный центр.	131:136	0:137	6095	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6096		"Большинство наблюдателей располагалось на так называемой ""половинке"" -- на половине расстояния от центра испытательного поля до городка."	101:107	0:136	6096	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6097		Когда же в центре внимания не эфир или бозоны, а человек, принцип Поппера заводит в тупик.	11:17	0:90	6097	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6098		На самом древнем круглом пространстве, огороженном трехсотлетними стенами саженной толщины, с облезлым бестолковым собором в центре, на каждом квадратном метре загаженной земли росли победоносным бурьяном педагогические проблемы.	125:131	0:229	6098	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6099		В дополнение к этому подсистема метаданных должна обладать следующим рядом свойств: -- структура базы метаданных должна отражать в себе структуру всех элементных составляющих информационного научного центра; -- наличие нескольких взаимосвязанных структурных блоков, обеспечивающих возможность эффективного поиска данных и создания тематических запросов; -- соответствие изменений структуры базы метаданных изменениям структуры центра; -- возможность представления регламентируемого доступа к информации о научном центре широкому кругу пользователей; -- возможность произведения анализа текущего состояния системы на основе базы метаданных, необходимого для построения и редактирования информационных связей между объектами единой геоинформационной среды и элементами системы информационных ресурсов; -- наличие встроенных в базу метаданных статистических функций для формирования отчетов; -- оптимизация функционирования технологии клиент/сервер и распределенной обработки информации.	200:206	0:984	6099	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6100		Делегация вошла в КУБУ, как гребень в волосы, образовав пусть недолгий, но яркий и непривычный эксцентр, в то время как центры административный и продовольственный невольно уступали пришельцу первенство и характер жеста.	120:126	0:220	6100	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6101		По данным Федерального центра государственного санитарно-эпидемиологического надзора, в России число случаев носительства возбудителя вирусного гепатита С почти не изменилось за январь-декабрь 2002 г. по сравнению с аналогичным периодом 2001 г. (уменьшилось на 2,5 %).	23:29	0:268	6101	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6102		"Собственное ускорение снаряда m/sec2 15 20 25 30 40 50 100 200 Подъем над центром земли в km Скорость полета в конце извержения газов v1 m/sec. 8660 9150 9470 9680 0000 10200 10650 10890 Продолжительность полета, до окончания извержения газов t1 sec 1192 762 565 448 319 248 117 57 Отношение начальной массы снаряда к конечной (при окончании взрывов) --при скорости извержения газов C C= 1000 58700000 4160000 1545000 675000 346000 240000 120300 89130 C= 1500 149000 25000 12000 7750 4950 3840 2400 2000 C= 2000"" 7570 2010 1160 825 587 495 347 299 C= 2500 "" 1270 438 282 2l6 164 143 108 95,5 С=3000 388 159 110 88 70 62 49 44,7 C= 4000 "" 87,3 44,8 34,1 28,7 24,2 22, 18,7 17.2 c= 5000 "" 35,7 20,9 16.7 14,6 12,8 11,9 10,4 9.8 С =10000 "" 6,0 4.6 4,1 3,8 3,6 3.5 3,2 3,1 При вычислении этой таблицы Гоманн принимает, что ускорение силы земной тяжести на разных высотах постоянно и равно gm = (2g0 + g1):3, где g0 -- уск. силы тяжести у поверхности земли, g1 на расстоянии r1 от центра земли."	982:988	0:989	6102	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6103		Вернувшись, ребята рассказывали страшные истории о том, что творилось в те дни в центре Москвы, как в невероятной давке, в многокилометровых очередях гибли люди.	81:87	0:161	6103	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6104		Эти радиосигналы принимаются ретрансляторами, установленными по пути следования машины, и передаются в центр управления.	103:108	0:120	6104	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6105		Многоэтажные здания теснятся лишь в деловом центре.	44:50	0:51	6105	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6106		"Так, позднее Печорин будет растрачивать свою духовную мощь на ничтожные дела, но тогда центр тяжести вопроса будет заключаться в уяснении того, что этот титанизм героя нашего времени есть здоровая возможность, т. е. акцент будет поставлен на силе, опошленной ""нашим временем""; так именно, и глубоко, истолковал Печорина Белинский в знаменитой своей апологии лермонтовского героя."	88:93	0:379	6106	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6107		Во втором периоде при счете 2:2 Валерий Харламов по центру обошел двух защитников, выкатился на вратаря Чиверса и послал шайбу под планку.	52:58	0:138	6107	rushifteval	ru
центр	NOUN	1918	1918-1990	1918-1990_центр_6108		Но Жданов его хвалил, к тому же Вознесенский не был связан с центром.	61:68	0:69	6108	rushifteval	ru
центр	NOUN	1992	1992-2016	1992-2016_центр_6109		Не секрет, что многие торговые центры перенасыщены всевозможными рекламными плакатами, вывесками, штендерами.	31:37	0:109	6109	rushifteval	ru
