identifier1	identifier2	annotator	judgment	comment	lemma
6130	6131	0	1		цифра
6130	6131	1	2		цифра
6130	6131	2	1		цифра
6132	6133	0	4		цифра
6132	6133	1	4		цифра
6132	6133	2	4		цифра
6134	6135	0	3		цифра
6134	6135	1	4		цифра
6134	6135	2	3		цифра
6136	6137	0	3		цифра
6136	6137	1	4		цифра
6136	6137	2	4		цифра
6138	6139	0	4		цифра
6138	6139	1	4		цифра
6138	6139	2	4		цифра
6140	6141	0	4		цифра
6140	6141	1	3		цифра
6140	6141	2	4		цифра
6142	6143	0	4		цифра
6142	6143	1	1		цифра
6142	6143	2	4		цифра
6144	6145	0	3		цифра
6144	6145	1	4		цифра
6144	6145	2	4		цифра
6146	6147	0	4		цифра
6146	6147	1	4		цифра
6146	6147	2	4		цифра
6148	6149	0	3		цифра
6148	6149	1	4		цифра
6148	6149	2	4		цифра
6150	6151	0	3		цифра
6150	6151	1	4		цифра
6150	6151	2	1		цифра
6152	6153	0	1		цифра
6152	6153	1	4		цифра
6152	6153	2	3		цифра
6154	6155	0	4		цифра
6154	6155	1	4		цифра
6154	6155	2	3		цифра
6156	6157	0	1		цифра
6156	6157	1	4		цифра
6156	6157	2	4		цифра
6158	6159	0	1		цифра
6158	6159	1	1		цифра
6158	6159	2	4		цифра
6160	6161	0	1		цифра
6160	6161	1	3		цифра
6160	6161	2	4		цифра
6162	6163	0	4		цифра
6162	6163	1	1		цифра
6162	6163	2	1		цифра
6164	6165	0	4		цифра
6164	6165	1	2		цифра
6164	6165	2	4		цифра
6166	6167	0	2		цифра
6166	6167	1	2		цифра
6166	6167	2	2		цифра
6168	6169	0	4		цифра
6168	6169	1	3		цифра
6168	6169	2	3		цифра
6170	6171	0	1		цифра
6170	6171	1	4		цифра
6170	6171	2	3		цифра
6172	6173	0	2		цифра
6172	6173	1	3		цифра
6172	6173	2	1		цифра
6174	6175	0	4		цифра
6174	6175	1	3		цифра
6174	6175	2	4		цифра
6176	6177	0	1		цифра
6176	6177	1	1		цифра
6176	6177	2	2		цифра
6178	6179	0	2		цифра
6178	6179	1	1		цифра
6178	6179	2	1		цифра
6180	6181	0	1		цифра
6180	6181	1	1		цифра
6180	6181	2	1		цифра
6182	6183	0	4		цифра
6182	6183	1	2		цифра
6182	6183	2	4		цифра
6184	6185	0	1		цифра
6184	6185	1	3		цифра
6184	6185	2	3		цифра
6186	6187	0	3		цифра
6186	6187	1	4		цифра
6186	6187	2	4		цифра
6188	6189	0	2		цифра
6188	6189	1	4		цифра
6188	6189	2	4		цифра
