data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	ham_mean_weighted	ham_mean	ham_annotator2,mean_others	ham_annotator1,mean_others	ham_annotator1,annotator2	ham_annotator0,mean_others	ham_annotator0,annotator2	ham_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	3.0	0.5672879592398504	0.6238422735595412	0.6060729751905369	0.5653125031871449	0.6178855223603171	0.5793889395848646	0.5563480271771586	0.5672879592398504	0.5639065003213019	0.5820189195911483	0.5554435609326123	0.5669560147009547	0.5669864791106415	0.6334260714407898	0.6163823192961825	0.5653297060764593	0.628245987859428	0.5793699883984506	0.5562597428570147	0.585860634952835	0.5858574200509026	nan	nan	0.5807140677448885	nan	0.5898687824229478	0.5869894099848714	3277	3277	3305	3305	3305	3277	9915	2416	882	1528	5061	0
авторитет	3.0	0.4847753733232093	0.6021857433321374	0.5754231422959095	0.5617897091722595	0.5249000231684345	0.4518216932873995	0.44667864749733766	0.5246186806678348	0.6135625262081608	0.49969071924274855	0.4663360302213009	0.481511471680871	0.48151147168087105	0.5909252984685729	0.5957564748019097	0.5559417829199436	0.5312147420818729	0.44113655319127243	0.4474560789313971	0.4888888888888888	0.48888888888888893	nan	nan	0.5	nan	0.4666666666666667	0.5	30	30	30	30	30	30	90	18	12	16	44	0
амбиция	3.0	0.24325135819654686	0.3420722574744184	0.2495383384756028	0.23528460216358305	0.31581397508677833	0.33833496460842305	0.16772849868925188	0.4560738882435037	0.45341692329206995	0.520887924675178	0.4113785192382914	0.24644996342478764	0.24644996342478764	0.36488855181188673	0.2577576953213497	0.24566623813142363	0.3612344271439143	0.31953708129251157	0.1741465708504277	0.5666666666666667	0.5666666666666665	nan	nan	0.5333333333333333	nan	0.6333333333333333	0.5333333333333333	30	30	30	30	30	30	90	6	7	18	59	0
апостол	3.0	0.3705416411456659	0.2664803232412686	0.42557524691113835	0.30299395433379706	0.454119857392018	0.32780056197186014	0.5298652275207172	0.5191751493284043	0.5348965904853742	0.4823065431436826	0.6117675838378738	0.3854569565527697	0.3839136704300923	0.28559576954703436	0.43780658310535825	0.29214223002633893	0.45807701927812144	0.3398759320382291	0.5197228492257089	0.6704545454545454	0.6704980842911877	nan	nan	0.6896551724137931	nan	0.6551724137931034	0.6666666666666667	29	29	30	30	30	29	90	11	5	8	65	0
благодарность	3.0	0.19620012742375603	0.20550497565106918	0.1049403329862233	0.0639423076923078	0.3658296955545779	0.2992380586502753	0.21263118035269912	0.48496831644274785	0.41914362486244283	0.5415862892632977	0.4954964505484287	0.1859341220212553	0.18593412202125528	0.20790843026046005	0.14166005450705238	0.06190982773878341	0.33161556160021416	0.28836494803604706	0.20752759028893542	0.5888888888888888	0.5888888888888889	nan	nan	0.5666666666666667	nan	0.5666666666666667	0.6333333333333333	30	30	30	30	30	30	90	3	3	24	60	0
блин	3.0	0.8280747068905204	0.7844507114472503	0.8781884326628974	0.8315007183114156	0.8481255792400371	0.794032299244344	0.8568122188905547	0.8229086336774375	0.8314905531733386	0.7940198737307358	0.841124256083803	0.841716466807352	0.8415708479505822	0.8203950052179344	0.8760759797688148	0.8566469267608182	0.8530597730534465	0.8136803097446018	0.8543853073463268	0.8863636363636364	0.886206896551724	nan	nan	0.8620689655172413	nan	0.896551724137931	0.9	29	29	30	30	30	29	90	67	3	1	18	0
блондин	3.0	0.12472766884531594	-0.07255423824501972	0.2814102564102564	-0.05350877192982462	0.30812557710064636	-0.03508771929824572	0.37690476190476185	0.7987923582085374	0.7565374601272334	0.8161920973990255	0.8271674861001181	0.09137232105801944	0.09137232105801947	-0.07269603816479032	0.28360070881180366	-0.06182216944833071	0.3269608440491378	-0.049629166698546515	0.3855682993209356	0.8777777777777777	0.8777777777777778	nan	nan	0.8666666666666667	nan	0.9	0.8666666666666667	30	30	30	30	30	30	90	0	1	5	84	0
брат	3.0	0.4148120007986318	0.3555121696948066	0.5228728229317852	0.3582392166286196	0.5317660725749749	0.3583034314977863	0.5121349203802924	0.4552768081616796	0.3909440019280913	0.42980968529350183	0.534559236191509	0.41738240427425044	0.4162882505767982	0.3928905198488009	0.5379314636814536	0.3764883820426181	0.533801264098009	0.3598025937351767	0.5125737759525998	0.4886363636363636	0.4877394636015326	nan	nan	0.48275862068965514	nan	0.4137931034482759	0.5666666666666667	29	29	30	30	30	29	90	18	9	16	46	0
бригада	3.0	0.49814208783064373	0.5591034278832592	0.6980480085694809	0.6680127041742286	0.44839226724525494	0.30277349679197674	0.5131954134562883	0.5245273871571084	0.6762046357028695	0.34907054465847576	0.5482528719475173	0.48813684181365513	0.48787293008869304	0.566337165087902	0.7302634266885265	0.6573295925447354	0.44305489575599716	0.2951920358359789	0.5110971618853646	0.5227272727272727	0.5222222222222223	nan	nan	0.5517241379310345	nan	0.4482758620689655	0.5666666666666667	29	29	30	30	30	29	90	22	17	14	36	0
веер	3.0	0.4103655200251155	0.5412298642357662	0.4738498602679001	0.5292559615187802	0.4102978582940138	0.42107730923694786	0.2960109454235076	0.4544850441393192	0.5414932978099944	0.4934971133286976	0.3476958013342547	0.40262331778627247	0.4026233177862724	0.5566402034513103	0.5012425695502497	0.5242626740016414	0.39567977294355583	0.40174250446901916	0.2818647748881568	0.4	0.4000000000000001	nan	nan	0.4	nan	0.33333333333333337	0.4666666666666667	30	30	30	30	30	30	90	32	11	23	24	0
