lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_678-16		Нет ни одного учителягимназии, ни одного уездного учителя, который бы не был под авторитетом русского запада, который бы не знал наизусть письма Белинского к Гоголю, и под их руководством воспитываются новые поколения.	81:92	0:218
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_736-16		Церковь-государство может, если ей заблагорассудится, пожаловать некоторые права гражданства бывшим своим восточным братьям, которых она же некогда объявила илотами в области веры; она может дать им эти права в награду за смиренное их подчинение авторитету папы, не требуя от них единства веры, выраженной в символе.	246:256	0:316
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_710-16		Вдохновенная Богом Церковь для западного христианина сделалась чем-то внешним, каким-то прорицательным авторитетом, авторитетом как бы вещественным: она обратила человека себе в раба и, вследствие этого, нажила себе в нем судью.	103:114	0:228
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_680-16		Об этом Вендрихе я должен сказать несколько слов, потому что он в последние годы играл очень выдающуюся роль, да и до сих пор его имя в известных кругах пользуется некоторым авторитетом.	174:185	0:186
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_682-16		Еще менее кто-либо мог понять, какие интересы русские могли побудить 8 лет спустя на Венском конгрессе весь свой авторитет и весь свой престиж употребить только на усиление маленькой Пруссии.	113:122	0:191
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_684-16		Тотлебен хотя крайне тяжел и едва ли будет приятен для князя Карла, но, по крайней мере, будет иметь авторитет как по своей боевой репутации, так и по опытности в том именно деле, к которому теперь призван.	101:110	0:206
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_686-16		Единственный выход из него для них -- надежда на то, что, пользуясь авторитетом церкви, древности, святости, можно запугать читателя, своим умом обдумать вопрос.	68:79	0:161
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_688-16		Ротмистр трижды на своем веку был разжалован за дела чести и трижды выслуживался; он был авторитетом рыцарства в офицерском кругу.	89:100	0:130
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_734-16		Авторитет этот был далеко не силен, а строгость вбила "дурь" только еще глубже, а не выбила наружу.	0:9	0:99
авторитет	NOUN	1700	1700-1916	1700-1916_авторитет_690-16		В сущности, ошибка произошла оттого, что назначенный для преследования турок донской генерал Чернов не имел достаточно авторитета, чтобы заставить слушать себя титулованного командира фешенебельного гвардейского полка, отданного ему под команду.	119:129	0:245
