lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_754-16		У другого еще и губы не обсохли, а уж амбицию показывает.	38:45	0:57
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_744-16		А отчего же так и будет по-прежнему А оттого, что уж у бедного человека, по-ихнему, все наизнанку должно быть; что уж у него ничего не должно быть заветного, там амбиции какой-нибудь ни-ни-ни!	162:169	0:192
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_742-16		Ты, Ульяна Митревна, уж снисходи ко мне, -- пожалей маленько, если при людях, в таком разе, нагрублю тебе, не взыщи: не я грублю, амбиция грубит.	130:137	0:145
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_750-16		Тоже свою амбицию соблюдает.	10:17	0:28
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_740-16		И насчет его опять есть фортель: амбицию большую имеет!	33:40	0:55
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_766-16		Нет ли у вас, Юлия Карловна, знакомого какого-нибудь чиновника, мне нужен стряпчий, только, знаете, недорогого, потому что дело грошовое, из одной амбиции тягаюсь, уступить не хочется.	147:154	0:184
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_774-16		Не до амбиции.	6:13	0:14
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_768-16		Он вошел в амбицию и уже по своей ограниченности сейчас же заговорил об отставке, без сомнения, для него вовсе нежелательной.	11:18	0:125
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_764-16		Сошлось много народу смотреть, как она будет плакать и за гробом идти; тогда пастор, -- он еще был молодой человек, и вся его амбиция была сделаться большим проповедником, -- обратился ко всем и указал на Мари.	126:133	0:210
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_796-16		Новый родитель мой женился на ней для поддержания своей амбиции, что у меня-де жена дворянка и много родных, все благородные.	56:63	0:125
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_752-16		Из-за такого неважного недосмотра смешно вламываться в какую-то авторскую амбицию.	74:81	0:82
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_794-16		Расскакался, дуралей, я с амбицией!	26:34	0:35
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_792-16		Погибаешь, ветошке подобишься, так ведь нет же, туда же с амбицией, дескать, честь моя страждет, дескать, честь тебе свою нужно спасать!	58:66	0:136
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_748-16		Сначала сам добивался от Сонечки, а тут и в амбицию вдруг вошли: "Как, дескать, я, такой просвещенный человек, в одной квартире с таковскою буду жить" А Катерина Ивановна не спустила, вступилась.	44:51	0:195
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_790-16		Амбиция господина Зеленькова смягчилась: он почувствовал даже некоторую всепрощающую теплоту относительно Фомушки.	0:7	0:114
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_786-16		И она представила в лицах (да как похоже!) жеманную физию Лизы, которая имела глупость войти в амбицию и обижаться выражениями m-lle Blanche.	95:102	0:141
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_788-16		Сведения некоторых заходили так далеко, что они утверждали, будто бы Бонапарт в амбицию вломился за то, что наш царь с ним породниться не захотел, а написал ему: "Ты, любезный друг, управляйся как знаешь со своими голоштанными французами, а в мои хрестьянские дела не мешайся".	80:87	0:277
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_756-16		Положим, он более всего действовал ради удовлетворения своей амбиции, но ведь амбиция-то хорошая.	61:68	0:97
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_738-16		-- И ушла я, рассерженная, что вечер пропал даром; да и обидно мне было, что он такой бесчувственный: ведь тоже своя амбиция у нас в этом.	117:124	0:138
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_782-16		-- Могли, значит, кроме его, еще и другие лица видеть -- мелочной сиделец, например, -- и ежели на повальном обыске окажется, что точно заприметили этих шведочек, то, я вам доложу-с, -- для вашей амбиции мораль подозрительная может произойти.	196:203	0:242
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_770-16		На грош муниции, а на рупь амбиции!	27:34	0:35
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_772-16		А то что было тогда обижать меня, Варенька, купно со врагами моими, на честь и амбицию честного человека посягающими!	79:86	0:117
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_762-16		Шляхтичи теперь там потому только и ломаются, что у них больно много амбиции.	69:76	0:77
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_776-16		О, какое ему дело теперь до собственной подлости, до всех этих амбиций, поручиков, немок, взысканий, контор и проч., и проч.!	63:70	0:125
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_784-16		Но майорская дочь Чечеткина, не видавши Кати в лицо, с особенной злобой отзывалась, что одни холоденские неотесанные дуры могут найти в ней что-нибудь хорошее; амбиции вовсе не имеют, унижаются перед дочерью соляного пристава.	160:167	0:226
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_760-16		Вот голь и лохмотья нищей братии да беспардонных пьяниц-пропойц; виц-мундир, либо красный воротник небритого оборвыша чиновника да выгнанного офицера, которые "свою амбицию наблюдают" и по этому случаю все стараются держаться поближе к синим чуйкам, вроде загулявших до последнего безобразия артельщиков, которые, в свою очередь, взирают на них с нескрываемым насмешливым презрением, и все ублажают: "Покажи ты нам, братец, какой ни на есть фортель, а мы тебе за это пару вина предоставим".	165:172	0:490
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_746-16		Вот тебе и амбиция, подлец ты этакой, вот и амбиция!..	11:18	0:54
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_780-16		-- Так что ж нам трынка-то важность, что ли -- вломился вдруг в амбицию солдат.	64:71	0:79
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_758-16		Ну, есть, действительно есть одно щекотливое обстоятельство, -- да ведь оно не беда: оно не может замарать человека, амбицию его запятнать и карьеру его загубить, когда не виноват человек, когда сама природа сюда замешалась.	117:124	0:224
