identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_апостол_812-16	1992-2016_апостол_813-16	0	1		апостол
1700-1916_апостол_810-16	1992-2016_апостол_811-16	0	4		апостол
1700-1916_апостол_800-16	1992-2016_апостол_801-16	0	1		апостол
1700-1916_апостол_852-16	1992-2016_апостол_853-16	0	2		апостол
1700-1916_апостол_848-16	1992-2016_апостол_849-16	0	4		апостол
1700-1916_апостол_798-16	1992-2016_апостол_799-16	0	2		апостол
1700-1916_апостол_854-16	1992-2016_апостол_855-16	0	2		апостол
1700-1916_апостол_804-16	1992-2016_апостол_805-16	0	4		апостол
1700-1916_апостол_856-16	1992-2016_апостол_857-16	0	4		апостол
1700-1916_апостол_828-16	1992-2016_апостол_829-16	0	4		апостол
1700-1916_апостол_844-16	1992-2016_апостол_845-16	0	4		апостол
1700-1916_апостол_826-16	1992-2016_апостол_827-16	0	4		апостол
1700-1916_апостол_846-16	1992-2016_апостол_847-16	0	4		апостол
1700-1916_апостол_824-16	1992-2016_апостол_825-16	0	4		апостол
1700-1916_апостол_850-16	1992-2016_апостол_851-16	0	2		апостол
1700-1916_апостол_830-16	1992-2016_апостол_831-16	0	4		апостол
1700-1916_апостол_806-16	1992-2016_апостол_807-16	0	4		апостол
1700-1916_апостол_832-16	1992-2016_апостол_833-16	0	4		апостол
1700-1916_апостол_820-16	1992-2016_апостол_821-16	0	1		апостол
1700-1916_апостол_834-16	1992-2016_апостол_835-16	0	3		апостол
1700-1916_апостол_818-16	1992-2016_апостол_819-16	0	4		апостол
1700-1916_апостол_836-16	1992-2016_апостол_837-16	0	4		апостол
1700-1916_апостол_816-16	1992-2016_апостол_817-16	0	4		апостол
1700-1916_апостол_838-16	1992-2016_апостол_839-16	0	4		апостол
1700-1916_апостол_808-16	1992-2016_апостол_809-16	0	4		апостол
1700-1916_апостол_814-16	1992-2016_апостол_815-16	0	1		апостол
1700-1916_апостол_840-16	1992-2016_апостол_841-16	0	4		апостол
1700-1916_апостол_842-16	1992-2016_апостол_843-16	0	4		апостол
1700-1916_апостол_822-16	1992-2016_апостол_823-16	0	1		апостол
1700-1916_апостол_802-16	1992-2016_апостол_803-16	0	4		апостол
1700-1916_апостол_806-16	1992-2016_апостол_807-16	1	4		апостол
1700-1916_апостол_804-16	1992-2016_апостол_805-16	1	4		апостол
1700-1916_апостол_836-16	1992-2016_апостол_837-16	1	4		апостол
1700-1916_апостол_798-16	1992-2016_апостол_799-16	1	2		апостол
1700-1916_апостол_802-16	1992-2016_апостол_803-16	1	4		апостол
1700-1916_апостол_810-16	1992-2016_апостол_811-16	1	4		апостол
1700-1916_апостол_824-16	1992-2016_апостол_825-16	1	4		апостол
1700-1916_апостол_820-16	1992-2016_апостол_821-16	1	2		апостол
