lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
апостол	NOUN	1700	1700-1916	1700-1916_апостол_798		Ему, как какому-то апостолу отрицания, пришлось разыграть в сфере критики и публицистики то же самое, что, другими способами и приемами, разыграл в искусстве Гоголь и что, иначе уже, конечно, продолжало потом и продолжает разыгрываться или доигрываться почти всеми литературными деятелями до сих пор.	19:27	0:300	798	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_799		Собственно в этом и есть главное предупреждение Апокалипсиса апостола Иоанна.	61:69	0:77	799	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_800		Вспомните, что апостол Павел был Савлом.	15:22	0:40	800	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_801		"Осенью 1863 года Бакунин уже в Италии, вступает в контакты с Джузеппе Гарибальди и ведёт интенсивную работу, выступая в качестве ""апостола анархии"", борясь за ""великий принцип свободы, достоинства и прав человека""."	130:138	0:214	801	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_802		"Вспомните, что говорит апостол Лука: ""Но вы любите врагов ваших и благотворите и взаймы давайте, ничего не ожидая; и будет вам награда великая, и вы будете сынами Всевышняго: ибо Он благ и к неблагодарным и злым""."	23:30	0:213	802	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_803		"Напоминаю откровение апостола Петра: ""Словно только что рожденные младенцы, полюбите чистое молоко слова, дабы от него возросли вы ради спасения""."	21:29	0:146	803	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_804		И хотя сие их для власти и сребролюбия умышленное, яко всем видимое коварство толковать непотребно, но токмо то дивно, как оной архиерей такую тяжкую хулу на письмо святое произнести дерзнул, якобы бог умысленно закон темен и невразумителен предал, не видя и не разумея или не хотя разуметь, что пророки и апостолы оный светом, просвещением и вразумлением младенцев именуют.	306:314	0:374	804	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_805		"Смиренно воспринимая преемственную апостольскую благодать, сознаю высоту и ответственность предстоящего архипастырского труда, названного святым апостолом Павлом делом ""домостроительства Божия"" (Тит. 1, 7)."	35:47	0:206	805	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_806		"В другой раз на второе запрещение Пётр вместе с другими апостолами (значит, это голос всех апостолов) сказал ещё яснее и резче: ""Должно повиноваться больше Богу, нежели человекам"" (Деян."	56:66	0:186	806	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_807		Выступая в Ареопаге, апостол Павел насыщает свою речь цитатами из гимнов языческим богам.	21:28	0:89	807	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_808		Декарт, Шеллинг, Ницше повествуют о своих превращениях, у нас Толстой и Достоевский -- о своих, в прошлом менее отдаленном -- Магомет и ап.	0:0	0:139	808	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_809		В отличие от диатриб, предназначавшихся для устного общения, Послания апостола Павла -- памятники письменной речи.	70:78	0:114	809	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_810		Таким образом, легендарное предание об апостоле Андрее одно из древнейших на Руси, основанное на чествовании гор, объясняется старинным обычаем, доселе наблюдаемым в Болгарии.	39:47	0:175	810	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_811		29 ноября, в Неделю 25-ю по Пятидесятнице и день памяти святого апостола и евангелиста Матфея, Святейший Патриарх Московский и всея Руси Кирилл совершил Божественную литургию в кафедральном соборном Храме Христа Спасителя.	64:72	0:222	811	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_812		"Апостол с золотой цепью заметил это и, приняв торжественный вид, сказал ему: ""Подумайте, молодой человек -- через несколько часов вы будете не мне отвечать, а богу""."	0:7	0:165	812	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_813		И Апостолы увещевают:.	2:10	0:22	813	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_814		"И припомнил лихого марсового и отчаянного пьяницу на корабле ""Двенадцать апостолов"", которым Корнилов прежде командовал."	73:82	0:120	814	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_815		* 28 октября в Багдаде в результате взрыва начиненного взрывчаткой автомобиля возле блокпоста погиб сержант 1 -го класса 1 -го дивизиона 21 ап 1 кд, двое военнослужащих получили ранения.	0:0	0:186	815	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_816		Видишь, как здесь о всех путешественниках апостолы молились, потому и на море легко молиться, что Бог премудростью там кормит и млеком питает.	42:50	0:142	816	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_817		Третьим примером может служить икона апостолов Петра и Павла, записанная в каталоге Джакомо Гримальди в 1617 г. под номером 52.	37:46	0:127	817	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_818		У пленного шведа, графа Пиппера я видела медаль, выбитую шведами: на одной стороне царь, греющийся при огне своих пушек, из коих летят бомбы на осажденную Нарву; надпись: Петр стоял у огня и грелся -- с намеком на апостола Петра во дворе Каиафы; на другой -- русские, бегущие от Нарвы и впереди Петр; царская корона валится с головы, шпага брошена; он утирает слезы платком; надпись гласит: вышед вон, плакал горько.	214:222	0:416	818	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_819		"""Ну, кто они такие, вообще, апостолы"" -- сказал Сережа."	28:36	0:55	819	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_820		"Идет вокруг аналоя иподиакон, диакон с омофором, второй иподиакон, за ним со средины солеи уходит диакон, читающий апостол; протодиакон поставляет св. евангелие на аналой, полагает на евангелие орарь и начинает: ""Благослови, Преосвященнейший Владыко благовестителя"" и пр."	115:122	0:271	820	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_821		В момент Успения (сюжет иконы) явился Христос в небесной славе, принял душу Матери своей, и в окружении апостолов (невидимый, но присутствующий инаково, в виде яркого и легкого света) вознесся с нею на небо.	104:113	0:207	821	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_822		"Слышала ли ты про апостола Павла, какой был он грешный человек, но после покаялся и стал святым""."	18:26	0:97	822	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_823		"Его три раза задерживали разные персоны, причастные к кино, и спрашивали, как там было ""на капитанском мостике"", и он всем отвечал однозначно: -- Кип ап смайлинг!"	0:0	0:162	823	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_824		"Когда тому же самому ап. Петру начальники, старейшины, книжники, первосвященники и ""прочие из рода первосвященнического ""приказали"" не учить об имени Иисуса"" -- что сделал ап."	0:0	0:175	824	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_825		"Апостол Петр: ""Извините, но бандитам вход в рай запрещен""."	0:7	0:58	825	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_826		Побывали в пещере, где он ее воскресил и так ее пещера ласкает с любовью русского паломника: и видится апостол Петр и его энергичная молитва ко Господу.	103:110	0:152	826	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_827		"Тогда князь Трубецкой написал свое ""Умозрение в красках"", Флоренский книгу об иконе, когда экспедиция Грабаря нашла на кадках с огурцами и капустой потемневшие лики архангела Михаила и апостола Павла, а перевернув ступеньку, по которой ступали грязные ноги, увидела на обороте потемневшего Спаса, который сейчас украшает Третьяковскую галерею."	185:193	0:343	827	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_828		"Хотя у этой секты и есть ""Иисус Христос"", -- но главою ее, истинной душою следует считать ""апостола Павла"" -- Галактионова."	91:99	0:123	828	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_829		"Воплощение же Бога Слова, приход Христа в мир открывает для человека возможность соединиться с нетварной божественной энергией и сделаться, по выражению апостола Петра, ""причастником Божеского естества"", что и приводит к синергии, частным проявлением которой является богослужебное пение, основанное на системе Октоиха."	153:161	0:319	829	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_830		Отказались от него ученики, отказались апостолы, отказались жены-мироносицы.	39:47	0:76	830	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_831		По преданию, апостол Андрей останавливался на острове Валаам.	13:20	0:61	831	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_832		Чтите настоятелей ваших о Господе и имейте их по преизлиха в любви за дело их, -- говорит апостол.	90:97	0:98	832	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_833		"""Не сообразуйтесь веку сему"", учил нас апостол Павел."	39:46	0:53	833	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_834		После Преображения апостолы нашли себя в прежней обстановке на горе Фаворе, и распахнувшаяся пред ними на мгновение высшая, подлинная действительность опять закрылась.	19:27	0:167	834	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_835		"Николай Каретников Темы с вариациями Издательство Corpus Мемуары отечественного композитора Николая Каретникова (1930--1994), автора опер ""Тиль Уленшпигель"" и ""Мистерия апостола Павла""."	169:177	0:185	835	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_836		И се, о слышателие, в Петре нашем, в котором мы первее видели великаго богатыря, по том же мудраго владетеля, видим уже и апостола.	122:130	0:131	836	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_837		Выкопали ров и опустили в него каменный ящик с мощами святого апостола Андрея Первозванного.	62:70	0:92	837	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_838		Дева упадет на руки поддерживающих ее апостолов.	38:47	0:48	838	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_839		"И то, что деревенский парень, пастух, вдруг ошеломлен был изречением апостола Луки: ""Отец небесный даст дух святой тем, которые его просят""."	69:77	0:140	839	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_840		У церкви значит, две главы невидимые: Иисус Христос -- глава всей церкви небесной и земной, и дух апостола Петра -- только земной, и еще третья глава видимая -- папа, впрочем не постоянная, а только перемежающаяся, иногда бывающая, иногда нет, и в последнем случае заменяемая вождем, но все-таки остающаяся орудием духа Петрова.	98:106	0:328	840	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_841		Ионис судорожно вцепился в брандспойт, а я повторил: -- Багира, ап!	0:0	0:67	841	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_842		Того же году преставися митрополит Леонтий, и возведен бысть в его место Иоан; он же создал в Киеве церковь каменну святых апостол Петра и Павла.	123:130	0:145	842	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_843		Высокий опыт ее встречается у апостола Павла: Знаю человека во Христе, который ... был восхищен в рай и слышал неизреченные слова, которых человеку нельзя пересказать (2 Кор 12:2-4).	30:38	0:182	843	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_844		Все те частицы, которые оставались доселе на дискосе и были вынуты на Проскомидии в воспоминание святых, в упокой усопших и в душевное здравие живущих, теперь погружены во Святую Чашу и в сем действии их погружения приобщается Телу и Крови Христовой вся Церковь Его -- и та, которая еще странствует и воинствует на земле, и та, которая уже торжествует на небесах: Богоматерь, пророки, апостолы, отцы церковные, святители, отшельники, мученики, все грешные, за которых были вынуты части, на земле живущие и отшедшие, приобщаются в эту минуту Телу и Крови Христовой.	385:393	0:564	844	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_845		Туристы тоже собираются перед ратушей -- поглазеть, как открываются над часами окошки и старинный механизм крутит вереницу апостолов.	123:132	0:133	845	rushifteval	ru
апостол	NOUN	1700	1700-1916	1700-1916_апостол_846		Избавлю себя и вас от подробностей; не хочу говорить о стиле, о бесчисленных колоннах, фронтонах, статуях апостолов, королевы Анны, Великобритании с копьем, Франции с короною, Ирландии с арфою, Америки с луком; и даже не скажу ни слова о величественном куполе.	106:115	0:260	846	rushifteval	ru
апостол	NOUN	1992	1992-2016	1992-2016_апостол_847		Афоний, пораженный, раскаялся, и апостол Петр тут же исцелил его.	33:40	0:65	847	rushifteval	ru
