lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_858		Но за последние два месяца я по случаю болезни правителя канцелярии исполнял его должность и по истечении этого срока получил от попечителя лестную благодарность за порядок и быстроту действий.	148:161	0:193	858	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_859		И что же случилось Из жития митрополита Филарета мы узнаем, что от изумления, от благодарности и от действия Святого Духа через таинство и непосредственно на их души, которые открылись Богу, вся деревня начала меняться; через какое-то время пьянство прошло: и священник стал трезвый, и жители деревни стали трезвыми.	81:94	0:316	859	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_860		И эта благодарность, и несколько умиленное лицо брата приятно щекотали нервы Пинегина.	6:19	0:86	860	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_861		Всем общая благодарность.	11:24	0:25	861	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_862		Заканчивая защиту, -- что бы нас ни ожидало, -- мы должны заявить горячую благодарность тем ученым, литераторам и представителям высшего суда, которые содействовали разъяснению истины в этом процессе.	74:87	0:200	862	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_863		Автор выражает искреннюю признательность за многолетнюю неоценимую помощь, советы и замечания Ю. Н. Беспятых, а также благодарность руководству Санкт-Петербургского института истории РАН и сотрудникам Отдела источниковедения и Архива, принявшим участие в обсуждении рукописи монографии, особенно Е. К.	118:131	0:301	863	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_864		"Казалось, можно было бы ожидать, что в своих ""Записках"" Якушкин и князь Трубецкой обмолвятся хотя бы словом благодарности к столь милостиво относившемуся к ним Государю."	108:121	0:169	864	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_865		Поэтому когда барона арестовали за подозрительные ночные хождения по улицам, он даже обрадовался и к нарам прильнул, преисполненный благодарности.	132:145	0:146	865	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_866		Княжна Людмила, которую также донимали радетели о ее будущей судьбе, отделывалась полусловами и короткою благодарностью.	105:119	0:120	866	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_867		"Ни песен, ни слов о кино я им в благодарность не произнес, но подивился магической силе рекламы -- народу собралось ""выше крыши""."	32:45	0:129	867	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_868		И тотчас же, не выходя из храма, была воздана творцу благодарность за его помощь и за победу.	53:66	0:93	868	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_869		Если не этого она ждала, то чего же Вместо благодарности получаю оглушительный, а также наполовину и ослепляющий удар в правый глаз.	43:56	0:132	869	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_870		Прежде всего примите мою глубокую благодарность за Ваше радушие и сочувствие мне, которое Вы доказали и словом и делом.	34:47	0:119	870	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_871		В благодарность за восторженный приём царский наследник и генерал-майор одарил избранных лиц принимавшей его стороны: городского голову Ф. С. Колмогорова собственным фотографическим портретом придворного фотографа великого князя Николая Николаевича Старшего -- К. И. Бергамаско -- с автографом; невестку С. М. Трусова, младшую хозяйку гостеприимного дома, -- драгоценным браслетом.	2:15	0:381	871	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_872		Олтаржевский (держал себя чрезвычайно скверно, в благодарность за что был выпущен); 16 авг. по делу Гончарова ар. Мария Сыцянко (вые. в Зап.	49:62	0:140	872	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_873		Анюта взглянула удивленно, с тайной благодарностью и от смущения принялась подкладывать всем на тарелки, дожевывая кусок сквозь улыбку.	36:50	0:135	873	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_874		Чем она не пожертвовала для него -- и вот вам благодарность за все труды, хлопоты, неприятности и даже обиды.	46:59	0:109	874	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_875		"Тем более что завтра он объявит вам благодарность и вы ""зарядитесь психической энергией""."	36:49	0:89	875	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_876		Печать на 1/4 говорила о благодарности и на 9/10 говорила во имя отрицания, обличения и осуждения.	25:38	0:98	876	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_877		А я с благодарностью вспоминаю те недолгие часы, когда я с робостью слушал его короткие отрывистые фразы и мог считать его своим ментором.	6:20	0:138	877	rushifteval	ru
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_878		Он не требует слов, но смотрит на дела наши; а благодетелю нашему будем стараться всячески показывать детскую любовь и благодарность, и будем к нему искренны.	119:132	0:158	878	rushifteval	ru
благодарность	NOUN	1992	1992-2016	1992-2016_благодарность_879		"Демократы, как могли, поддерживали президента и его супругу: бурными аплодисментами, свистом и криками -- до речи, а также одобрительными взглядами и опять аплодисментами -- во время оной, когда Билл произносил слова благодарности ""замечательной жене, потрясающей матери и просто великой первой леди""."	217:230	0:301	879	rushifteval	ru
