identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_веер_1172-16	1992-2016_веер_1173-16	0	1		веер
1700-1916_веер_1206-16	1992-2016_веер_1207-16	0	1		веер
1700-1916_веер_1160-16	1992-2016_веер_1161-16	0	1		веер
1700-1916_веер_1190-16	1992-2016_веер_1191-16	0	2		веер
1700-1916_веер_1202-16	1992-2016_веер_1203-16	0	1		веер
1700-1916_веер_1162-16	1992-2016_веер_1163-16	0	4		веер
1700-1916_веер_1164-16	1992-2016_веер_1165-16	0	4		веер
1700-1916_веер_1214-16	1992-2016_веер_1215-16	0	2		веер
1700-1916_веер_1166-16	1992-2016_веер_1167-16	0	2		веер
1700-1916_веер_1216-16	1992-2016_веер_1217-16	0	4		веер
1700-1916_веер_1168-16	1992-2016_веер_1169-16	0	2		веер
1700-1916_веер_1212-16	1992-2016_веер_1213-16	0	1		веер
1700-1916_веер_1210-16	1992-2016_веер_1211-16	0	2		веер
1700-1916_веер_1170-16	1992-2016_веер_1171-16	0	2		веер
1700-1916_веер_1204-16	1992-2016_веер_1205-16	0	4		веер
1700-1916_веер_1208-16	1992-2016_веер_1209-16	0	4		веер
1700-1916_веер_1192-16	1992-2016_веер_1193-16	0	3		веер
1700-1916_веер_1180-16	1992-2016_веер_1181-16	0	1		веер
1700-1916_веер_1158-16	1992-2016_веер_1159-16	0	4		веер
1700-1916_веер_1174-16	1992-2016_веер_1175-16	0	2		веер
1700-1916_веер_1194-16	1992-2016_веер_1195-16	0	2		веер
1700-1916_веер_1184-16	1992-2016_веер_1185-16	0	4		веер
1700-1916_веер_1196-16	1992-2016_веер_1197-16	0	4		веер
1700-1916_веер_1182-16	1992-2016_веер_1183-16	0	2		веер
1700-1916_веер_1176-16	1992-2016_веер_1177-16	0	2		веер
1700-1916_веер_1198-16	1992-2016_веер_1199-16	0	4		веер
1700-1916_веер_1186-16	1992-2016_веер_1187-16	0	2		веер
1700-1916_веер_1188-16	1992-2016_веер_1189-16	0	1		веер
1700-1916_веер_1200-16	1992-2016_веер_1201-16	0	4		веер
1700-1916_веер_1178-16	1992-2016_веер_1179-16	0	1		веер
1700-1916_веер_1192-16	1992-2016_веер_1193-16	1	1		веер
1700-1916_веер_1206-16	1992-2016_веер_1207-16	1	3		веер
1700-1916_веер_1216-16	1992-2016_веер_1217-16	1	4		веер
1700-1916_веер_1208-16	1992-2016_веер_1209-16	1	2		веер
1700-1916_веер_1158-16	1992-2016_веер_1159-16	1	4		веер
1700-1916_веер_1214-16	1992-2016_веер_1215-16	1	3		веер
1700-1916_веер_1198-16	1992-2016_веер_1199-16	1	4		веер
1700-1916_веер_1196-16	1992-2016_веер_1197-16	1	4		веер
1700-1916_веер_1210-16	1992-2016_веер_1211-16	1	2		веер
1700-1916_веер_1202-16	1992-2016_веер_1203-16	1	1		веер
1700-1916_веер_1194-16	1992-2016_веер_1195-16	1	1		веер
