lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1276-16		Это объявление было принято студенчеством как вызов по их адресу и как покушение на студенческие права.	46:51	0:103
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1280-16		После нескольких минут тупого молчания -- подымается какой-то ярыжный купец и делает предложение: принять вызов г. Трепова, но прежде, для определения размера жертвы, просить его сделать справку, сколько город Берлин пожертвовал на встречу нашего Императора.	106:111	0:258
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1278-16		Французы сами могут образумиться, когда увидят, что не испугались их вызова.	69:75	0:76
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1308-16		Приготовился выходить на вызовы!	25:31	0:32
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1304-16		По окончании курса он был сперва учителем математики в том же шляхетском корпусе, но вскоре по вызову великого князя Павла Петровича, в числе лучших офицеров, был отправлен на службу в гатчинскую артиллерию, где Алексеем Андреевичем и сделан был первый шаг к быстрому возвышению.	95:101	0:279
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1298-16		Россия объявила строгий нейтралитет; но странно, с минуты объявления войны, невзирая на то, что вызов и нападение сделаны были Франциею и она кругом виновата, все симпатии в петербургском обществе высказались на стороне Франции.	96:101	0:228
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1306-16		Я, кажется, и не встречал на веку моем писателя, менее заслуживавшего внимания, как этот Головин, в одно время игравший на бирже и в оппозицию,пробиравшийся в жокей-клуб, в мир лореток и в демократические консилиабулы -- наглый и ребячески-трусливый, но он остался в Париже, несмотря на вызов и сделался прежде всех русским "политическим" эмигрантом и притом из особенного начала, из страха: ему мерещились всевозможные ужасы, которые по отношению к нему просто были немыслимы.	287:292	0:477
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1330-16		На глинистой, обильной росой развлаженной почве вызовом легли резкие отпечатки огромных когтистых лап.	48:55	0:102
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1282-16		Каждый арестант по вызову подходил к столу, где имя его и назначение, куда он следовал, проверялось по статейному списку, а затем унтер-офицер брал арестанта и, передавая его тут же стоявшему ефрейтору, кричал: -- Обыскать и наручники!	19:25	0:235
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1328-16		Или, по-вашему, тоже бежать будет нечестно, не доблестно, или как там... не по-христиански, что ли -- еще с пущим вызовом прибавила Катя.	114:121	0:137
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1322-16		-- Полно, дедушка Магомет! -- возразила я азартно, с вызовом, -- разве есть что-либо, чего может бояться Нина бек-Израэл, твоя любимая внучка!	53:60	0:142
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1320-16		Защитник подсудимой просил суд о вызове свидетелей, не спрошенных на предварительном следствии, для проверки через допрос их об обстоятельствах, вызвавших и сопровождавших наказание Боголюбова.	33:39	0:193
вызов	NOUN	1700	1700-1916	1700-1916_вызов_1324-16		Еще раз повторяю: я и тогда считал его и теперь считаю (когда уже все кончено) именно таким человеком, который если бы получил удар в лицо или подобную равносильную обиду, то немедленно убил бы своего противника, тотчас же, тут же на месте и без вызова на дуэль.	246:252	0:262
