lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дух	NOUN	1700	1700-1916	1700-1916_дух_1464-16		Подлинно во внешних сражениях помогает иногда жар и дух стремительный; но он же не редко и все теряет.	52:55	0:102
дух	NOUN	1700	1700-1916	1700-1916_дух_1462-16		Так ли Бытие, как содержание сознания, и дух, как его форма, как чистый субъект, ещё не есть "я" для Ницше.	41:44	0:107
дух	NOUN	1700	1700-1916	1700-1916_дух_1498-16		Она была в хорошем расположении духа и не высказывала никаких грустных предчувствий.	32:36	0:84
дух	NOUN	1700	1700-1916	1700-1916_дух_1460-16		Голицын был первый, пожелавший русифицировать Кавказ не нравственным авторитетом, не духом, а насилием и полицейскими приемами.	85:90	0:127
дух	NOUN	1700	1700-1916	1700-1916_дух_1458-16		Она всей душой участвовала в прошении о духе правом, об укреплении сердца верою, надеждою и о воодушевлении их любовью.	40:44	0:119
дух	NOUN	1700	1700-1916	1700-1916_дух_1484-16		Впервые пробудившийся дух исторического движения, со свежей энергией, увлекает в своем потоке эти новые исторические силы, так разнообразно направленные в их тревожной деятельности, то в отдаленных поездках богатырей, завоевывающих целые страны и собирающих с них дань, то в защите Русской земли от соседних хищников, то в борьбе с чудовищами, то в молодецком похищении себе жен, подобно римлянам маститых времен Ромула и Рема.	22:25	0:427
дух	NOUN	1700	1700-1916	1700-1916_дух_1470-16		Мы смеялись, например, над малороссийским упрямством Редкина, старавшегося вывести логическое построение личного духа.	113:117	0:118
дух	NOUN	1700	1700-1916	1700-1916_дух_1496-16		Он во весь дух побежал к роте.	11:14	0:30
дух	NOUN	1700	1700-1916	1700-1916_дух_1500-16		Одни воплощают в себе его дух; другие покоряются ему внешним образом, потому что видят в нем господствующую силу, против которой не находят в себе никакого отпора.	26:29	0:163
дух	NOUN	1700	1700-1916	1700-1916_дух_1456-16		Я дух плоти.	2:5	0:12
дух	NOUN	1700	1700-1916	1700-1916_дух_1502-16		Я вошел в подробности сего случая для того только, чтобы показать, сколько дух зависти обладать может и воином, свершившим круг, обильный блистательными подвигами, гремевшим в Европе (главным именем и коему желать, кажется, ничего не оставалось.	75:78	0:245
дух	NOUN	1700	1700-1916	1700-1916_дух_1512-16		Тихону казалось, что до него доносится топот бесчисленных ног, отзвук стремительной пляски, и было в этой песне что-то пьяное, дикое, страшное, от чего захватывало дух и хотелось слушать, слушать без конца.	164:167	0:206
дух	NOUN	1700	1700-1916	1700-1916_дух_1510-16		Како убо не возрадуется духом всякий истинный христианин, празднуя тот день, который есть началом и виною духовнаго рождения его Но как по нещастию не все совершенно понимают, какия произрастил нам плоды ныне прозябший райский цвет, то долг наш есть, оное хотя кратко изъяснить, дабы вкушающие сии плоды получили утешение: а не вкусившие моглиб почувствовать желание к тому.	24:29	0:374
дух	NOUN	1700	1700-1916	1700-1916_дух_1504-16		Напротив, Рим разорвал всякую связь между познанием и внутренним совершенством духа; он пустил разум на волю, хотя, по-видимому, и попирал его ногами.	79:83	0:150
дух	NOUN	1700	1700-1916	1700-1916_дух_1508-16		Назвавшись европейским государством, надо идти сообразно с европейским духом, или потерять всякое значение.	71:76	0:107
дух	NOUN	1700	1700-1916	1700-1916_дух_1514-16		Сегодня дядя Гри-Гри пришел к нам в особенно приятном и веселом расположении духа.	77:81	0:82
дух	NOUN	1700	1700-1916	1700-1916_дух_1466-16		Это ясное и незапутанное -- есть стремление человеческого духа прийти к равновесию, к гармонии.	58:62	0:95
дух	NOUN	1700	1700-1916	1700-1916_дух_1506-16		Вынуждены были позвать соседнего капитан-исправника, который и засвидетельствовал исшествие многомятежного духа его".	107:111	0:117
