lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1516		Мальчик полулежал на коленях своего учителя-дядьки, который, сидя на низеньком соломенном стуле, водил пальцем по книжке с картинками, изображавшими разных животных, и предобродушно подражал голосам этих животных: -- Вот это, Васенька, барашек: бе-е-е!	44:50	0:252	1516	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1517		Какой-то пожилой дядька с портфелем укоризненно посмотрел на мужика: -- И как вам не стыдно, молодой человек Вы же на убогого руку подняли.	17:23	0:139	1517	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1518		-- Не тревожьтесь, Маланья Ивановна! -- отвечал дядька.	48:54	0:55	1518	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1519		Я подхожу к дядьке, который уже успел удалиться и прошу пару сигарет.	12:18	0:69	1519	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1520		На плацу старички играли в лапту, другие ходили обнявшись, третьи с вала бросали камни в зеленый от тины пруд, лежавший глаголем шагах в пятидесяти за линией валов; к пруду гимназистам ходить не позволялось, и чтобы следить за этим -- на валу во время прогулки торчал дежурный дядька.	277:283	0:284	1520	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1521		Туристы ушли, дядька продолжал стучать, затем и он ушёл.	14:20	0:56	1521	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1522		Они пришли в родное село рассказать про ужасы чумы, а главное, несли другую весть, которая была гораздо любопытнее и важнее для их родичей: весть о смерти их барыни и о том, что они принадлежат молодому барчонку, из которого вьет веревочки его дядька Дмитриев.	244:250	0:260	1522	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1523		Потом, когда дядьки оказались космонавтами, обрадовался вдвойне.	13:19	0:64	1523	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1524		В том же приюте имеется дядька.	24:30	0:31	1524	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1525		Неприятный рыхлый дядька во дворе школы удушливо соблазнял старшеклассниц.	18:24	0:74	1525	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1526		Возрас Александр, и по многих победах Аравию завоевав, прислал дядьке своему несколько сот возов ладону, написав ему: не будь скуп, где дело идет до Богопочтения.	63:69	0:162	1526	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1527		Это был дядька средних лет в пятнистой робе.	8:14	0:44	1527	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1528		Приставили к нему дядьку, одного премудрого вельможу по имени Цинна, который с великим тщанием старался наставить своего питомца, младого Еруслана-царевича, во всех науках и военных добродетелях, приличных царскому сыну.	18:24	0:220	1528	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1529		Нянька успела вцепиться в него и задержала, когда и Алефтина, которую одну не мог оттолкнуть, упрашивала не губить их и себя, вытягав топорик и дрожаще упрятав, в чем уж не было нужды, раз дядька покорился ее воле.	189:195	0:214	1529	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1530		Старый дядька, который жил при мне, и тот имел в мелочной лавке пищу более сытную и здоровую.	7:13	0:93	1530	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1531		"Потому как отрок на папин стандартный вопрос: ""Что новенького-то"" -- любезно вывалил ему про то, что Сонька-дура, похоже, выходит наконец замуж за злого дядьку, а мама собиралась на дежурство, но почему-то не пошла, зато к ним пришёл дядя Зяма и даже остался ночевать."	156:162	0:268	1531	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1532		-- Во-первых, я бы вас успокоил насчет науки, она assez grand garcon, чтоб не нуждаться в защите дядек от нападок какого-нибудь поврежденного.	97:102	0:142	1532	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1533		Гляжу на себя и спрашиваю в который уже раз: неужели дядька мой мог на родного брата донести!	53:59	0:93	1533	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1534		Дядька, которому его отдали для первоначального обучения, был в отчаянии.	0:6	0:73	1534	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1535		Он похоронил таким образом несколько теток и дядек, пока однажды совершенно случайно начальник не узнал, что у Сани. кроме пожилых родителей, нет больше никаких родственников.	45:50	0:175	1535	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1536		"-- Эх, братики, покурить бы теперь! -- вырывается со вздохом у ""дядьки"" Веденяпина."	66:72	0:83	1536	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1537		-- На свиданку, что ли -- спросил дядька, снова покосившись, но уже приветливей.	34:40	0:80	1537	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1538		"[...] Под влиянием ли бесед с дядьками или по чему другому, только игры наши в рекреационные часы, особенно летом, стали принимать иной характер, чем прежде: у нас появились самодельные знамена, палки заменяли нам ружья и пики, на головах показались бумажные шляпы с такими же султанами; мы играли в ""казаки"", в ""оренбургские уланы"" и т. п., а вскоре завелась и еще одна забава."	31:39	0:378	1538	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1539		После третьей, когда пружина застолья начинала стремительно разжиматься, и близкий восторг в душах заставлял сидящих за столом говорить громче, а глаза смотрели веселее, дядька начинал половинить стопки, а то и пропускать вовсе.	170:176	0:228	1539	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1540		Недовольство Угарова разделял вполне его крепостной человек Иван, бывший когда-то камердинером его отца и теперь приставленный к нему в качестве дядьки.	145:151	0:152	1540	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1541		Краем глаза я наблюдал за лестницей и вскоре увидел солидного дядьку с пузом и в очках, который, пыхтя и отдуваясь, поднимался на второй этаж.	62:68	0:142	1541	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1542		Множество и легкость добычи охладили, однако, горячность мою и моего дядьки, который, право, горячился не меньше меня.	69:75	0:118	1542	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1543		Только что Аська прогнала дядьку, который хотел купить коку, а теперь собирается раздавать воду без денег.	26:32	0:106	1543	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1544		"После сего Вихорь-королевич, откланявшись королю, пошел на свой корабль и объявил о всем своему дядьке, который отвечал ему: ""Не правду ли я говорил вашему величеству, что королевна вам только насмеется""."	97:103	0:204	1544	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1545		Позвонила и просила пустить на пару дней хорошего дядьку.	50:56	0:57	1545	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1546		Вадима Петровича начинало брать раздражение и на бывшего своего дядьку.	64:70	0:71	1546	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1547		-- Что за ярмарка -- Так День Нэзалэжности! -- отвечает дядька в национальном гуцульском костюме, с приклеенными усами.	56:62	0:119	1547	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1548		Вернувшись к себе, Абрам, красный и злой, послал за дядькой, чтобы ему нажаловаться, а Воробушкин побежал к племяннице.	52:59	0:119	1548	rushifteval	ru
дядька	NOUN	1992	1992-2016	1992-2016_дядька_1549		Вместо нее стоял огромный бородатый дядька, зычным голосом выкрикивающий заголовки самых скандальных или сенсационных материалов, опубликованных в разложенных перед ним изданиях.	36:42	0:178	1549	rushifteval	ru
дядька	NOUN	1700	1700-1916	1700-1916_дядька_1550		"""Подал бы я, -- думалось мне, -- доверчиво мудрецу руку, как дитя взрослому, стал бы внимательно слушать, и, если понял бы настолько, насколько ребенок понимает толкования дядьки, я был бы богат и этим скудным разумением""."	174:180	0:222	1550	rushifteval	ru
