lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1876		"Одной из первых забастовала типография Московского издательства, вследствие чего сегодня не вышла газета ""Вечерние Известия""."	51:63	0:125	1876	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1877		В этом издательстве.	7:19	0:20	1877	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1878		"Софье Андреевне издательство ""Просвещение"" предлагает 1000000 рублей за сочинения Л.Н."" 1 октября 1910 г. Ясная Поляна, 11 ч. ночи."	16:28	0:131	1878	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1879		Здесь заметно выделяется Мюнхен (251 издательство, 11 614 наименований), который можно назвать крупнейшей книжной метрополией Германии.	37:49	0:135	1879	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1880		"Расширение дела связано с созданием нового отдела издательства: ""издательство учебников для современной школы""."	50:62	0:111	1880	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1881		"И тем не менее с появлением ""Мифов-эмблем-примет"" можно, кажется, поздравить всех: автора послесловия и переводчика Сергея Козлова, блистательно справившегося с задачей, ""Новое издательство"", весомо заявившее о себе изданием книги одного из самых интересных европейских историков, но прежде всего -- читателя."	177:189	0:309	1881	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1882		Его общественная деятельность ограничивается изданием, при пособии Полевого, книги о карточной игре и поощрением тому же Полевому в издательстве книг, представляющих собой дорогую, роскошную детскую литературу.	132:144	0:210	1882	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1883		"Свой первый роман ""Феникс"", девичье имя ""Бездна"", я отнесла в издательство ""Азбука"", где в дверях меня встретил охранник с автоматом, а в редакции за столом сидел человек с лицом Иисуса, мягкие волосы которого ложились по плечам, а глаза словно говорили: ""Верь каждому моему слову""."	62:74	0:282	1883	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1884		"Мы знаем, что еще в юных годах он занимался издательством книжек для народа, засим, в 1872 году он замышляет очень смелое и оригинальное предприятие -- издает книжку ""Русский Календарь"", своего рода справочную энциклопедию, которая несет в массу читающей публики большое количество практических знаний по разным отраслям русской жизни."	44:57	0:335	1884	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1885		Книга была уже в издательстве, а я все что-то дописывал, вставлял в готовый текст.	17:29	0:82	1885	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1886		Вообще формальная сторона положения Чарнолусского в издательстве не определялась; из разговоров было ясно лишь, что он отдает себя всецело в распоряжение издательства, и выражал готовность взять на себя соредакторство.	52:64	0:218	1886	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1887		Затем пришла перестройка, Политиздат рухнул, на его обломках выросли два издательства, которые занимались чем угодно, только не политической словесностью в чистом виде.	73:85	0:168	1887	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1888		У него ведь всегда бывали недоразумения с конторой по издательству его книг.	54:66	0:76	1888	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1889		"В его составе были Политехнический музей, издательство ""Знание"", журналы, в том числе ""Наука и жизнь""."	42:54	0:102	1889	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1890		"То же издательство выпустило ""Сказки"" Федора Сологуба и выпускает драму Брюсова ""Земля""."	6:18	0:88	1890	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1891		"В составе учредителей журнала ""Авиация -- космонавтика"": Военно-воздушные силы Национальный аэроклуб России имени Валерия Чкалова Американская фирма вертолетостроения ""Новокоптер"" -- производитель вертолетов ""Швайцер"" Французская фирма СНЕКМА -- ведущая в европейском двигателестроении Префектура Северо-Западного административного округа г. Москвы, на чьей территории расположены многие авиафирмы и Тушинский аэродром Научно-производственное объединение ""Транспорт"" Акционерное общество ""Авиакосм"" (издательство журнала) В перспективе ""полетный лист"" состава учредителей открыт."	500:512	0:579	1891	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1892		Во-первых, самая деятельность и роль издателя у нас не понята: нам странно представить себе издательство как особую отрасль труда, странно допустить, что оно требует такой же любви, такого же знания, как всякое занятие человека, трудящегося с сознанием значения своей деятельности.	92:104	0:281	1892	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1893		"В свое время, когда он создавал свой фонд ""Культурная инициатива"", нас познакомила переводчица Нина Буис, она переводила мою повесть ""Навеки -- девятнадцатилетние"" для американского издательства."	182:194	0:195	1893	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1894		Дело в том, что писатели моего поколения жили и работали более или менее обособленно, а если объединялись иногда под кровом того или иного журнала или издательства, то объединение это было вполне случайным: легко сходились, но еще легче расходились.	151:163	0:249	1894	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1895		Лицензирует деятельность издательств.	25:36	0:37	1895	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1896		"Эта роковая неустойка и была главной причиной того, что я был затянут в издательство ""Библиотеки"" и не имел настолько практического навыка и расчета, чтобы пойти на ее уплату, прекратив издание раньше, например, к концу 1864 года."	72:84	0:230	1896	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1897		"Участники акции передали дипломатам заявление, в котором высказали озабоченность тем, что ""в момент нынешнего глубочайшего внутреннего кризиса России именно на деньги немецких издательств велось масштабное растление русской нации""."	176:187	0:231	1897	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1898		Но это не все: его издательство не обеспечено или, вернее, чересчур обеспечено с цензурной стороны.	19:31	0:99	1898	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1899		И в самом деле, в издательстве мне было хорошо, и если бы не маленькие заработки, то и совсем хорошо.	18:30	0:101	1899	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1900		Шевченко В настоящее время почти все украинские издательства деятельно готовятся к празднованию предстоящего 100-летия со дня рождения Т. Г. Шевченко, исполняющегося 25 февраля текущего года.	48:60	0:191	1900	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1901		В издательство Гошу занесло по делу -- поговорить с бывшим однокурсником, который заведовал там отделом, по поводу возможности публикации отцовского сборника рассказов.	2:14	0:168	1901	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1902		"В последних письмах издательству ""Знание"" М."	20:32	0:44	1902	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1903		"А ведь было время, когда Бунюэля подвергли суду чести за публикацию в ""буржуазном"" издательстве, причем Бретон спрашивал: ""Вы с полицией или с нами"" Правда, в 1930 году группа сюрреалистов разгромила кабаре, хозяин которого осмелился назвать заведение по поэме их кумира Лотреамона ""Песни Мальдорора""."	83:95	0:301	1903	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1904		Что же делать -- провинциальная пишущая братия есть пока Израиль, бродящий в пустыне самого пошлого аферистского издательства и взыскующий своего града.	113:125	0:152	1904	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1905		"Экономика и политика критического суждения Что может связывать между собой анархистскую газету ""Воля"", литературное издательство ""АРГО-РИСК"" и интеллектуальный журнал ""Логос"" А все эти явления -- с фестивалем ""Молодая драматургия"", интеллектуальным издательством ""Новое литературное обозрение"" или арт-галереей ""XL"" Ничего, кроме genuis temporis -- особого момента, когда оказались первоначально возможными все эти инициативы и выступили на профессиональную и публичную сцену их инициаторы."	116:128	0:490	1905	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1906		В виду этого, ну как же было ему не приняться серьезно за эти дела Я знаю, что вы смотрите на издательство вообще весьма мрачно, но мне кажется, что вы в этом немного предубеждены и что относительно Володиных изданий цифры говорят довольно ясно; надо только иметь терпение.	94:106	0:273	1906	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1907		"Через семь лет ректор обнаружил в продаже детектив ""Мафия бессмертна"", выпущенный издательством ""Локид""."	82:95	0:104	1907	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1908		Кроме любви к журналистике и издательству у Суворина была особенная страсть к театру.	29:41	0:85	1908	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1909		"Какие тут издательства расположены по соседству -- ""Галлимар"", ""Файярд"" Второй, конечно, писатель, его романы приобрели солидную репутацию во многом благодаря дружеской редактуре первого."	10:22	0:187	1909	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1910		"Куприн убедил меня (уже бросившего в то время учительскую службу) приехать в Петербург, чтобы там, в издательстве, организованном при его журнале ""Современный мир"", выпустить свои произведения, которых набралось уже на три тома."	101:113	0:228	1910	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1911		Издательства обладают основными фондами, которые находятся в соответствующем состоянии.	0:12	0:87	1911	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1912		Издательство выпускает на улицу лубочные 2-копеечные книжонки.	0:12	0:62	1912	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1913		"В начале мая, когда в издательствах уже близилась к завершению работа по изъятию из планов всех книг, так или иначе связанных с именем Липкина, в Америке вышло большое собрание его стихотворений ""Воля""."	22:35	0:202	1913	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1914		"Мережковский, З.Н. Гиппиус и Д. Философов выпустили в Париже в издательстве ""Mercure de France"" сборник религиозно-философских статей."	63:75	0:134	1914	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1915		"Я готовил в издательстве ""Современник"" первую большую книгу его прозы, включил ее в план выпуска 1991 года."	12:24	0:107	1915	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1916		"И, не утерпев, я обратился к Д.Л. Вейсу (Д.Л. Вейс служил когда-то в издательстве ""Шиповник""): ""Почему вы сказали: конты"" И вижу: смутился, молчит."	69:81	0:147	1916	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1917		"Последней теореме Ферма посвящена книга Г. Эдвардса, выпущенная издательством ""Мир"" в 1980 г. Сначала в 1978 г., затем в 1982 г. в издательстве ""Наука"" увидели свет книги М.М. Постникова, в которых анализируются результаты доказательств Великой теоремы."	64:77	0:253	1917	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1918		Заваливал редакции и издательства.	21:33	0:34	1918	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1919		"В выпущенной в 1988 году издательством ""Московский рабочий"" книге С.К.Романюка ""Из истории московских переулков"" написано, что раньше на углу Большой Полянки и 1-го Казачьего переулка была церковь Успения, ""что в Казачьей""."	25:38	0:223	1919	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1920		Вы, вероятно, знаете, что издательство это для меня чистая фикция, приносящая мне, однако, тысячи разнородных терзаний.	26:38	0:119	1920	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1921		Машинистка в издательстве.	13:25	0:26	1921	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1922		В этом письме я просил его информировать меня по поводу вопросов, связанных с тогдашним положением литературы, с возможностями печатания беллетристики в журналах и выпуска книг в издательствах.	179:192	0:193	1922	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1923		Это звонил Саша, из издательства.	20:32	0:33	1923	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1924		Ваше степенство, не губите все издательство!	31:43	0:44	1924	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1925		Неукоснительно соблюдая традицию самого серьезного отношения к книжной культуре, издательство снабдило книгу послесловием Михаила Яснова, рассказом о художнице и краткой библиографией автора.	81:93	0:191	1925	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1926		Несколько рассказов были взяты и для народной серии и перестали издаваться только потому, что этого не разрешает издательство Маркса.	113:125	0:133	1926	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1927		"Новая серия современной русской прозы ""Сон в начале века"" в московском издательстве ""Новый век"" открылась книгой Дмитрия Стахова ""История страданий бедолаги, или Семь путешествий Половинкина""."	71:83	0:192	1927	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1928		Вся обуза издательства и денежных хлопот лежала уже отчасти на Воскобойникове, отчасти на секретаре, моем товарище по гимназии, враче Д. А. Венском, которому я предложил это место несколько месяцев спустя после перехода журнала в мои руки.	10:22	0:239	1928	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1929		"Несколько лет назад Госкомиздат и Союз писателей РСФСР выделили деньги на строительство своеобразного Дома печати, где предполагалось разместить областную писательскую организацию, Новосибирское книжное издательство и редакцию ""Сибирских огней""."	203:215	0:245	1929	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1930		Против издательства возбуждено судебное преследование.	7:19	0:54	1930	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1931		Небольшая книга (стандартный формат этого молодого издательства) производит двойственное впечатление.	51:63	0:101	1931	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1932		Что касается вопросов издательской, так сказать, техники, цены брошюры и т. п. -- то это я предоставляю на усмотрение издательства.	118:130	0:131	1932	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1933		"В это же время почти все оставшиеся государственные издательства сокращали свои программы (например, ""Детская литература"" и ""Малыш"" -- более чем в два раза), а вместе с программами сокращались квалифицированные кадры."	52:64	0:217	1933	rushifteval	ru
издательство	NOUN	1700	1700-1916	1700-1916_издательство_1934		Спора нет, это бывает, но большие состояния наживаются все-таки не литературой в собственном смысле слова, а издательством.	109:122	0:123	1934	rushifteval	ru
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1935		"Меня попросили в PR-отделе родимого издательства ""Эксмо"" высказаться о сериале ""Интерны""."	36:48	0:89	1935	rushifteval	ru
