identifier1	identifier2	annotator	judgment	comment	lemma
1936	1937	0	4		итальянец
1936	1937	1	4		итальянец
1936	1937	2	4		итальянец
1938	1939	0	4		итальянец
1938	1939	1	4		итальянец
1938	1939	2	4		итальянец
1940	1941	0	4		итальянец
1940	1941	1	4		итальянец
1940	1941	2	4		итальянец
1942	1943	0	4		итальянец
1942	1943	1	4		итальянец
1942	1943	2	4		итальянец
1944	1945	0	4		итальянец
1944	1945	1	4		итальянец
1944	1945	2	3		итальянец
1946	1947	0	4		итальянец
1946	1947	1	4		итальянец
1946	1947	2	3		итальянец
1948	1949	0	4		итальянец
1948	1949	1	4		итальянец
1948	1949	2	2		итальянец
1950	1951	0	4		итальянец
1950	1951	1	4		итальянец
1950	1951	2	4		итальянец
1952	1953	0	4		итальянец
1952	1953	1	4		итальянец
1952	1953	2	4		итальянец
1954	1955	0	4		итальянец
1954	1955	1	3		итальянец
1954	1955	2	4		итальянец
1956	1957	0	4		итальянец
1956	1957	1	3		итальянец
1956	1957	2	3		итальянец
1958	1959	0	3		итальянец
1958	1959	1	4		итальянец
1958	1959	2	4		итальянец
1960	1961	0	4		итальянец
1960	1961	1	4		итальянец
1960	1961	2	4		итальянец
1962	1963	0	4		итальянец
1962	1963	1	4		итальянец
1962	1963	2	3		итальянец
1964	1965	0	4		итальянец
1964	1965	1	4		итальянец
1964	1965	2	4		итальянец
1966	1967	0	4		итальянец
1966	1967	1	4		итальянец
1966	1967	2	4		итальянец
1968	1969	0	3		итальянец
1968	1969	1	4		итальянец
1968	1969	2	4		итальянец
1970	1971	0	4		итальянец
1970	1971	1	4		итальянец
1970	1971	2	4		итальянец
1972	1973	0	4		итальянец
1972	1973	1	4		итальянец
1972	1973	2	4		итальянец
1974	1975	0	3		итальянец
1974	1975	1	1		итальянец
1974	1975	2	4		итальянец
1976	1977	0	4		итальянец
1976	1977	1	4		итальянец
1976	1977	2	1		итальянец
1978	1979	0	4		итальянец
1978	1979	1	4		итальянец
1978	1979	2	4		итальянец
1980	1981	0	4		итальянец
1980	1981	1	4		итальянец
1980	1981	2	1		итальянец
1982	1983	0	1		итальянец
1982	1983	1	4		итальянец
1982	1983	2	4		итальянец
1984	1985	0	4		итальянец
1984	1985	1	4		итальянец
1984	1985	2	4		итальянец
1986	1987	0	4		итальянец
1986	1987	1	4		итальянец
1986	1987	2	4		итальянец
1988	1989	0	4		итальянец
1988	1989	1	4		итальянец
1988	1989	2	4		итальянец
1990	1991	0	4		итальянец
1990	1991	1	4		итальянец
1990	1991	2	4		итальянец
1992	1993	0	4		итальянец
1992	1993	1	1		итальянец
1992	1993	2	4		итальянец
1994	1995	0	4		итальянец
1994	1995	1	1		итальянец
1994	1995	2	4		итальянец
