lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1966-16		Позднее вместе с итальянцем Бертони он начал издавать в Женеве прекрасную анархическую рабочую газету "Le Reveil".	17:27	0:114
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1942-16		Итальянцы приписали этот quasi-комплимент итальянской бабе -- его, Михневича, глупости, с чем ты, надеюсь, согласишься.	0:9	0:119
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1946-16		Есть сведения о том, что итальянцы, соседи Мольера по Пти-Бурбону, как раз в период этого соседства тоже осмеивали в своих фарсах последователей маркизы Рамбуйе.	25:34	0:161
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1940-16		Может быть, в них говорил маленький местный патриотизм И -- ах! -- нехорошо они в этот вечер подшутили над славными, веселыми итальянцами, когда те, в своей милой международной доверчивости, тыкали пальцами в хлеб, вино, сыр и в другие предметы и спрашивали их названия по-русски, скаля ласково свои чудные зубы.	126:137	0:312
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1938-16		Однако Турки ожесточенно боролись и деревня была занята Итальянцами лишь после атаки в штыки.	56:67	0:93
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1948-16		Нахлынувшая полиция нашла и арестовала ящик, а откровенный итальянец признался, что контрабандой нунций занимается уже давно.	59:68	0:125
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1936-16		Даже давно ожидавшийся биль об ирландском homerule"е и бомбардировка Итальянцами Дарданелл на завладели вниманием.	69:80	0:114
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1964-16		Она бросила его и ушла с каким-то итальянцем, который в свою очередь оставил ее.	34:44	0:80
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1952-16		Главным препятствием служит мнимая законность и будто бы благородство дела итальянцев.	75:85	0:86
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1994-16		Турки и арабы деятельно готовятся к отнятию у итальянцев оазиса Айнзара.	46:56	0:72
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1992-16		Княгиня два года училась в Италии пению и с тех пор итальянцы пользуются исключительными ее симпатиями.	52:61	0:103
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1950-16		Присутствовал весь, видимо смущенный, английский отряд, а от немцев, французов, американцев, итальянцев было прислано по взводу.	93:103	0:128
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1990-16		Нападение арабо-турецких войск на итальянцев близ Мисрата отбито.	34:44	0:65
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1988-16		Несколько лет тому назад, был произведен подсчет всех иностранцев, проживающих в Китае, давший следующие любопытные цифры распределения их по национальностям: англичан оказалось 3317, граждан Северо-Американских Соединенных Штатов 1153, японцев 883, немцев 648, португальцев 610, французов 589, испанцев 304, шведов и норвежцев 155, русских 131, датчан 85, итальянцев 74, австрийцев 65, голландцев 41, бельгийцев 28, бразильцев 2, всего 8081 человек.	357:367	0:450
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1986-16		Но опасность со стороны иностранцев (которая грозила от Франции) была ясна, и, несмотря на то, итальянцы не могли воздержаться от этой привычки, которая погубила их: они вели междоусобные войны и призывали иностранцев решать их.	95:104	0:228
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1984-16		Г-н Бриозо, как музыкант и итальянец, без труда понял то, что дополняемо было мимикою и тоном голоса.	27:36	0:101
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1962-16		Чтобы быть последовательным, такой ярый и исключительный итальянец должен был бы ненавидеть Бетховена, именно Бетховена, потому что никто так не глумился над вокальными требованиями, как именно Бетховен, который не поцеремонился заставить сопрано в хоре, во второй мессе, петь фугу, в которой тема начинается так, и т. д. Бетховен -- авторитет, и потому итальянцы не смеют и его смешивать, с грязью.	57:66	0:399
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1944-16		На речке Таро 6 июля 1495 г., недалеко от Форново (в Пармском герцогстве), неприятели ему отрезали отступление в числе 40000 итальянцев, а французов было втрое менее.	125:135	0:166
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1982-16		Наконец, в конце августа того же года Иван Васильевич двинулся на Тверь ратью вместе со своими братьями; он взял и своего порабощенного итальянца Аристотеля с пушками.	136:145	0:167
