identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_крушение_2130-16	1992-2016_крушение_2131-16	0	1		крушение
1700-1916_крушение_2128-16	1992-2016_крушение_2129-16	0	1		крушение
1700-1916_крушение_2122-16	1992-2016_крушение_2123-16	0	1		крушение
1700-1916_крушение_2124-16	1992-2016_крушение_2125-16	0	1		крушение
1700-1916_крушение_2126-16	1992-2016_крушение_2127-16	0	1		крушение
1700-1916_крушение_2142-16	1992-2016_крушение_2143-16	0	3		крушение
1700-1916_крушение_2160-16	1992-2016_крушение_2161-16	0	1		крушение
1700-1916_крушение_2152-16	1992-2016_крушение_2153-16	0	4		крушение
1700-1916_крушение_2162-16	1992-2016_крушение_2163-16	0	3		крушение
1700-1916_крушение_2164-16	1992-2016_крушение_2165-16	0	1		крушение
1700-1916_крушение_2120-16	1992-2016_крушение_2121-16	0	4		крушение
1700-1916_крушение_2174-16	1992-2016_крушение_2175-16	0	2		крушение
1700-1916_крушение_2170-16	1992-2016_крушение_2171-16	0	2		крушение
1700-1916_крушение_2166-16	1992-2016_крушение_2167-16	0	3		крушение
1700-1916_крушение_2168-16	1992-2016_крушение_2169-16	0	1		крушение
1700-1916_крушение_2144-16	1992-2016_крушение_2145-16	0	3		крушение
1700-1916_крушение_2158-16	1992-2016_крушение_2159-16	0	4		крушение
1700-1916_крушение_2146-16	1992-2016_крушение_2147-16	0	1		крушение
1700-1916_крушение_2148-16	1992-2016_крушение_2149-16	0	4		крушение
1700-1916_крушение_2150-16	1992-2016_крушение_2151-16	0	4		крушение
1700-1916_крушение_2156-16	1992-2016_крушение_2157-16	0	3		крушение
1700-1916_крушение_2172-16	1992-2016_крушение_2173-16	0	3		крушение
1700-1916_крушение_2118-16	1992-2016_крушение_2119-16	0	2		крушение
1700-1916_крушение_2154-16	1992-2016_крушение_2155-16	0	3		крушение
1700-1916_крушение_2132-16	1992-2016_крушение_2133-16	0	2		крушение
1700-1916_крушение_2116-16	1992-2016_крушение_2117-16	0	3		крушение
1700-1916_крушение_2136-16	1992-2016_крушение_2137-16	0	4		крушение
1700-1916_крушение_2140-16	1992-2016_крушение_2141-16	0	4		крушение
1700-1916_крушение_2134-16	1992-2016_крушение_2135-16	0	1		крушение
1700-1916_крушение_2138-16	1992-2016_крушение_2139-16	0	4		крушение
1700-1916_крушение_2116-16	1992-2016_крушение_2117-16	1	4		крушение
1700-1916_крушение_2134-16	1992-2016_крушение_2135-16	1	4		крушение
1700-1916_крушение_2168-16	1992-2016_крушение_2169-16	1	1		крушение
1700-1916_крушение_2172-16	1992-2016_крушение_2173-16	1	1		крушение
1700-1916_крушение_2158-16	1992-2016_крушение_2159-16	1	4		крушение
1700-1916_крушение_2144-16	1992-2016_крушение_2145-16	1	1		крушение
1700-1916_крушение_2170-16	1992-2016_крушение_2171-16	1	1		крушение
1700-1916_крушение_2136-16	1992-2016_крушение_2137-16	1	2		крушение
1700-1916_крушение_2146-16	1992-2016_крушение_2147-16	1	4		крушение
1700-1916_крушение_2148-16	1992-2016_крушение_2149-16	1	3		крушение
1700-1916_крушение_2130-16	1992-2016_крушение_2131-16	1	4		крушение
1700-1916_крушение_2150-16	1992-2016_крушение_2151-16	1	4		крушение
1700-1916_крушение_2156-16	1992-2016_крушение_2157-16	1	2		крушение
1700-1916_крушение_2154-16	1992-2016_крушение_2155-16	1	1		крушение
1700-1916_крушение_2142-16	1992-2016_крушение_2143-16	1	4		крушение
1700-1916_крушение_2152-16	1992-2016_крушение_2153-16	1	4		крушение
1700-1916_крушение_2132-16	1992-2016_крушение_2133-16	1	3		крушение
1700-1916_крушение_2174-16	1992-2016_крушение_2175-16	1	2		крушение
1700-1916_крушение_2160-16	1992-2016_крушение_2161-16	1	1		крушение
1700-1916_крушение_2124-16	1992-2016_крушение_2125-16	1	4		крушение
1700-1916_крушение_2162-16	1992-2016_крушение_2163-16	1	3		крушение
1700-1916_крушение_2118-16	1992-2016_крушение_2119-16	1	3		крушение
1700-1916_крушение_2138-16	1992-2016_крушение_2139-16	1	1		крушение
1700-1916_крушение_2164-16	1992-2016_крушение_2165-16	1	4		крушение
1700-1916_крушение_2166-16	1992-2016_крушение_2167-16	1	4		крушение
1700-1916_крушение_2120-16	1992-2016_крушение_2121-16	1	4		крушение
1700-1916_крушение_2128-16	1992-2016_крушение_2129-16	1	4		крушение
1700-1916_крушение_2140-16	1992-2016_крушение_2141-16	1	4		крушение
1700-1916_крушение_2122-16	1992-2016_крушение_2123-16	1	4		крушение
1700-1916_крушение_2126-16	1992-2016_крушение_2127-16	1	4		крушение
1700-1916_крушение_2146-16	1992-2016_крушение_2147-16	2	3		крушение
1700-1916_крушение_2130-16	1992-2016_крушение_2131-16	2	2		крушение
1700-1916_крушение_2122-16	1992-2016_крушение_2123-16	2	3		крушение
1700-1916_крушение_2148-16	1992-2016_крушение_2149-16	2	4		крушение
1700-1916_крушение_2128-16	1992-2016_крушение_2129-16	2	2		крушение
1700-1916_крушение_2150-16	1992-2016_крушение_2151-16	2	4		крушение
1700-1916_крушение_2126-16	1992-2016_крушение_2127-16	2	1		крушение
1700-1916_крушение_2154-16	1992-2016_крушение_2155-16	2	2		крушение
1700-1916_крушение_2118-16	1992-2016_крушение_2119-16	2	1		крушение
1700-1916_крушение_2152-16	1992-2016_крушение_2153-16	2	4		крушение
1700-1916_крушение_2144-16	1992-2016_крушение_2145-16	2	4		крушение
1700-1916_крушение_2124-16	1992-2016_крушение_2125-16	2	1		крушение
1700-1916_крушение_2134-16	1992-2016_крушение_2135-16	2	3		крушение
1700-1916_крушение_2162-16	1992-2016_крушение_2163-16	2	2		крушение
1700-1916_крушение_2136-16	1992-2016_крушение_2137-16	2	4		крушение
1700-1916_крушение_2158-16	1992-2016_крушение_2159-16	2	2		крушение
1700-1916_крушение_2172-16	1992-2016_крушение_2173-16	2	2		крушение
1700-1916_крушение_2170-16	1992-2016_крушение_2171-16	2	3		крушение
1700-1916_крушение_2160-16	1992-2016_крушение_2161-16	2	1		крушение
1700-1916_крушение_2138-16	1992-2016_крушение_2139-16	2	1		крушение
1700-1916_крушение_2140-16	1992-2016_крушение_2141-16	2	4		крушение
1700-1916_крушение_2166-16	1992-2016_крушение_2167-16	2	3		крушение
1700-1916_крушение_2168-16	1992-2016_крушение_2169-16	2	3		крушение
1700-1916_крушение_2120-16	1992-2016_крушение_2121-16	2	3		крушение
1700-1916_крушение_2174-16	1992-2016_крушение_2175-16	2	1		крушение
1700-1916_крушение_2156-16	1992-2016_крушение_2157-16	2	3		крушение
1700-1916_крушение_2142-16	1992-2016_крушение_2143-16	2	1		крушение
1700-1916_крушение_2132-16	1992-2016_крушение_2133-16	2	1		крушение
1700-1916_крушение_2164-16	1992-2016_крушение_2165-16	2	2		крушение
1700-1916_крушение_2116-16	1992-2016_крушение_2117-16	2	1		крушение
