lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2236		"Влияние общества на личность героя здесь, как и в ""Обыкновенной истории"", скрыто от глаз читателя; автор понимает, что оно должно существовать, но он держит его где-то за кулисами, и из-за этих кулис его герой выходит совершенно готовым и начинает рассуждать и ходить по сцене."	197:202	0:277	2236	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2237		И на каждом спектакле после сыгранной им сцены в первом акте он не уходил к себе в гримуборную, а оставался в кулисах, наблюдая за исполнением мною чертовски трудного монолога моего героя в конце первого акта...	110:117	0:211	2237	rushifteval	ru
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2238		Здесь он мог узнать многое, что делалось и готовилось за кулисами, и ему было очень удобно следить за этим.	57:65	0:107	2238	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2239		"По мизансцене Каварадосси должен спросить меня, Скарпиа: ""Как вы смели"" Я же должен ответить: ""Не хотите ли присесть"" Но отвечать мне некому -- Яниса еще нет на сцене: видимо, он увлекся разговором за кулисами."	206:214	0:210	2239	rushifteval	ru
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2240		"Нет ни Бога, ни истины, ни науки, ни отечества, ни друзей, ни ближних, ни добра, никаких убеждений; а есть только пьеса, роль, публика, ""приемы"", есть горячка кулис и театральной шумихи, состояние опьянения от хлопанья ладоней и вызовов."	162:167	0:237	2240	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2241		Папа в ожидании своего выхода сидел за кулисами и, положив подбородок на баян, сосредоточенно слушал стихи Твардовского.	39:47	0:120	2241	rushifteval	ru
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2242		"К инциденту ""Павлова-Мордкин"" Как смотрят у нас за кулисами на ссору г-жи Павловой и г."	54:62	0:87	2242	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2243		"За кулисы приходит записка: ""Нонночка, мы с женой приглашаем тебя домой вспомнить все."	4:10	0:86	2243	rushifteval	ru
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2244		Действующие лица входят, играют на различных инструментах, садятся на настоящую мебель, поют под аккомпанемент оркестра, исчезают за кулисы, возвращаются, раскланиваются с публикой, еще больше довершая, таким образом, иллюзию настоящих людей.	133:139	0:242	2244	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2245		Боже, значит, я еще не сдох, да За кулисами вся братва лежала на полу, слабо передавая друг другу банки пива.	35:43	0:109	2245	rushifteval	ru
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2246		Фокусы, которые далекой Европе казались чудесами, были им видны очень хорошо и давно перестали их обманывать; ведь они жили за кулисами великого католического балагана.	127:135	0:168	2246	rushifteval	ru
кулиса	NOUN	1992	1992-2016	1992-2016_кулиса_2247		Вдруг Александр Николаевич вспомнил, что недавно у него на концерте присутствовал знающий русский язык американец и после концерта пришел за кулисы выразить признательность, оставив визитную карточку с телефонным номером.	141:147	0:221	2247	rushifteval	ru
