lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2326-16		-- Не нужен ли вам мой совет Быть может, вы страдаете каким-нибудь хроническим недугом, от которого, конечно, вас пользовал какой-нибудь мой collega, в таком случае никак не должно прерывать лечения, и мы с большой готовностью будем продолжать его.	191:198	0:248
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2354-16		Работавшая в саду крестьянка, слыша об успехе лечения, обратилась и сама с просьбой полечить ее мужа от запоя.	46:53	0:110
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2342-16		Под именем "медведя" разумелся сам хозяин; но на этот раз он просидел в своей берлоге, и лечение больных голов произошло беспрепятственно.	89:96	0:138
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2328-16		Если у этого человека заболеет другой ребенок, то он разорится на лечение, предоставит ребенку умереть без помощи, но в клинику его не повезет: для отца это поругание дорогого ему трупа -- слишком высокая плата за лечение.	66:73	0:222
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2314-16		Мы переехали в Баден в мае месяце, ровно как и все почти русские семейства, бывшие в Вене; некоторые из них вовсе не для лечения, а только чтобы провести лето в сем прекрасном месте, переселились в Баден.	121:128	0:204
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2298-16		Я тогда и не слыхивал о лечении виноградом, но без моего ведома угодил как раз пользоваться им в течение двух месяцев ежедневно за целый час до нашего завтрака.	24:31	0:160
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2300-16		Существует одна медицина научная, в которую одинаково входят все разумные и критически изученные способы лечения.	105:112	0:113
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2302-16		Это справедливо по отношению аллопатического лечения прививками вообще -- лечения многоразличными "противо"-сыворотками, лимфами, детритами, токсинами и проч.	45:52	0:158
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2304-16		Теперь оставим в стороне насмешки, пренебрежения, угрозы и вообще теоретические доводы, приводимые противниками гомеопатии и посмотрим на вопрос об открытии лечебницы для лечения больных дифтеритом гомеопатией с точки зрения практической и здравого смысла и, наконец, государственной и гуманной.	171:178	0:295
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2306-16		О навязчивых кишечных и пузырных кризах и о значении при них лечения внушением В заседании от 28 октября 1904 г. я сообщил научному собранию клиники душевных и нервных болезней свои наблюдения относительно пузырных и кишечных кризов навязчивого характера.	61:68	0:255
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2308-16		Ганеман был создателем метода лечения, требовавшего простых лекарственных средств в малейших приемах, и весь успех его лечения, а следовательно и всякий верный вывод о достоинстве его метода, должен был находиться в прямой зависимости от наивозможной точности приготовления его лекарственных орудий, вследствие чего он, конечно, ни на кого не мог так верно положиться, как на самого себя, а тем более, что самые ранние опыты его будущей реформы уже встревожили инстинкты самосохранения аптекарей и пробудили в них недоброжелательные предубеждения.	30:37	0:547
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2310-16		Скажут еще, как и говорят часто, что священникам, во избежание вреда, вовсе не будут даваться указания относительно применения каких бы то ни было средств лечения, их будут только поучать гигиене и предупреждению болезней.	155:162	0:222
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2312-16		И единственное, что было решено по совету Шестова сделать для здоровья Цесаревича, был план морского лечения в Скевенингене, план роковой, ибо это морское лечение оказалось началом его гибели.	101:108	0:192
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2316-16		30 апреля и 1-го майя в сражении у города Базиниано, где и ранен пулею в правую ногу, а на лечение увезен в Венецию, а оттоль морем до города Триеста и чрез Австрию и Венгрию возвратился в Россию.	91:98	0:196
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2318-16		Своевременно я пренебрег ею и, не докончив курса лечения, вернулся несмотря на предупреждения врачей, в строй.	49:56	0:110
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2320-16		Ветеринару и лечение.	13:20	0:21
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2322-16		Насморк мой, благодаря доктору Rayer, лучше, но обоняния нет и тени для меня: это лечение и держит меня здесь; авось хоть через десять дней позволит мне доктор ехать во Флоренцию, где я располагаю провести зиму.	82:89	0:211
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2324-16		Так, например, ей доктор не позволил брать ванны, содействие которых так важно в лечении водами.	81:88	0:96
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2352-16		Глаза мои, слава Богу, не пострадали от лихорадки и лечения хиною.	52:59	0:66
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2350-16		Сколько я ни упрашивала ее, чтоб не ездить и остаться в городе для лечения, но никак не успела.	67:74	0:95
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2296-16		В то время, когда я писал эти слова, мне еще не удалось провести на практике лечение навязчивых идей послегипнотическими внушениями, так как у наблюдавшихся мною больных с навязчивыми идеями хотя и могли быть вызываемы самые начальные явления гипноза, но ни один из больных не мог быть приведен в более глубокие степени последнего, в которых, как известно, лучше всего удаются послегипнотические внушения.	77:84	0:405
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2332-16		Все лечение ограничивается тем, что я посылаю больных искать дорогу и даю на сон облатку хины, а Луняеву, кроме того, к чаю сушеной вишни или черники.	4:11	0:150
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2348-16		Ведь Вы, как гомеопат, являетесь на кафедре этой в роли человека, возмущающего мой покой, заявляя о существовании закона подобия на основании удачного лечения болезней по принципам гомеопатии.	151:158	0:192
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2334-16		Эти ужасные головные боли не уступали никаким лечениям и минеральным водам, куда граф тем не менее пробовал обращаться.	46:54	0:119
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2340-16		Посетил прекрасное учреждение -- Романовский институт всяких лечений, где пользуются многие раненые офицеры.	61:68	0:108
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2346-16		И вследствие этого, чем сильнее была борьба духа с недугом в царственном больном, тем слабее могла быть помощь лечения, тем сильнее должно было быть разрушительное действие недуга.	111:118	0:180
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2344-16		Мы с мужем переселились для лечения в Ялту...	28:35	0:45
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2330-16		Лечение без надлежащей подготовки нельзя назвать разумным, а следовательно такое проявление любви к ближнему нельзя одобрить, ибо это была бы любовь слепая, приносящая не пользу, а вред.	0:7	0:186
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2338-16		Относительно воспаления легких были произведены сравнительные эксперименты по трем способам: 1) по аллопатическому способу (рвотным камнем) 2) кровопусканием и 3) по выжидательному методу, причем получалась громадная разница в пользу выжидательного метода лечения.	256:263	0:264
лечение	NOUN	1700	1700-1916	1700-1916_лечение_2336-16		Он был в Палестине, в Турции, в Соловках, потом жил с каким-то старцем в Грузии и, научившись от него лечению, вернулся в свое запустелое жилище.	102:109	0:145
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2313-16		К тому же там говорилось не об одной, хотя бы и очень опасной, болезни, а описывал все известные науке моровые поветрия и давал наилучшие способы их лечения и предупреждения.	149:156	0:174
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2315-16		Это связано с тем, что именно в этих государствах в наиболее полном объеме обеспечивается лечение лиц, инфицированных этим вирусом.	90:97	0:131
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2317-16		-- Если болезнь не поддается лечению и опасна для окружающих, то больного необходимо изолировать!	29:36	0:97
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2321-16		Он нашел в старых рукописях способы ее лечения, вновь ввел в употребление препараты ртути, благодаря чему эпидемию удалось остановить.	39:46	0:134
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2311-16		Полоса появлялась (рис. 2, б) только после проведения курса лечения ганцикловиром и через 5 нед после наибольшего проявления клинических симптомов (см. рис. 1).	60:67	0:160
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2339-16		Каждый новый заговор при этом записывается лишь от врачевательницы, уже достигшей успеха в лечении болезни, против которой направлен.	91:98	0:133
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2323-16		Вовремя диагностированная дисциркуляторная энцефалопатия и правильно подобранное комплексное лечение продлевают активную, полноценную жизнь.	93:100	0:140
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2325-16		Лечение экономики по Мольеру.	0:7	0:29
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2327-16		Наряду с местным лечением применяют витаминотерапию, биостимуляторы (например, алоэ).	17:25	0:85
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2319-16		Глухая гипсовая повязка -- вот метод, который совершил переворот в лечении переломов на войне.	67:74	0:94
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2333-16		И самое главное: перемещенные получили все права и социальные гарантии -- работу, бесплатное лечение и обучение, из их среды вышли Председатель Верховного Совета РСФСР Хасбулатов, вице-премьер Советского правительства Догужиев, командующий подразделением стратегической авиации Дудаев, знаменитый артист Эсамбаев и другие видные деятели Советского Союза.	93:100	0:354
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2351-16		-- А теперь, в Гааге -- В Гааге условия для лечения тоже весьма неподходящие.	44:51	0:77
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2349-16		Катя занималась его лечением так, словно в очередной раз лечила кого-то из младших братьев или сестер: ласково, тепло, по-матерински.	20:28	0:133
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2353-16		Все больше ученых в мире советуют своим пациентам в качестве профилактики недугов, а в некоторых случаях и для лечения отдельных заболеваний использовать не только лекарства, но и... обычные продукты питания.	111:118	0:208
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2347-16		Назначено амбулаторное лечение.	23:30	0:31
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2329-16		Мол, пусть помогут связаться со своими заграничными коллегами из фирмы "South Crest", которые принимали российскую группу на Зеленом континенте и сулили организовать для всех желающих лечение за рубежом.	184:191	0:203
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2345-16		Перед началом лечения необходимо посоветоваться с врачом: позволяет ли состояние желудочно-кишечного тракта и печени "страстотерпца" применять такое сильнодействующее средство, как копытень.	14:21	0:190
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2343-16		"Я инвалид 1-й группы, лежу без движения уже несколько лет и нахожусь на длительном лечении в больнице, куда и выписываю "Знамя".	84:91	0:129
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2297-16		А для двухлетней Марьям Гадисовой из Дагестана перевели 142 000 рубля на лечение от порока сердца.	73:80	0:98
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2299-16		Благодаря этому открытию, сделанному ещё в 60-е годы прошлого века, было создано эффективное лекарство для лечения болезни, а авторы открытия в 2000 году (спустя почти 40 лет!) были удостоены Нобелевской премии.	107:114	0:211
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2355-16		Именно тогда она и попросила разрешения командования освоить радиодело "без отрыва от лечения".	86:93	0:95
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2301-16		Страховым событием по настоящему Договору не являются: 1.2.3.1. Онкологические заболевания, лучевая болезнь, инфекционные заболевания, туберкулез, системные заболевания соединительной ткани, приобретенный иммунодефицит, сахарный диабет, хронический гепатит, психические заболевания, венерические заболевания, профессиональные заболевания, их осложнения, даже если они не подвергались лечению, муковисцидоз, саркоидоз; 1.2.3.2.	384:391	0:426
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2341-16		Лечение ее -- процесс долгий и непростой.	0:7	0:41
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2303-16		Но как это сделать, не зная языка И пристойно ли писать книгу, толкующую о лечении, если сам учился понаслышке Но ведь есть купленный кровью опыт.	75:82	0:146
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2335-16		Таким образом, на примере Демосфена мы видим, каких успехов добивалась античная медицина в лечении заикания.	91:98	0:108
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2305-16		Согласно действующим нормативным актам инвалиды ВОВ, участники ВОВ, лица, получившие инвалидность в ходе боевых действий на территории других государств, инвалиды по общему заболеванию, реабилитированные лица, неработающие пенсионеры, имеющие соответственные медицинские показания на санаторно-курортные лечения, имеют право на бесплатное получение санаторно-курортной путевки в органах социальной защиты населения по месту жительства.	304:311	0:435
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2331-16		Но лечение там платное.	3:10	0:23
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2307-16		Швейцарцы же представили врачам-дерматологам свой новый препарат для лечения угревой сыпи -- "Базирон АС".	69:76	0:106
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2309-16		Изложенное выше, а также сообщения о случаях заболевания людей бешенством, несмотря на своевременное и правильное проведение полного курса прививок [13, 15, 231, указывают на необходимость не только совершенствования принятого метода лечения, но и поиска альтернативных специфических и неспецифических препаратов для профилактики этой, пока абсолютно летальной для человека инфекции.	234:241	0:383
лечение	NOUN	1992	1992-2016	1992-2016_лечение_2337-16		Интересно, что для лечения пищевых нарушений в качестве основных средств Авиценна предлагал использовать мед, девясил и корицу.	19:26	0:127
