identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_линейка_2380-16	1992-2016_линейка_2381-16	0	1		линейка
1700-1916_линейка_2402-16	1992-2016_линейка_2403-16	0	1		линейка
1700-1916_линейка_2410-16	1992-2016_линейка_2411-16	0	1		линейка
1700-1916_линейка_2364-16	1992-2016_линейка_2365-16	0	1		линейка
1700-1916_линейка_2412-16	1992-2016_линейка_2413-16	0	1		линейка
1700-1916_линейка_2360-16	1992-2016_линейка_2361-16	0	1		линейка
1700-1916_линейка_2370-16	1992-2016_линейка_2371-16	0	1		линейка
1700-1916_линейка_2414-16	1992-2016_линейка_2415-16	0	4		линейка
1700-1916_линейка_2366-16	1992-2016_линейка_2367-16	0	1		линейка
1700-1916_линейка_2368-16	1992-2016_линейка_2369-16	0	1		линейка
1700-1916_линейка_2384-16	1992-2016_линейка_2385-16	0	1		линейка
1700-1916_линейка_2406-16	1992-2016_линейка_2407-16	0	1		линейка
1700-1916_линейка_2382-16	1992-2016_линейка_2383-16	0	1		линейка
1700-1916_линейка_2388-16	1992-2016_линейка_2389-16	0	1		линейка
1700-1916_линейка_2362-16	1992-2016_линейка_2363-16	0	1		линейка
1700-1916_линейка_2408-16	1992-2016_линейка_2409-16	0	1		линейка
1700-1916_линейка_2358-16	1992-2016_линейка_2359-16	0	1		линейка
1700-1916_линейка_2400-16	1992-2016_линейка_2401-16	0	1		линейка
1700-1916_линейка_2386-16	1992-2016_линейка_2387-16	0	1		линейка
1700-1916_линейка_2372-16	1992-2016_линейка_2373-16	0	1		линейка
1700-1916_линейка_2398-16	1992-2016_линейка_2399-16	0	1		линейка
1700-1916_линейка_2356-16	1992-2016_линейка_2357-16	0	1		линейка
1700-1916_линейка_2374-16	1992-2016_линейка_2375-16	0	1		линейка
1700-1916_линейка_2390-16	1992-2016_линейка_2391-16	0	1		линейка
1700-1916_линейка_2396-16	1992-2016_линейка_2397-16	0	1		линейка
1700-1916_линейка_2376-16	1992-2016_линейка_2377-16	0	1		линейка
1700-1916_линейка_2394-16	1992-2016_линейка_2395-16	0	1		линейка
1700-1916_линейка_2404-16	1992-2016_линейка_2405-16	0	1		линейка
1700-1916_линейка_2392-16	1992-2016_линейка_2393-16	0	1		линейка
1700-1916_линейка_2378-16	1992-2016_линейка_2379-16	0	1		линейка
1700-1916_линейка_2360-16	1992-2016_линейка_2361-16	1	1		линейка
1700-1916_линейка_2358-16	1992-2016_линейка_2359-16	1	1		линейка
1700-1916_линейка_2356-16	1992-2016_линейка_2357-16	1	1		линейка
1700-1916_линейка_2388-16	1992-2016_линейка_2389-16	1	1		линейка
1700-1916_линейка_2370-16	1992-2016_линейка_2371-16	1	1		линейка
1700-1916_линейка_2364-16	1992-2016_линейка_2365-16	1	1		линейка
1700-1916_линейка_2382-16	1992-2016_линейка_2383-16	1	1		линейка
1700-1916_линейка_2380-16	1992-2016_линейка_2381-16	1	1		линейка
1700-1916_линейка_2378-16	1992-2016_линейка_2379-16	1	1		линейка
1700-1916_линейка_2376-16	1992-2016_линейка_2377-16	1	1		линейка
1700-1916_линейка_2374-16	1992-2016_линейка_2375-16	1	1		линейка
1700-1916_линейка_2372-16	1992-2016_линейка_2373-16	1	3		линейка
1700-1916_линейка_2414-16	1992-2016_линейка_2415-16	1	4		линейка
1700-1916_линейка_2362-16	1992-2016_линейка_2363-16	1	1		линейка
1700-1916_линейка_2368-16	1992-2016_линейка_2369-16	1	4		линейка
1700-1916_линейка_2384-16	1992-2016_линейка_2385-16	1	1		линейка
1700-1916_линейка_2366-16	1992-2016_линейка_2367-16	1	1		линейка
1700-1916_линейка_2402-16	1992-2016_линейка_2403-16	1	1		линейка
1700-1916_линейка_2412-16	1992-2016_линейка_2413-16	1	1		линейка
1700-1916_линейка_2390-16	1992-2016_линейка_2391-16	1	1		линейка
1700-1916_линейка_2410-16	1992-2016_линейка_2411-16	1	1		линейка
1700-1916_линейка_2392-16	1992-2016_линейка_2393-16	1	1		линейка
1700-1916_линейка_2406-16	1992-2016_линейка_2407-16	1	2		линейка
1700-1916_линейка_2394-16	1992-2016_линейка_2395-16	1	1		линейка
1700-1916_линейка_2400-16	1992-2016_линейка_2401-16	1	1		линейка
1700-1916_линейка_2404-16	1992-2016_линейка_2405-16	1	1		линейка
1700-1916_линейка_2398-16	1992-2016_линейка_2399-16	1	1		линейка
1700-1916_линейка_2408-16	1992-2016_линейка_2409-16	1	1		линейка
1700-1916_линейка_2396-16	1992-2016_линейка_2397-16	1	1		линейка
1700-1916_линейка_2386-16	1992-2016_линейка_2387-16	1	1		линейка
1700-1916_линейка_2372-16	1992-2016_линейка_2373-16	2	2		линейка
1700-1916_линейка_2374-16	1992-2016_линейка_2375-16	2	1		линейка
1700-1916_линейка_2380-16	1992-2016_линейка_2381-16	2	1		линейка
1700-1916_линейка_2376-16	1992-2016_линейка_2377-16	2	3		линейка
1700-1916_линейка_2396-16	1992-2016_линейка_2397-16	2	1		линейка
1700-1916_линейка_2390-16	1992-2016_линейка_2391-16	2	1		линейка
1700-1916_линейка_2378-16	1992-2016_линейка_2379-16	2	1		линейка
1700-1916_линейка_2398-16	1992-2016_линейка_2399-16	2	1		линейка
1700-1916_линейка_2388-16	1992-2016_линейка_2389-16	2	1		линейка
1700-1916_линейка_2386-16	1992-2016_линейка_2387-16	2	1		линейка
1700-1916_линейка_2384-16	1992-2016_линейка_2385-16	2	1		линейка
1700-1916_линейка_2382-16	1992-2016_линейка_2383-16	2	1		линейка
1700-1916_линейка_2366-16	1992-2016_линейка_2367-16	2	1		линейка
1700-1916_линейка_2402-16	1992-2016_линейка_2403-16	2	1		линейка
1700-1916_линейка_2356-16	1992-2016_линейка_2357-16	2	1		линейка
1700-1916_линейка_2404-16	1992-2016_линейка_2405-16	2	1		линейка
1700-1916_линейка_2368-16	1992-2016_линейка_2369-16	2	4		линейка
1700-1916_линейка_2358-16	1992-2016_линейка_2359-16	2	1		линейка
1700-1916_линейка_2360-16	1992-2016_линейка_2361-16	2	1		линейка
1700-1916_линейка_2406-16	1992-2016_линейка_2407-16	2	1		линейка
1700-1916_линейка_2408-16	1992-2016_линейка_2409-16	2	1		линейка
1700-1916_линейка_2362-16	1992-2016_линейка_2363-16	2	1		линейка
1700-1916_линейка_2410-16	1992-2016_линейка_2411-16	2	1		линейка
1700-1916_линейка_2364-16	1992-2016_линейка_2365-16	2	1		линейка
1700-1916_линейка_2412-16	1992-2016_линейка_2413-16	2	1		линейка
1700-1916_линейка_2370-16	1992-2016_линейка_2371-16	2	1		линейка
1700-1916_линейка_2414-16	1992-2016_линейка_2415-16	2	3		линейка
