identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_монстр_2734-16	1992-2016_монстр_2735-16	0	4		монстр
1700-1916_монстр_2722-16	1992-2016_монстр_2723-16	0	1		монстр
1700-1916_монстр_2724-16	1992-2016_монстр_2725-16	0	2		монстр
1700-1916_монстр_2726-16	1992-2016_монстр_2727-16	0	1		монстр
1700-1916_монстр_2728-16	1992-2016_монстр_2729-16	0	2		монстр
1700-1916_монстр_2730-16	1992-2016_монстр_2731-16	0	1		монстр
1700-1916_монстр_2746-16	1992-2016_монстр_2747-16	0	2		монстр
1700-1916_монстр_2762-16	1992-2016_монстр_2763-16	0	1		монстр
1700-1916_монстр_2764-16	1992-2016_монстр_2765-16	0	2		монстр
1700-1916_монстр_2766-16	1992-2016_монстр_2767-16	0	2		монстр
1700-1916_монстр_2772-16	1992-2016_монстр_2773-16	0	3		монстр
1700-1916_монстр_2774-16	1992-2016_монстр_2775-16	0	3		монстр
1700-1916_монстр_2768-16	1992-2016_монстр_2769-16	0	3		монстр
1700-1916_монстр_2760-16	1992-2016_монстр_2761-16	0	3		монстр
1700-1916_монстр_2750-16	1992-2016_монстр_2751-16	0	1		монстр
1700-1916_монстр_2752-16	1992-2016_монстр_2753-16	0	1		монстр
1700-1916_монстр_2754-16	1992-2016_монстр_2755-16	0	1		монстр
1700-1916_монстр_2756-16	1992-2016_монстр_2757-16	0	1		монстр
1700-1916_монстр_2770-16	1992-2016_монстр_2771-16	0	1		монстр
1700-1916_монстр_2758-16	1992-2016_монстр_2759-16	0	4		монстр
1700-1916_монстр_2720-16	1992-2016_монстр_2721-16	0	1		монстр
1700-1916_монстр_2718-16	1992-2016_монстр_2719-16	0	4		монстр
1700-1916_монстр_2748-16	1992-2016_монстр_2749-16	0	3		монстр
1700-1916_монстр_2716-16	1992-2016_монстр_2717-16	0	3		монстр
1700-1916_монстр_2742-16	1992-2016_монстр_2743-16	0	1		монстр
1700-1916_монстр_2744-16	1992-2016_монстр_2745-16	0	1		монстр
1700-1916_монстр_2736-16	1992-2016_монстр_2737-16	0	1		монстр
1700-1916_монстр_2740-16	1992-2016_монстр_2741-16	0	1		монстр
1700-1916_монстр_2738-16	1992-2016_монстр_2739-16	0	4		монстр
1700-1916_монстр_2732-16	1992-2016_монстр_2733-16	0	1		монстр
1700-1916_монстр_2752-16	1992-2016_монстр_2753-16	1	1		монстр
1700-1916_монстр_2750-16	1992-2016_монстр_2751-16	1	3		монстр
1700-1916_монстр_2772-16	1992-2016_монстр_2773-16	1	4		монстр
1700-1916_монстр_2740-16	1992-2016_монстр_2741-16	1	1		монстр
1700-1916_монстр_2762-16	1992-2016_монстр_2763-16	1	1		монстр
1700-1916_монстр_2736-16	1992-2016_монстр_2737-16	1	1		монстр
1700-1916_монстр_2754-16	1992-2016_монстр_2755-16	1	1		монстр
1700-1916_монстр_2766-16	1992-2016_монстр_2767-16	1	4		монстр
1700-1916_монстр_2760-16	1992-2016_монстр_2761-16	1	4		монстр
1700-1916_монстр_2764-16	1992-2016_монстр_2765-16	1	2		монстр
1700-1916_монстр_2738-16	1992-2016_монстр_2739-16	1	4		монстр
1700-1916_монстр_2756-16	1992-2016_монстр_2757-16	1	3		монстр
1700-1916_монстр_2774-16	1992-2016_монстр_2775-16	1	1		монстр
1700-1916_монстр_2770-16	1992-2016_монстр_2771-16	1	1		монстр
1700-1916_монстр_2742-16	1992-2016_монстр_2743-16	1	1		монстр
1700-1916_монстр_2746-16	1992-2016_монстр_2747-16	1	4		монстр
1700-1916_монстр_2720-16	1992-2016_монстр_2721-16	1	1		монстр
1700-1916_монстр_2716-16	1992-2016_монстр_2717-16	1	4		монстр
1700-1916_монстр_2732-16	1992-2016_монстр_2733-16	1	1		монстр
1700-1916_монстр_2722-16	1992-2016_монстр_2723-16	1	1		монстр
1700-1916_монстр_2724-16	1992-2016_монстр_2725-16	1	1		монстр
1700-1916_монстр_2758-16	1992-2016_монстр_2759-16	1	3		монстр
1700-1916_монстр_2718-16	1992-2016_монстр_2719-16	1	1		монстр
1700-1916_монстр_2734-16	1992-2016_монстр_2735-16	1	4		монстр
1700-1916_монстр_2748-16	1992-2016_монстр_2749-16	1	4		монстр
1700-1916_монстр_2744-16	1992-2016_монстр_2745-16	1	1		монстр
1700-1916_монстр_2728-16	1992-2016_монстр_2729-16	1	1		монстр
1700-1916_монстр_2768-16	1992-2016_монстр_2769-16	1	2		монстр
1700-1916_монстр_2730-16	1992-2016_монстр_2731-16	1	1		монстр
1700-1916_монстр_2726-16	1992-2016_монстр_2727-16	1	3		монстр
1700-1916_монстр_2756-16	1992-2016_монстр_2757-16	2	3		монстр
1700-1916_монстр_2754-16	1992-2016_монстр_2755-16	2	1		монстр
1700-1916_монстр_2746-16	1992-2016_монстр_2747-16	2	2		монстр
1700-1916_монстр_2736-16	1992-2016_монстр_2737-16	2	1		монстр
1700-1916_монстр_2750-16	1992-2016_монстр_2751-16	2	2		монстр
1700-1916_монстр_2768-16	1992-2016_монстр_2769-16	2	3		монстр
1700-1916_монстр_2734-16	1992-2016_монстр_2735-16	2	4		монстр
1700-1916_монстр_2752-16	1992-2016_монстр_2753-16	2	1		монстр
1700-1916_монстр_2718-16	1992-2016_монстр_2719-16	2	1		монстр
1700-1916_монстр_2758-16	1992-2016_монстр_2759-16	2	4		монстр
1700-1916_монстр_2720-16	1992-2016_монстр_2721-16	2	1		монстр
1700-1916_монстр_2722-16	1992-2016_монстр_2723-16	2	1		монстр
1700-1916_монстр_2724-16	1992-2016_монстр_2725-16	2	4		монстр
1700-1916_монстр_2744-16	1992-2016_монстр_2745-16	2	3		монстр
1700-1916_монстр_2726-16	1992-2016_монстр_2727-16	2	1		монстр
1700-1916_монстр_2728-16	1992-2016_монстр_2729-16	2	1		монстр
1700-1916_монстр_2742-16	1992-2016_монстр_2743-16	2	3		монстр
1700-1916_монстр_2716-16	1992-2016_монстр_2717-16	2	3		монстр
1700-1916_монстр_2748-16	1992-2016_монстр_2749-16	2	4		монстр
1700-1916_монстр_2762-16	1992-2016_монстр_2763-16	2	1		монстр
1700-1916_монстр_2740-16	1992-2016_монстр_2741-16	2	1		монстр
1700-1916_монстр_2760-16	1992-2016_монстр_2761-16	2	2		монстр
1700-1916_монстр_2766-16	1992-2016_монстр_2767-16	2	2		монстр
1700-1916_монстр_2730-16	1992-2016_монстр_2731-16	2	2		монстр
1700-1916_монстр_2772-16	1992-2016_монстр_2773-16	2	2		монстр
1700-1916_монстр_2738-16	1992-2016_монстр_2739-16	2	1		монстр
1700-1916_монстр_2774-16	1992-2016_монстр_2775-16	2	2		монстр
1700-1916_монстр_2732-16	1992-2016_монстр_2733-16	2	1		монстр
1700-1916_монстр_2764-16	1992-2016_монстр_2765-16	2	2		монстр
1700-1916_монстр_2770-16	1992-2016_монстр_2771-16	2	2		монстр
