lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
название	NOUN	1700	1700-1916	1700-1916_название_2842-16		Я не согласен, и даже в негодовании, когда вас, -- ну там кто-нибудь, -- называют идиотом; вы слишком умны для такого названия; но вы и настолько странны, чтобы не быть как все люди: согласитесь сами.	118:126	0:200
название	NOUN	1700	1700-1916	1700-1916_название_2892-16		К названию сему подал повод некто отставной солдат, а другие приписывают какому-то монаху, который вздумал построить на сем пустом острове церковь и, не имея денег на уплату работникам, на требования их всегда отвечал: дело божие.	2:10	0:230
название	NOUN	1700	1700-1916	1700-1916_название_2886-16		Только с Лупьевской (кажется так, -- здесь произносят названия так неразборчиво, что немудрено ошибиться) глянула на меня неприветная, холодная беднота крестьянская.	54:62	0:165
название	NOUN	1700	1700-1916	1700-1916_название_2872-16		Попов обратил внимание городской управы на отсутствие на многих улицах дощечек с названиями их, а также и с обозначениями номеров их.	81:91	0:133
название	NOUN	1700	1700-1916	1700-1916_название_2870-16		Там шел кулачный бой. * Где жили иногородние, носившие общее название "русских".	61:69	0:80
название	NOUN	1700	1700-1916	1700-1916_название_2836-16		Что Печенеги заимствовали это название от более ранних туземцев, показывают тут же рядом приведенные у Константина Багрянородного названия других рек: Кубу (Буг или Гупанис, в другом месте, именно на Кавказе, также перешедшие в Кубань), Труллос (Днестр или прежний Турас), Брутос (Прут), Серетос (Серет).	30:38	0:304
название	NOUN	1700	1700-1916	1700-1916_название_2884-16		Испанская пляска сия в тогдашнее время еще мало была известна в Германии; многие из гостей даже никогда не слыхивали ее названия, и любопытство собрания от того увеличилось.	120:128	0:173
название	NOUN	1700	1700-1916	1700-1916_название_2844-16		Название опричнина происходило от слова "опричь", то есть "кроме".	0:8	0:66
название	NOUN	1700	1700-1916	1700-1916_название_2846-16		Вблизи вы рассмотрите, что это не волны, а женские шляпки, и даже с прискорбием заметите, что многие из них сдернуты на сторону, оборваны, исковерканы и превращены в такие странные головные уборы, что им нельзя приискать никакого приличного названия.	241:249	0:250
название	NOUN	1700	1700-1916	1700-1916_название_2848-16		Читая впоследствии письмо Гейне к автору Лалла Рук, где поэт говорит, что, не зная самого сочинения, готов признать его превосходным, потому что у него такое прекрасное название, -- я вспомнил, что то же самое было со мною, когда я в первый раз узнал сладостное имя Филиппа Кольберга.	169:177	0:284
