lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2896		Общий образ г-жи Акар уже, вероятно, сложился у вас, господа присяжные заседатели, и мы едва ли изменим его нашими спорами, наложением на него темных красок или освещением его искусственным светом.	124:134	0:197	2896	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2897		В связи с этим представляет интерес создание синтетической оценочной карты путем наложения друг на друга карт почвенных и климатических ресурсов.	81:90	0:145	2897	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2898		В этом же вкусе Возрождения построены и другие церкви Дрездена, что [особенно] много способствует наложению мрачного, тяжелого облика на весь город.	98:107	0:148	2898	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2899		Нарушение предусмотренных законодательством о выборах и референдумах условий проведения агитации на каналах организаций, осуществляющих теле- и (или) радиовещание, и в периодических печатных изданиях влечет наложение административного штрафа на должностных лиц в размере от 20 до 30 МРОТ, на юридических лиц -- от 200 до 500 МРОТ.	207:216	0:330	2899	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2900		Тем не менее в них находятся весьма значительные пробелы, а главное не указывается вовсе власть заведующего по отношению к наложению взысканий.	123:132	0:143	2900	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2901		"Метод наложения слов друг на друга в парах синомант выявляет их связи: слово Корни обоих слов содержат общую жужжащую Ж. Она отчётливо проявляется как последняя в исходном для слова ""мужчина"" слове ""муж"" и как первая в исходном для слова ""женщина"" слове ""жена""."	6:15	0:261	2901	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2902		Меншиков испросил прощение у государя, и царь ограничился только наложением на него большого штрафа, 100000 червонцев, а потом пригласил его по-прежнему к дружеской попойке.	65:75	0:173	2902	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2903		Статья 5.6. Нарушение прав члена избирательной комиссии, комиссии референдума, наблюдателя, иностранного (международного) наблюдателя, доверенного лица или уполномоченного представителя кандидата, избирательного объединения, избирательного блока, члена или уполномоченного представителя инициативной группы по проведению референдума, иной группы участников референдума либо представителя средства массовой информации Нарушение прав члена избирательной комиссии, комиссии референдума, наблюдателя, иностранного (международного) наблюдателя, доверенного лица или уполномоченного представителя кандидата, избирательного объединения, избирательного блока, члена или уполномоченного представителя инициативной группы по проведению референдума, иной группы участников референдума либо представителя средства массовой информации на осуществление наблюдения и на своевременное получение информации и копий избирательных документов, документов референдума, получение которых предусмотрено законом, -- влечет наложение административного штрафа на граждан в размере от пяти до десяти минимальных размеров оплаты труда; на должностных лиц -- от десяти до двадцати минимальных размеров оплаты труда.	999:1008	0:1186	2903	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2904		Как истинно развитой человек, он гуляет и тут, и там, никогда не налагая на себя никаких уз, но в то же время отнюдь не воспрещая, чтобы другие считали для себя наложение уз полезным.	161:170	0:183	2904	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2905		Ненадлежащее управление юридическим лицом Ненадлежащее управление юридическим лицом, то есть использование полномочий по управлению организацией вопреки ее законным интересам и (или) законным интересам ее кредитора, повлекшее уменьшение собственного капитала организации и (или) возникновение убытков, -- влечет наложение административного штрафа в размере до десяти минимальных размеров оплаты труда или дисквалификацию на срок до трех лет.	312:321	0:441	2905	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2906		Контроль заключается в следующем: в разрешении новых изданий, в освобождении от предварительной цензуры, в посылке журналам предостережений и в наложении определенных взысканий и 6) что управление по делам печати не будет отныне прикрываться высочайшим именем; все распоряжения будут производиться исключительно министром внутренних дел под собственною его ответственностью.	144:153	0:374	2906	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2907		Собственно говоря, Роджер объяснил, почему он расставил акценты именно таким образом: ему важно понять процесс наложения, импозиции имен ради обозначения и другие процессы, связанные с обозначением, но не связанные с импозицией (с. 101).	111:120	0:237	2907	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2908		Итак, потребители не только не должны ничего страшиться от наложения пошлины на свекловичный сахар, но, напротив того, если бы не было наложено пошлины, они должны были бы нести долю пошлины, которую были бы принуждены увеличить для покрытия таможенных недоимок.	59:68	0:262	2908	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2909		При этом в течение двух недель после наложения ареста налоговый орган обязан обратиться в арбитражный суд с иском об обращении взыскания на имущество налогоплательщика.	37:46	0:168	2909	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2910		Через месяц Митька уже был бит на площади кнутом и, по наложении клейм, отправлен в Сибирь в числе прочих сущих воров и разбойников.	55:64	0:132	2910	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2911		Статья 6.7. Нарушение санитарно-эпидемиологических требований к условиям воспитания и обучения Нарушение санитарно-эпидемиологических требований к условиям воспитания и обучения, к техническим, в том числе аудиовизуальным, и иным средствам воспитания и обучения, учебной мебели, а также к учебникам и иной издательской продукции -- влечет наложение административного штрафа на должностных лиц в размере от двадцати до тридцати минимальных размеров оплаты труда; на юридических лиц -- от двухсот до трехсот минимальных размеров оплаты труда.	339:348	0:540	2911	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2912		Священник села Батрац, Мензелинского уезда, Уфимской губ., Громов, подавший прошение о разрешении ему перехода в магометанство, заключен в монастырь с наложением на него строгой эпитимии.	151:161	0:187	2912	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2913		За неспортивное поведение, неоправданный риск, опасные действия и критику официальных лиц Пол Трейси оштрафован на 50 000 долларов (самый крупный штраф, предусмотренный правилами CART), лишением трех зачетных очков и наложением испытательного срока до конца сезона.	217:227	0:265	2913	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2914		Потому-то деспоты всегда так и радели о невежестве народном, употребляя все средства для наложения тормозов на народное образование.	89:98	0:132	2914	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2915		Незаконные изготовление, продажа или передача пневматического оружия Незаконные изготовление, продажа пневматического оружия или передача пневматического оружия с дульной энергией более 7,5 джоуля и калибра 4,5 миллиметра без разрешения органов внутренних дел -- влечет наложение административного штрафа на граждан в размере от пятнадцати до двадцати минимальных размеров оплаты труда с конфискацией пневматического оружия или без таковой; на должностных лиц -- от тридцати до сорока минимальных размеров оплаты труда с конфискацией пневматического оружия или без таковой; на юридических лиц -- от трехсот до четырехсот минимальных размеров оплаты труда с конфискацией пневматического оружия или без таковой.	270:279	0:709	2915	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2916		После наложения штемпеля на марку, не только нельзя разобрать рисунка, но. нередко, меняется самый характер. портретного изображения.	6:15	0:133	2916	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2917		Неисполнение банком поручения государственного внебюджетного фонда Неисполнение банком или иной кредитной организацией поручения органа государственного внебюджетного фонда о зачислении во вклады граждан сумм государственных пенсий и (или) других выплат -- влечет наложение административного штрафа на должностных лиц в размере от сорока до пятидесяти минимальных размеров оплаты труда; на юридических лиц -- от четырехсот до пятисот минимальных размеров оплаты труда.	264:273	0:468	2917	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2918		Ребенок всякий раз секунд 30 дрожит после наложения ледяного компресса на голову.	42:51	0:81	2918	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2919		2. Открытие банком или иной кредитной организацией счета организации или индивидуальному предпринимателю при наличии у банка или иной кредитной организации решения налогового органа либо таможенного органа о приостановлении операций по счетам этого лица -- влечет наложение административного штрафа на должностных лиц в размере от двадцати до тридцати минимальных размеров оплаты труда.	264:273	0:386	2919	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2920		"Г-н Менделеев делает твердое положение, в виде твердого факта, что ""...на спиритических сеансах столы двигаются и издают стуки, как при наложении на них рук, так и без него."	136:145	0:173	2920	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2921		Вот подлинная природа епитимии, выявляемая не из насильственного наложения бремен неудобоносимых, чему всегда противится Господь, но из чувства неоплатного долга грешника перед бездной любви Божией.	65:74	0:198	2921	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2922		В это же время последовало облегчение для женского пола: жен преступников не приневоливали идти с мужьями в ссылку; им дозволяли жить в своих приданых имениях и домах, либо выделяли им на содержание часть мужнего движимого имущества, а в 1757 году женщины, приговоренные к телесному наказанию, освобождаются от рвания ноздрей и наложения клейм.	328:337	0:344	2922	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2923		При наличии достаточных данных о нарушении авторских или смежных прав орган дознания, следователь, суд или судья единолично обязаны принять меры для розыска и наложения ареста на экземпляры произведений или фонограмм, в отношении которых предполагается, что они являются контрафактными, а также на материалы и оборудование, предназначенные для изготовления и воспроизведения указанных экземпляров произведений или фонограмм, включая в необходимых случаях меры по их изъятию и передаче на ответственное хранение.	159:168	0:511	2923	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2924		Ассистент Грефе, д-р Ангельштейн, отличался искусством в наложении повязки.	57:66	0:75	2924	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2925		Непредоставление информации, необходимой для проведения коллективных переговоров и осуществления контроля за соблюдением коллективного договора, соглашения Непредоставление работодателем или лицом, его представляющим, в срок, установленный законом, информации, необходимой для проведения коллективных переговоров и осуществления контроля за соблюдением коллективного договора, соглашения, -- влечет наложение административного штрафа в размере от десяти до тридцати минимальных размеров оплаты труда.	399:408	0:500	2925	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2926		"Разбор этих столкновений старшины всегда передавали на мирское обсуждение, и мир обыкновенно освобождал их от этих ""наложений"", принимая уплату их на себя."	116:125	0:155	2926	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2927		"На основании этих положений Феодор Студит составил в руководство себе и другим духовникам краткий покаянный Номоканон под заглавием: ""Правила об исповеди и решениях по ней"", то есть о наложении епитимий."	184:193	0:203	2927	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2928		Если принять, что первые капли сока, получаемые при временной фистуле, в первые полчаса по наложении ее, представляют сок нормальный, то мы должны согласиться, что при постоянной фистуле, мы едва ли можем рассчитывать на получение совершенно нормального сока.	91:100	0:259	2928	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2929		Разглашение информации с ограниченным доступом Разглашение информации, доступ к которой ограничен федеральным законом (за исключением случаев, если разглашение такой информации влечет уголовную ответственность), лицом, получившим доступ к такой информации в связи с исполнением служебных или профессиональных обязанностей, -- влечет наложение административного штрафа на граждан в размере от пяти до десяти минимальных размеров оплаты труда; на должностных лиц -- от сорока до пятидесяти минимальных размеров оплаты труда.	333:342	0:522	2929	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2930		Вспоминаю пример сего славного грека, который вознес отечество свое на верх сияния и могущества, но с удовольствием и почтением исполнял самые низкие должности, наложением которых неблагодарное гражданство думало его унизить.	161:171	0:225	2930	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2931		Содержание обеспечительной меры может заключаться либо в наложении ареста на имущество, принадлежащее ответчику, передаче спорного имущества на хранение истцу или другому лицу, либо в запрещении ответчику и другим лицам осуществлять определенные действия, либо в возложении обязанности на ответчика по совершению определенных действий.	57:66	0:335	2931	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2932		Наложение ареста зависит от установления или должностного лица по делам печати и допускается всякий раз, когда в содержании нумера заключаются признаки преступного деяния (за исключением преследуемых в порядке частного обвинения).	0:9	0:230	2932	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2933		Нарушение требований режима чрезвычайного положения Нарушение требований режима чрезвычайного положения (за исключением нарушения правил комендантского часа) -- влечет наложение административного штрафа на граждан в размере от пяти до десяти минимальных размеров оплаты труда или административный арест на срок до тридцати суток; на должностных лиц -- от десяти до двадцати минимальных размеров оплаты труда или административный арест на срок до тридцати суток.	168:177	0:461	2933	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2934		В конце концов брат Фома сказал мне: -- Сестру Марию многие славят как святую и уверяют, что обладает она даром исцелять больных одним наложением рук, как благочестивейший король французский.	135:145	0:191	2934	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2935		Воспрепятствование должностными лицами кредитной организации осуществлению функций временной администрации Воспрепятствование должностными лицами кредитной организации осуществлению функций временной администрации -- влечет наложение административного штрафа в размере от двадцати до тридцати минимальных размеров оплаты труда.	224:233	0:327	2935	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2936		Толико всякой изобретатель далеко отстоит от последователей, в совершенстве его превосходящих. содержит одно токмо известие о покорении Сибири и приведении жителей к Шерте, и о наложении на них ясака, то есть дани, в мягкой рухляди состоящей.	177:186	0:242	2936	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2937		"Это такая контаминация, наложение двух слов -- ""баррель"" и ""рельеф""."	24:33	0:68	2937	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2938		Некто уверяет, что от наложения сея пошлины двоякая для государства произойдет польза.	22:31	0:86	2938	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2939		При этом, невыполнение в установленный срок законного предписания антимонопольного органа влечет наложение административного штрафа на должностных лиц в размере от сорока до пятидесяти МРОТ; на юридических лиц -- от двух до пяти тысяч МРОТ.	97:106	0:240	2939	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2940		"""Собор"" дал знать об этом Кириллу, а так как он все-таки медлил отъездом, то 10 марта послана была ему грамота, в которой требовалось, чтоб он ""не отягощал более своим здесь беспотребным и даже опасным существованием для мирных христиан сей столицы, сейчас же с Сергием и Филаретом отправился обратно в Белую Криницу, с тем что за противозаконные, никак не терпимые церковью деяния он, с наложением запрещения от священнодействия, подлежит суду большого освященного собора""."	388:398	0:474	2940	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2941		Наложение штрафа не освобождает виновных лиц от обязанности устранения допущенных нарушений и возмещения причиненного ущерба.	0:9	0:125	2941	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2942		Он должен быть составлен немедленно по наложении взыскания, в первую свободную для того минуту.	39:48	0:95	2942	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2943		Учение об импозиции (наложении) имен по общей форме его явно не устраивало, поскольку оно базировалось на непрямом отношении между записанными или произнесенными словами через посредство некоей абстрактной сущности.	21:30	0:215	2943	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2944		Комиссия вошла с представлением о наложении запрещения на имение Мясниковых в обеспечение правильности поступления доходов казны в течение следующего десятилетия.	34:43	0:162	2944	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2945		"Если разделение между смыслоразличением и коммуникацией абсолютизировать, то оно может стать истоком ложных обобщений, что и происходит, по Лосеву, в случае сначала полного изъятия из логики коммуникативного момента -- это в рабочих целях не только допустимо, но и необходимо, -- а затем непосредственного наложения структур такой некоммуникативно рассмотренной логики на процессы реальности -- что, по Лосеву, уже недопустимо, ибо, ""пропуская"" априорную коммуникативность любого смысла, такая стратегия приводит к ложным обобщениям."	306:315	0:533	2945	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2946		"Богатеи не хотели брать на себя круговую поруку уплаты за них ""новых наложений""; кроме того, они жаловались, что за ""келейницами"" земля даром пропадает, а на миру недоимки растут."	69:78	0:179	2946	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2947		При нейтральном допущении как не всерьез, но все же допущении, а значит и предицировании выведена из действия, нейтрализована именно установка на прямую референцию, все остальные ноэтически-ноэматические аспекты актов сознания, их последовательности, сцепления, наложения и т. д. сохраняются.	262:271	0:292	2947	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2948		Шутка сказать: следствие о неправильном осуждении после того, что обвиненный был наказан плетьми с наложением клейм!	99:109	0:116	2948	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2949		По ходатайству истца о принятии мер по обеспечению иска арбитражный суд вынес определение о наложении ареста на принадлежащие ответчику ценные бумаги без указания наименования этих бумаг и их количества.	92:101	0:203	2949	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2950		Скоро, однако, царь допустил изъятия из запрещения носить бороду, но при наложении очень большой пени.	73:82	0:102	2950	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2951		в случае наложения ареста на денежные средства клиента, учитываемые на специальном брокерском счете, обращения на них взыскания по обязательствам клиента, брокер обязан предоставить информацию о наличии и сумме денежных средств клиента на специальном брокерском счете уполномоченному государственному органу или должностному лицу по его запросу.	9:18	0:345	2951	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2952		Для каждой шаровой оболочки внутри шара мы имеем наложение двух противоположных зарядов formula, что соответствует избытку объемного положительного заряда, распределенного в шаровой оболочке, объем которой formula; отсюда следует, что внутри шара положительный заряд имеет постоянную объемную плотность formula и удовлетворяет условию, что сумма поверхностного отрицательного и объемного положительного зарядов равна нулю.	49:58	0:422	2952	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2953		Следует иметь ввиду, что постановление о наложении штрафа должно быть утверждено старшим судебным приставом.	41:50	0:108	2953	rushifteval	ru
наложение	NOUN	1700	1700-1916	1700-1916_наложение_2954		С этих пор он закрывает свою торговлю и, превращаясь в странника, выдает себя за мессию и исцеляет многих наложением своей руки.	106:116	0:128	2954	rushifteval	ru
наложение	NOUN	1992	1992-2016	1992-2016_наложение_2955		Статья 9.8. Нарушение правил охраны электрических сетей напряжением свыше 1000 вольт Нарушение правил охраны электрических сетей напряжением свыше 1000 вольт, могущее вызвать или вызвавшее перерыв в обеспечении потребителей электрической энергией, -- влечет наложение административного штрафа на граждан в размере от пяти до десяти минимальных размеров оплаты труда; на должностных лиц -- от десяти до двадцати минимальных размеров оплаты труда; на юридических лиц -- от ста до двухсот минимальных размеров оплаты труда.	258:267	0:520	2955	rushifteval	ru
