lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3150-16		В Луганах состоялось освящение памятника Императору Александру II и церкви и школы, сооруженных в память освобождения крестьян от крепостной зависимости.	31:40	0:153
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3176-16		По случаю 65-летия царствования императора Франца-Иосифа решено заложить в и Вене памятник единственному остающемуся в живых основателю тройственного союза.	82:90	0:156
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3172-16		Ряды крестов, тленных памятников тлеющих под ними поселян, смиренно склонялись над пригорками, и несколько елей, скрипя, качали черные ветви свои, колеблемые ветром.	22:32	0:165
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3178-16		В Архангельске торжественно открыт памятник Петру Великому.	35:43	0:59
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3180-16		Тихая, полная чар Равенна, -- город, славящийся богатством памятников искусства эпохи раннего христианства, освящена также памятью Данте, проведшего здесь остаток своей жизни и тут скончавшегося.	59:69	0:195
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3170-16		После торжественного присутствия множества народа на богослужении у памятника графу Муравьеву-Амурскому многочисленные депутации возложили на памятник венки из живых цветов.	68:77	0:173
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3182-16		Общество рассчитывает поставить памятник в Хамовниках не позднее весны 1914 года. неизвестный.	32:40	0:94
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3154-16		Мужик говорит с умилением, что Лев Николаевич поставил себе "памятник и в Туле, и в Москве, и в Петербурге", и что "всем надо заботиться, чтобы оставлять по себе памятники".	61:69	0:173
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3166-16		На Афоне хранится драгоценная уника, почти тысячелетний памятник древней письменности -- грузинская Библия, написанная в 978 году.	56:64	0:130
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3152-16		В августе 1898 года 1 взвод от нашего полка под командой есаула Кочетова ходил в Москву для участия в параде по случаю освящения памятника Императору Александру II.	129:138	0:164
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3184-16		Москва Гоголевский комитет и А.Е. Нос Вчера гоголевский комитет обратился в совет присяжных поверенных с просьбой побудить бывшего казначея комитета присяжного поверенного А.Е. Носа представить комитету отчеты и документы о расходах и доходах комитета по постройке памятника Н.В. Гоголю в Москве.	265:274	0:296
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3186-16		Никогда я так не чувствовал памятника Павлу, как сегодня.	28:37	0:57
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3188-16		Намерение воздвигнуть памятник на острове, в Майне близ Thor образовавшемся, который я видел с большого моста.	22:30	0:110
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3156-16		Из памятников укажем хотя важнейшие места: Oracula Sibyllina.	3:13	0:61
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3168-16		В Гельсингфорсе по поводу празднования 50-тилетия провинциального финляндского сейма произведены были демонстрации у памятника Александра II. неизвестный.	117:126	0:154
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3192-16		На завтраке, данном вел. кн. Кириллом Владимировичем в Лейпциге, великий князь выразил благодарность представителям города Лейпцига и председателю комитета по постройке памятника генералу Жилинскому.	169:178	0:199
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3190-16		Каждый день, стоя у какого-нибудь берега, вы будете ездить то в ту, то в другую сторону, и каждый шаг, каждый предмет внесете, как богатое приобретение, драгоценный вклад, в архив памяти, и все послужит живым памятником живого изучения природы, чужих стран и людей, уже не по тетрадке и не по книге, не со слов учителя, не по картинке, а собственным опытом.	209:219	0:357
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3194-16		Интересно оно, во-вторых, и, помимо того, для истории нравов: не забудем, что суеверие гнездилось преимущественно в бедных и необразованных классах населения, т. е. таких, которые почти не оставили сами других непосредственных памятников своей жизни.	227:237	0:250
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3148-16		Переход в а и в и заметен в древнейших памятниках славянских, и теперь повторяется во многих наречиях: в и более всего в сербском у римско-католиков и в чешском всегда, когда оно должно выговариваться протяженно (бида, вира); ва более всего в польском (biada, wiara).	39:49	0:267
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3146-16		Как оценила Германия этот договор 1894 г., особенно сельские группы Германии, показывает, что договор 1894 г. -- "не памятник славы, а надгробный камень, на котором следовало бы написать: "Здесь похоронено немецкое сельское хозяйство"".	117:125	0:236
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3164-16		И наша легенда, по той же причине, соприкасается с песнями "Эдды" не прямо, а через посредство видоизменений в других памятниках немецкой старины, основанных на общем предании.	118:128	0:176
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3144-16		В то время нередко случалось, что шалуны отвертывали позолоченные верхушки копий от ограды памятника; надзор за этим поручался сенатскому караулу; Осип Иванович с испугу от наехавшей кареты ухватился за прут решетки и вскочил на каменное основание ее; часовому показался прыжок этот издали подозрительным, он закричал ефрейтора, и Иосифа ни с того ни с сего взяли было на гауптвахту.	91:100	0:383
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3136-16		Если б не полуистертые надписи и следы времени на этих надгробных памятниках, можно было бы подумать, что они вышли из мастерской и почему-нибудь были забракованы.	66:76	0:163
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3162-16		-- Любекская Дом-Кирхе отличается еще необыкновенною длиннотой своей, и так как легенда в Германии живет и вьется над историческими памятниками, как ласточка, свивающая гнездо в расселинах вековых стен их, то и по построению, и по длине Дом-Кирхе есть легенда.	132:143	0:260
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3158-16		Князь Трубецкой на открытие памятника не приехал, так как ему во время не было дано знать об открытии памятника, так что он опоздал на несколько дней.	28:37	0:150
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3142-16		Ночь была лунная; вполовину освещенные шкапы, на которых стояли вазы, походили на какие-то надгробные памятники: из одного угла смотрел на меня Сократ, из другого выглядывал Цицерон.	102:111	0:182
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3140-16		В Вязьме открыть памятник войны 1812 года, сооруженный Перновским полком.	17:25	0:73
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3160-16		С сею жалованною грамотою послы выехали в Новгород, представили ее там воеводе князю Буйносову-Ростовскому и требовали места для строения домов и лавок; но воевода ждал еще особенного указа, и долго, так, что они, лишась терпения, уехали во Псков, где были счастливее: градоначальник немедленно отвел им, на берегу реки Великой, вне города, место старого гостиного двора немецкого, то есть его развалины, памятник древней цветущей торговли в знаменитой Ольгиной родине.	405:413	0:469
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3138-16		Сплошной барельеф, с изображениями лиц из разных классов народа, опоясывающий подножие памятника, и по размеру фигур, и по самому помещению своему, нисколько не может видоизменять главного впечатления, производимого колоссальностью верхних шести групп.	87:96	0:252
памятник	NOUN	1700	1700-1916	1700-1916_памятник_3174-16		При жизни Николай Матвеевич говорил брату Ивану: -- Когда я умру, ты не ставь надо мною ни креста, ни памятника, не то крышу у тебя сорву.	102:111	0:138
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3171-16		Большой Владычный -- геолого-ботанический памятник природы.	42:50	0:59
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3169-16		Это как раз совпадает со временем создания "Слова о полку Игореве" -- литературного памятника, изучением которого Барановский параллельно со своей основной деятельностью занимался всю жизнь.	84:93	0:190
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3167-16		Зато есть памятник Кирову на главной улице, носящей, разумеется, имя Ленина.	10:18	0:76
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3155-16		Причем -- что удивительно! -- действовали погромщики абсолютно бессистемно: разбиты и памятники с православными крестами, и с еврейскими "давидовыми" звездами, и вообще безо всяких символов.	86:95	0:190
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3163-16		"Памятник партизанам") 69-120 Ансамбль танца "Радость" принимает мальчиков 8-14 лет.	1:9	0:84
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3153-16		Обширная программа включала в себя церемонию открытия памятника Маршалу Г.К. Жукову, возложение венков на Могилу Неизвестного Солдата, официальную встречу с Президентом России, посещение праздничного концерта, присутствие на параде участников Великой Отечественной войны, военном параде и открытии Мемориала на Поклонной горе и участие в Государственном приеме в честь 50-летия Победы.	54:63	0:385
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3173-16		Это не собор XVIII века, не небоскреб и вообще не памятник архитектуры, здание совершенно заурядное.	50:58	0:100
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3165-16		Здесь на огромных площадях предполагалось возвести царский дворец, здания Сената, Ратуши, академии, соорудить пеший памятник Петру I и триумфальный столб.	116:124	0:154
памятник	NOUN	1992	1992-2016	1992-2016_памятник_3159-16		Думаю что аргумент -- для освобождения места под памятник Александра III, очень сомнительный.	49:57	0:93
