lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
писк	NOUN	1700	1700-1916	1700-1916_писк_3256		Она, глядя на них, смеется и плачет, и извиняется передо мной за плач и писк; говорит, что это с голоду, что она ждет не дождется, когда вернется муж, который ушел в город продавать голубику, чтобы купить хлеба.	72:76	0:211	3256	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3257		Не удивлюсь, если скоро последним писком моды среди кандидатов в управляющие станет добровольное предоставление ими гарантий возмещения возможного ущерба от своей деятельности.	34:40	0:176	3257	rushifteval	ru
писк	NOUN	1700	1700-1916	1700-1916_писк_3258		Цыганки перемигнулись и вдруг с разными ужимками затянули в общем жалобном писке не кочевую цыганскую песнь, а русский водевильный романс.	75:80	0:138	3258	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3259		Открыв крышку мусоропровода, Семен Серафимович вдруг услышал доносящийся из трубы писк.	82:86	0:87	3259	rushifteval	ru
писк	NOUN	1700	1700-1916	1700-1916_писк_3260		Сдавши верхние кафтаны в торока, оба ловчие, в легких куртках, с рогами за плечами, пошли к острову; тут надобно было слышать этот жалобный писк и вой всей стаи, из которой, однако же, ни одна собака не смела ступить шага вперед.	140:144	0:229	3260	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3261		Слышал, что писк комара -- это следствие работы ультразвукового локатора, с помощью которого насекомое отыскивает жертву даже в полной темноте.	12:16	0:143	3261	rushifteval	ru
писк	NOUN	1700	1700-1916	1700-1916_писк_3262		Хворый ребенок не сходил с рук, даже мне надрывая душу непрестанным жалобным писком, а между тем нужно было добывать денег для прокормления семьи.	77:83	0:146	3262	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3263		Все приводило нас в восторг, маленькие деревенские удовольствия приносили чистую бездумную радость: поздние завтраки на веранде, прогулки верхом, долгие беззаботные обеды в роще, когда на белую скатерть падают солнечные пятна и сосновые иголки, барахтанье в зацветшем пруду, вечера у огня с томиком Дюкре Дюминиля под комариный писк и дальний лай собак.	328:332	0:353	3263	rushifteval	ru
писк	NOUN	1700	1700-1916	1700-1916_писк_3264		Этот тонкий звук надоедливо лезет в уши, -- он похож на писк комара и беспокоит, путает мысли.	56:60	0:94	3264	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3265		Она сидела возле спящего сына, тяжело, со свистом и писком дышащего простуженной грудью, стирала проступающий на лбу его, высоком и чистом, пот -- Завьяловы подтопили в избе и в горнице, дров не жалея, -- смотрела на сморщенное у рта, гиблым пухом обросшее костлявое лицо, неслышно плакала.	52:58	0:290	3265	rushifteval	ru
писк	NOUN	1700	1700-1916	1700-1916_писк_3266		Здесь же вот -- теплый запах навоза, хрустение жующих лошадей, пыльная паутина и писк мышат.	81:85	0:92	3266	rushifteval	ru
писк	NOUN	1992	1992-2016	1992-2016_писк_3267		А мне Затирка сшил пляжные шорты и рубашку с погончиками, это был последний писк.	76:80	0:81	3267	rushifteval	ru
