identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_план_3348-16	1992-2016_план_3349-16	0	4		план
1700-1916_план_3362-16	1992-2016_план_3363-16	0	3		план
1700-1916_план_3330-16	1992-2016_план_3331-16	0	3		план
1700-1916_план_3336-16	1992-2016_план_3337-16	0	1		план
1700-1916_план_3328-16	1992-2016_план_3329-16	0	4		план
1700-1916_план_3334-16	1992-2016_план_3335-16	0	4		план
1700-1916_план_3332-16	1992-2016_план_3333-16	0	4		план
1700-1916_план_3338-16	1992-2016_план_3339-16	0	2		план
1700-1916_план_3340-16	1992-2016_план_3341-16	0	1		план
1700-1916_план_3324-16	1992-2016_план_3325-16	0	4		план
1700-1916_план_3342-16	1992-2016_план_3343-16	0	4		план
1700-1916_план_3322-16	1992-2016_план_3323-16	0	4		план
1700-1916_план_3344-16	1992-2016_план_3345-16	0	1		план
1700-1916_план_3320-16	1992-2016_план_3321-16	0	4		план
1700-1916_план_3364-16	1992-2016_план_3365-16	0	1		план
1700-1916_план_3346-16	1992-2016_план_3347-16	0	2		план
1700-1916_план_3326-16	1992-2016_план_3327-16	0	1		план
1700-1916_план_3318-16	1992-2016_план_3319-16	0	2		план
1700-1916_план_3372-16	1992-2016_план_3373-16	0	4		план
1700-1916_план_3316-16	1992-2016_план_3317-16	0	1		план
1700-1916_план_3368-16	1992-2016_план_3369-16	0	4		план
1700-1916_план_3350-16	1992-2016_план_3351-16	0	2		план
1700-1916_план_3358-16	1992-2016_план_3359-16	0	4		план
1700-1916_план_3374-16	1992-2016_план_3375-16	0	1		план
1700-1916_план_3370-16	1992-2016_план_3371-16	0	1		план
1700-1916_план_3356-16	1992-2016_план_3357-16	0	3		план
1700-1916_план_3366-16	1992-2016_план_3367-16	0	1		план
1700-1916_план_3352-16	1992-2016_план_3353-16	0	3		план
1700-1916_план_3360-16	1992-2016_план_3361-16	0	4		план
1700-1916_план_3354-16	1992-2016_план_3355-16	0	1		план
1700-1916_план_3316-16	1992-2016_план_3317-16	1	1		план
1700-1916_план_3374-16	1992-2016_план_3375-16	1	1		план
1700-1916_план_3320-16	1992-2016_план_3321-16	1	4		план
1700-1916_план_3372-16	1992-2016_план_3373-16	1	4		план
1700-1916_план_3322-16	1992-2016_план_3323-16	1	1		план
1700-1916_план_3318-16	1992-2016_план_3319-16	1	4		план
1700-1916_план_3324-16	1992-2016_план_3325-16	1	4		план
1700-1916_план_3326-16	1992-2016_план_3327-16	1	1		план
1700-1916_план_3366-16	1992-2016_план_3367-16	1	3		план
1700-1916_план_3328-16	1992-2016_план_3329-16	1	4		план
1700-1916_план_3368-16	1992-2016_план_3369-16	1	1		план
1700-1916_план_3344-16	1992-2016_план_3345-16	1	1		план
1700-1916_план_3330-16	1992-2016_план_3331-16	1	4		план
1700-1916_план_3370-16	1992-2016_план_3371-16	1	1		план
1700-1916_план_3332-16	1992-2016_план_3333-16	1	4		план
1700-1916_план_3362-16	1992-2016_план_3363-16	1	3		план
1700-1916_план_3364-16	1992-2016_план_3365-16	1	4		план
1700-1916_план_3360-16	1992-2016_план_3361-16	1	2		план
1700-1916_план_3356-16	1992-2016_план_3357-16	1	1		план
1700-1916_план_3348-16	1992-2016_план_3349-16	1	3		план
1700-1916_план_3346-16	1992-2016_план_3347-16	1	4		план
1700-1916_план_3354-16	1992-2016_план_3355-16	1	1		план
1700-1916_план_3334-16	1992-2016_план_3335-16	1	4		план
1700-1916_план_3352-16	1992-2016_план_3353-16	1	1		план
1700-1916_план_3338-16	1992-2016_план_3339-16	1	2		план
1700-1916_план_3358-16	1992-2016_план_3359-16	1	4		план
1700-1916_план_3340-16	1992-2016_план_3341-16	1	1		план
1700-1916_план_3342-16	1992-2016_план_3343-16	1	4		план
1700-1916_план_3350-16	1992-2016_план_3351-16	1	4		план
1700-1916_план_3336-16	1992-2016_план_3337-16	1	1		план
1700-1916_план_3350-16	1992-2016_план_3351-16	2	3		план
1700-1916_план_3356-16	1992-2016_план_3357-16	2	4		план
1700-1916_план_3370-16	1992-2016_план_3371-16	2	1		план
1700-1916_план_3352-16	1992-2016_план_3353-16	2	1		план
1700-1916_план_3374-16	1992-2016_план_3375-16	2	1		план
1700-1916_план_3354-16	1992-2016_план_3355-16	2	1		план
1700-1916_план_3364-16	1992-2016_план_3365-16	2	2		план
1700-1916_план_3368-16	1992-2016_план_3369-16	2	1		план
1700-1916_план_3348-16	1992-2016_план_3349-16	2	3		план
1700-1916_план_3372-16	1992-2016_план_3373-16	2	4		план
1700-1916_план_3366-16	1992-2016_план_3367-16	2	1		план
1700-1916_план_3344-16	1992-2016_план_3345-16	2	1		план
1700-1916_план_3358-16	1992-2016_план_3359-16	2	4		план
1700-1916_план_3318-16	1992-2016_план_3319-16	2	4		план
1700-1916_план_3342-16	1992-2016_план_3343-16	2	4		план
1700-1916_план_3320-16	1992-2016_план_3321-16	2	2		план
1700-1916_план_3340-16	1992-2016_план_3341-16	2	3		план
1700-1916_план_3322-16	1992-2016_план_3323-16	2	1		план
1700-1916_план_3338-16	1992-2016_план_3339-16	2	3		план
1700-1916_план_3324-16	1992-2016_план_3325-16	2	3		план
1700-1916_план_3332-16	1992-2016_план_3333-16	2	4		план
1700-1916_план_3362-16	1992-2016_план_3363-16	2	4		план
1700-1916_план_3326-16	1992-2016_план_3327-16	2	1		план
1700-1916_план_3334-16	1992-2016_план_3335-16	2	4		план
1700-1916_план_3328-16	1992-2016_план_3329-16	2	4		план
1700-1916_план_3330-16	1992-2016_план_3331-16	2	4		план
1700-1916_план_3346-16	1992-2016_план_3347-16	2	3		план
1700-1916_план_3336-16	1992-2016_план_3337-16	2	1		план
1700-1916_план_3316-16	1992-2016_план_3317-16	2	1		план
1700-1916_план_3360-16	1992-2016_план_3361-16	2	1		план
