identifier1	identifier2	annotator	judgment	comment	lemma
3616	3617	0	3		полукруг
3616	3617	1	4		полукруг
3616	3617	2	3		полукруг
3618	3619	0	4		полукруг
3618	3619	1	3		полукруг
3618	3619	2	3		полукруг
3620	3621	0	4		полукруг
3620	3621	1	2		полукруг
3620	3621	2	3		полукруг
3622	3623	0	2		полукруг
3622	3623	1	3		полукруг
3622	3623	2	3		полукруг
3624	3625	0	4		полукруг
3624	3625	1	4		полукруг
3624	3625	2	1		полукруг
3626	3627	0	3		полукруг
3626	3627	1	3		полукруг
3626	3627	2	4		полукруг
3628	3629	0	4		полукруг
3628	3629	1	1		полукруг
3628	3629	2	1		полукруг
3630	3631	0	4		полукруг
3630	3631	1	4		полукруг
3630	3631	2	4		полукруг
3632	3633	0	1		полукруг
3632	3633	1	4		полукруг
3632	3633	2	4		полукруг
3634	3635	0	4		полукруг
3634	3635	1	4		полукруг
3634	3635	2	1		полукруг
3636	3637	0	4		полукруг
3636	3637	1	4		полукруг
3636	3637	2	4		полукруг
3638	3639	0	2		полукруг
3638	3639	1	2		полукруг
3638	3639	2	4		полукруг
3640	3641	0	4		полукруг
3640	3641	1	4		полукруг
3640	3641	2	3		полукруг
3642	3643	0	4		полукруг
3642	3643	1	3		полукруг
3642	3643	2	1		полукруг
3644	3645	0	1		полукруг
3644	3645	1	2		полукруг
3644	3645	2	1		полукруг
3646	3647	0	4		полукруг
3646	3647	1	4		полукруг
3646	3647	2	4		полукруг
3648	3649	0	4		полукруг
3648	3649	1	2		полукруг
3648	3649	2	4		полукруг
3650	3651	0	3		полукруг
3650	3651	1	4		полукруг
3650	3651	2	4		полукруг
3652	3653	0	4		полукруг
3652	3653	1	1		полукруг
3652	3653	2	4		полукруг
3654	3655	0	3		полукруг
3654	3655	1	1		полукруг
3654	3655	2	3		полукруг
3656	3657	0	4		полукруг
3656	3657	1	3		полукруг
3656	3657	2	1		полукруг
3658	3659	0	2		полукруг
3658	3659	1	2		полукруг
3658	3659	2	2		полукруг
3660	3661	0	4		полукруг
3660	3661	1	4		полукруг
3660	3661	2	4		полукруг
3662	3663	0	4		полукруг
3662	3663	1	4		полукруг
3662	3663	2	4		полукруг
3664	3665	0	3		полукруг
3664	3665	1	4		полукруг
3664	3665	2	2		полукруг
3666	3667	0	4		полукруг
3666	3667	1	4		полукруг
3666	3667	2	3		полукруг
3668	3669	0	1		полукруг
3668	3669	1	3		полукруг
3668	3669	2	4		полукруг
3670	3671	0	4		полукруг
3670	3671	1	2		полукруг
3670	3671	2	3		полукруг
3672	3673	0	4		полукруг
3672	3673	1	4		полукруг
3672	3673	2	4		полукруг
3674	3675	0	1		полукруг
3674	3675	1	4		полукруг
3674	3675	2	2		полукруг
