lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3632-16		Немного погодя из саду показалась другая толпа, также с граблями и скребками; все обступили полукругом управителя.	92:102	0:114
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3628-16		В вой от входа паперти у стены построено в полукруг надгробие.	43:51	0:62
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3648-16		Багряно-огненный полукруг убегал в, невозвратную глубину.	17:25	0:57
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3630-16		Барыни сели чинным полукругом, одетые по запоздалой моде, в поношенных и дорогих нарядах, все в жемчугах и брилиантах, мужчины толпились около икры и водки, с шумным разногласием разговаривая между собою.	19:29	0:204
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3674-16		Когда солнце начнет склоняться к западу и вечерняя прохлада расстилается по воздуху, тогда все собираются в полукруг; посреди оного возвышается высокий гладкий шест, на вершине которого блестит вызолоченный деревянный орел с распростертыми крыльями.	108:116	0:249
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3672-16		Не оставалось ничего другого, как ждать, что будет дальше, и ждать пришлось недолго: описавши полукруг, лошади стремглав понеслись по дороге под гору и через головы полетели в ров.	94:102	0:180
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3670-16		Тотчас за Владимировкой начинается громадный луг в несколько сот десятин; он имеет вид полукруга, версты четыре в диаметре.	87:96	0:123
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3668-16		Широким полукругом около стола сидят профессора факультета -- между ними Каченовский, Давыдов, Шевырев, Крюков -- и все хранят какое-то торжественное молчание, как-то особенно, как-то странно нас оглядывают.	8:18	0:207
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3626-16		Там стояли солдаты сплошным полукругом; все копья наперевес, все луки наготове.	28:38	0:79
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3666-16		Жители Кореи, не смотря на географическое положение, столь благоприятствующее развитию международных сношений и попытки иностранцев завести таковые, почти до последних дней следовали принципам китайцев, устраняясь от всякого знакомства с иностранцами и чужеземными делами, на море; для этого отказавшись от постройки кораблей, а на суше отделив свое государство огромной необитаемой полосой полукругом.	391:401	0:402
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3662-16		Невдали от этой тропинки темнел радостный, успокоенный лес, а за рекою громадным полукругом тянулись равнины с раскиданными на них рощами и селами, и по ним змеились пыльно-серые ленточки дорог.	81:91	0:194
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3660-16		Она была очень велика, так что казалась чем-то вроде собора, за которым стояли рядами, полукругом, другие меньшие палатки.	87:97	0:122
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3658-16		Посл поклона предъ нимъ, атлетъ получаетъ отъ него родъ благословеня, и его ведутъ на арену, т. е. въ средину полукруга.	110:119	0:120
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3656-16		Диван был устроен так, что на ночь свободное пространство задвигалось и покрывалось особым матрасом, отчего образовывалась постель в виде полукруга во весь альков.	138:147	0:163
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3654-16		Разместились полукругом перед церковными воротами.	13:23	0:50
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3652-16		Посредине было сделано возвышение, на котором стояла кушетка под балдахином, от кушетки полукругом с каждой стороны стояло по шести ваз из великолепного белого мрамора самой тонкой работы, и в них горели лампы.	88:98	0:210
полукруг	NOUN	1700	1700-1916	1700-1916_полукруг_3650-16		Красная точка, описав в темноте полукруг, упала, рассыпалась искорками и покатилась, а потом осталась лежать неподвижно в темноте.	32:40	0:130
