lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
помощник	NOUN	1700	1700-1916	1700-1916_помощник_318		Там, у звуковой трубы, стоял помощник.	29:38	0:38	318	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_319		Все эти материалы будут полезны не только начинающим локомотивщикам, но и работающим в настоящее время машинистам и их помощникам.	119:130	0:130	319	rushifteval	ru
помощник	NOUN	1700	1700-1916	1700-1916_помощник_320		Шамиль лишился таким образом самого смелого, искусного и влиятельного помощника и предводителя партий; это произвело везде в горах самое невыгодное для него впечатление.	70:79	0:169	320	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_321		-- Стюард, пива!-- скомандовал помощник.	31:40	0:40	321	rushifteval	ru
помощник	NOUN	1700	1700-1916	1700-1916_помощник_322		Обеспечив правильный ход работ в Благовещенске, я поручил своему помощнику, инженер-прапорщику Юрасову (бывшему ссыльнокаторжному), постройку церквей в станицах Кумарской и Албазин, сам же с тою же целью отправился в станицы Иннокентиевскую, Екатерино-Никольскую, Михайло-Семеновскую и в Хабаровку.	65:75	0:298	322	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_323		Сывороточный ИФН является показателем кумулятивной его продукции в организме, спонтанный ИФН -- кумулятивной его продукции лейкоцитами крови, альфа-ИФН вырабатывается практически всеми клетками крови, тогда как гамма-ИФН вырабатывается Т-клетками при участии клеток-помощников.	0:0	0:277	323	rushifteval	ru
помощник	NOUN	1700	1700-1916	1700-1916_помощник_324		Вообще, при исполнении своих обязанностей, начиная от министра и кончая последним помощником секретаря, никто не хлопотал о своем прямом деле: всякий руководствовался посторонними делу, по большей части личными побуждениями, иной метил на популярность, иной мечтал, как бы похуже напакостить Трепову, иной просто подслуживался к прямому начальнику, но все упустили служение самому делу, исполнение своего долга.	82:92	0:411	324	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_325		Вот сейчас выйду на улицу и укокошу, -- пригрозил я и действительно вышел на улицу, чтобы посмотреть, тут ли староста со своим помощником и внуком в голубой курточке.	127:137	0:166	325	rushifteval	ru
помощник	NOUN	1700	1700-1916	1700-1916_помощник_326		-- Скоро же возвратились! -- сказал принявший меня под расписку помощник управляющего.	64:72	0:86	326	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_327		Вахтенный офицер является непосредственным помощником командира корабля в вопросах обеспечения безопасности плавания, маневрирования, применения оружия при внезапных встречах с противником, уклонения от атак подводных лодок, самолетов, вертолетов и боевых катеров, а также от обнаруженных торпед и мин. 827.	43:53	0:307	327	rushifteval	ru
помощник	NOUN	1700	1700-1916	1700-1916_помощник_328		-- Не посрами меня, скорый помощник!	27:36	0:36	328	rushifteval	ru
помощник	NOUN	1992	1992-2016	1992-2016_помощник_329		Рассылку и регистрацию многих тысяч писем, подготовку и проверку имен погибших моряков для занесения их на памятные доски, ведение денежных книг и другой учетной документации члены комитета и их добровольные помощники делали бесплатно.	208:217	0:235	329	rushifteval	ru
