lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3676		Я сказал князю, что рукопись будет доставлена к нему не позже понедельника.	62:74	0:75	3676	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3677		Билет на четырнадцать пятьдесят один в понедельник.	39:50	0:51	3677	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3678		Выехав отсюда в ночь с понедельника на вторник, он в субботу в 6-м часу после обеда был уже на месте.	23:35	0:101	3678	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3679		-- Я дождусь понедельника.	13:25	0:26	3679	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3680		В понедельник, 16 декабря, в половине лекции моей в университете, я получаю от попечителя записку с приглашением немедленно к нему приехать.	2:13	0:140	3680	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3681		"Теленеделя с Ириной Петровской ""Вроде не бездельники и могли бы жить -- им бы понедельники взять и отменить..."""	78:90	0:111	3681	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3682		Лобшицу в понедельник заказ сдавать, а он тянет.	10:21	0:48	3682	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3683		Понедельники ведь иногда начинаются в субботу!) Ultra Colour Rich Lipstick & Nail Enamel от Avon -- помада и лак для ногтей удивительных оттенков, которым еще не придумали достойных названий.	0:12	0:191	3683	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3684		Показания Гаврилы Рыжего о нападении на Якова Милюкова (19 февраля 1746) И в нынешнем 746-м году на Сырной неделе в понедельник он, Гаврила, ходил в Немецкую слободу на рынок, что словет Ладуга, и на том рынке он, Гаврила, сошелся з беглыми салдатами Иваном прозвище Стромынским, да с Савельем... и оныя Иван и Савелей звали ево, Гаврилу, на Троицкую дорогу для разбою проезжих людей, и он, Гаврила, с ними пошел.	116:127	0:413	3684	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3685		Отсчитывая пятидесятирублевые купюры, Роман вдруг остановился, посмотрел на Геннадия и спросил: -- Ген, а как Панкрашина брала колье в бутике Водитель такую поездку отрицает, в понедельник, кроме как к Дорожкиной, он ее никуда не возил, и по журналу в гараже все совпадает.	177:188	0:273	3685	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3686		Внутренняя нужда и бедность и тихие речи Головниной заставили меня решиться нынешний пост говеть, в понедельник, накануне своего Ангела, с которым поздравляю и тебя, если Бог сподобит приобщиться.	100:111	0:196	3686	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3687		Выиграв в понедельник два сета, российский мастер уступил третий.	10:21	0:65	3687	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3688		27-го, понедельник.	7:18	0:19	3688	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3689		Ты не найдешь Субботу и воскресенье по инерции, в понедельник практически избавилась от завихрений, и вдруг мама Гарика: -- Ася, тебя к телефону.	50:61	0:145	3689	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3690		20 ноября (понедельник) ...В два часа пошли копать снег лопатами и потом гуляли все с Государем и Императрицею.	11:22	0:111	3690	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3691		В понедельник начальник Генштаба Вооруженных сил РФ генерал армии Анатолий Квашнин прибыл в штаб ОГВ в Ханкалу с инспекционной поездкой.	2:13	0:136	3691	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3692		Я сказала, что у меня болит спина, но совсем напрасно, теперь она у меня ничуть не болит, а мама беспокоится и не хочет пускать в понедельник.	130:141	0:142	3692	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3693		"В тот же день устроился, и все выходные отмечал ""начало трудовой жизни"" -- Валентина сама сбегала за водкой, -- а с понедельника начал водить тот самый единственный автобус, который вез из их района до ближайшей станции метро."	116:128	0:226	3693	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3694		Очень бы хотелось в понедельник окончательно устроиться в Плещееве, но если нельзя, то я, конечно, подожду, сколько угодно.	20:31	0:123	3694	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3695		По словам адвоката чиновника Владимира Каталикова, в понедельник Алексеев опроверг обвинительное заключение.	53:64	0:108	3695	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3696		Как нарочно, в понедельник был я окружен неприятностями, досадами -- ну, жизнью -- понимаешь!	15:26	0:93	3696	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3697		Мы открыты с понедельника по пятницу с 8 до 20 часов, в субботу с 10 до 14 часов.	13:25	0:81	3697	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3698		В двух селах составил списки будущих нахлебников и в начале будущей недели (в понедельник, вторник или далее всего в среду) открываю две столовые в селах Елфимове и Печингуши, принадлежащих к одному из сильно нуждающихся участков земского начальника Пушкина.	78:89	0:258	3698	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3699		-- Ведь награждают не каждый понедельник.	29:40	0:41	3699	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3700		Понедельник, 24 До прибытия к острову Атте с нами ничего достойного примечания не случилось.	0:11	0:92	3700	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3701		В понедельник пост начальника управления финансов заняла Мария Винтер.	2:13	0:70	3701	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3702		В страстной понедельник его снова не оставили по этому предмету в покое, и часу в пятом утра к нему вдруг в спальню просунул свою морду Ванька и стал будить его.	12:23	0:161	3702	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3703		В понедельник центристы объявили, что одобряют его.	2:13	0:51	3703	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3704		9, Октября 19, понедельник.	15:26	0:27	3704	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3705		"Дым коромыслом на двух новых выставках В понедельник в ""Кафе дез Артист"", что в Камергерском переулке, открывается выставка французского художника Бернара Бернара ""Сигары и искусство""."	41:52	0:184	3705	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3706		Понедельник, 2 ноября.	0:11	0:22	3706	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3707		"На ""понедельниках"" гостей встречали молодые актеры, а в нижнем фойе их принимали Василий Иванович Качалов, Иван Михайлович Москвин, Леонид Миронович Леонидов и другие ""старики""."	4:17	0:177	3707	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3708		Первое заседание мирной конференции состоится в понедельник.	48:59	0:60	3708	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3709		Обнаружен архив Яндарбиева В понедельник в Управление ФСБ по Чеченской Республике был передан архив бывшего президента непризнанной Ичкерии Зелимхана Яндарбиева.	29:40	0:161	3709	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3710		В понедельник я явился в Совет совсем уже приготовленный к предстоявшей мне неприятной сцене и вместе к ответу, когда сделано мне будет замечание, что вижу в нем одно особенное монаршее снисхождение к непростительной моей вине.	2:13	0:227	3710	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3711		Начиная с субботы температура начнет повышаться и в понедельник достигнет 0...-5! ночью и 0... +5! днем.	52:63	0:104	3711	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3712		За границей Международная телеграфная конференция В понедельник (19-го мая) в Лондоне открылась международная конференция по вопросам телеграфного дела.	52:63	0:152	3712	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3713		Буду очень рада видеть Вас в понедельник.	29:40	0:41	3713	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3714		Она рассказала дочери, что они завтра поедут к обедне в Борисоглебовскую церковь, а что в понедельник Саша опять будет переодет в женское платье.	90:101	0:145	3714	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3715		Нобелевскую премию за медицину вновь получили генетики В понедельник ежегодная Нобелевская премия в области медицины и физиологии присуждена двум британцам -- 75-летнему Сиднею Бреннеру и 60-летнему Джону Салстону -- и 55-летнему американцу Роберту Горвицу.	57:68	0:257	3715	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3716		Понедельник, 6 июля.	0:11	0:20	3716	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3717		А в понедельник выходи на работу, как обычно.	4:15	0:45	3717	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3718		В понедельник открывается французский театр, причисленный уже к императорским театрам; в это время я буду далеко от Москвы, и задняя забывая, простираться впредь.	2:13	0:162	3718	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3719		Он сменил на этом посту Андреаса Папандреу (подавшего в понедельник в отставку по причине тяжелой болезни), набрав во втором туре тайного голосования 86 голосов.	56:67	0:161	3719	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3720		Лекционные дни в обществе приказчиков установлены окончательно: по понедельникам будет читать по истории г-жа Червинская, по пятницам по анатомии доктор Благовещенский.	67:80	0:168	3720	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3721		Понедельник посвящен бесплотным силам, вторник -- пророкам, среда и пятница -- воспоминанию крестной смерти Иисуса, суббота -- поминовению усопших, главный же день посвящен воскресению Господню.	0:11	0:194	3721	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3722		"В понедельник, 21, я получу эти деньги и, по возможности, отправлю Вам в тот же день не менее 250 р. Оказывается, что Ф[лорентий] Фед[орович] не посылал в редакцию ""Рус[ских] вед[омостей]"", да и вообще никуда, -- ни книг, ни объявлений."	2:13	0:236	3722	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3723		"Приглашения на наши ""понедельники"" были почетны, и их добивались многие знаменитости помоложе, но так уж повелось -- приглашали старших."	21:33	0:136	3723	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3724		А с понедельника приметесь за работу...	4:16	0:39	3724	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3725		Теперь она приедет в понедельник.	21:32	0:33	3725	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3726		3 мая, в понедельник вечером, Батюшка оставил меня у себя.	9:20	0:58	3726	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3727		И Борис Надеждин предлагал посвятить недоверию специальное заседание в понедельник или вторник.	71:82	0:95	3727	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3728		"От русского посла в Константинополе получена телеграмма: ""Начало военных действий назначено на понедельник."	95:106	0:107	3728	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3729		"СМЕРТОНОСНЫЕ ""НЕФТЕВОЗЫ"" В ночь на понедельник, как обычно, милиционеры Пригородного района Северной Осетии проводили ""плановый рейд"" по пресечению незаконной перевозки нефтепродуктов."	35:46	0:184	3729	rushifteval	ru
понедельник	NOUN	1700	1700-1916	1700-1916_понедельник_3730		Наша Школа началась в прошлый понедельник.	30:41	0:42	3730	rushifteval	ru
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3731		В понедельник еще до обеда нам с папой удалось рассчитаться со всеми долгами.	2:13	0:77	3731	rushifteval	ru
