lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3796		Он боготворит красоту пошлого и мелкого нашей обыденной жизни, превращая в чистое золото поэзии все, к чему ни прикоснется.	89:95	0:123	3796	rushifteval	ru
поэзия	NOUN	1992	1992-2016	1992-2016_поэзия_3797		Так трудно донести через эти расстояния до каждой души всю нежность и поэзию.	70:76	0:77	3797	rushifteval	ru
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3798		В том и в другом есть поэзия личная, так сказать автобиографическая; но в Долгорукове даже ее более, нежели у Державина; она может быть даже живее и разнообразнее.	22:28	0:163	3798	rushifteval	ru
поэзия	NOUN	1992	1992-2016	1992-2016_поэзия_3799		После этого -- можно перейти и к благим пожеланиям: осталось, мол, поэзию подтянуть!	67:73	0:84	3799	rushifteval	ru
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3800		Вся поэзия Пушкина -- такие отрывки, membra disjecta, разбросанные гармонические члены, обломки мира, создатель которого умер.	4:10	0:126	3800	rushifteval	ru
поэзия	NOUN	1992	1992-2016	1992-2016_поэзия_3801		"Когда-то на заре туманной юности, только что опубликовавший ""Мастеров"" в ""Литературной газете"", наглая молодая звезда русской поэзии, я поднимался в редакционном лифте."	126:132	0:168	3801	rushifteval	ru
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3802		Как малороссу, г. Гоголю с детства знакома жизнь малороссийская, но народность его поэзии не ограничивается одною Малороссиею.	83:89	0:126	3802	rushifteval	ru
поэзия	NOUN	1992	1992-2016	1992-2016_поэзия_3803		Эскизенциализм поэзии недоговорен, тороплив ввиду кратковременности срока жизни среди немой Вселенной.	15:21	0:102	3803	rushifteval	ru
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3804		Но чтоб перейти к поэзии в двух уже последующих периодах, для ясности почитаю необходимым сказать несколько слов о значении первого, то есть мифологического периода в истории духовного развития народов.	18:24	0:202	3804	rushifteval	ru
поэзия	NOUN	1992	1992-2016	1992-2016_поэзия_3805		Это делает географию в поэзии (особенно сопоставление географически отдаленных пунктов) чаще всего признаком высокого стиля.	23:29	0:124	3805	rushifteval	ru
поэзия	NOUN	1700	1700-1916	1700-1916_поэзия_3806		Поэтому я и признал эту искренность, вместе с страстью Вашей к поэзии, вообще к искусству, к литературе, одним из значительных признаков таланта.	63:69	0:145	3806	rushifteval	ru
