lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3916		Я имел в виду настаивать исключительно на том тяжелом положении, в котором, благодаря борьбе Кубанской Краевой Рады с Главнокомандующим, оказалась моя армия; указать, что борясь с генералом Деникиным, Законодательная Рада не остановилась перед предательством тех сынов Кубани, которые кровью свой обеспечили существование края.	244:258	0:327	3916	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3917		Оно, как портрет Дориана Грея, изменяется вместе с художником, запечатлевая тени его предательств на лице, когда-то не отягощенном пороками.	85:97	0:140	3917	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3918		Когда-нибудь я подробнее с вами об этих корифеях поговорю, а теперь только повторяю: опасайтесь Пафнутьева, ибо у него в голове засело предательство.	135:148	0:149	3918	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3919		Особенно это касается эмоционально-смысловых пластов, противостоящих в опере соблазнам, на которые так падок человек, олицетворяющих любовь, верность, преданность -- нетленных ценностей, только и способных возвыситься над предательством, алчностью, пустыми сиюминутными желаниями.	222:236	0:280	3919	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3920		По нашему мнению, для убийства Гапона достаточно было признания им самим своего предательства перед Рутенбергом.	80:93	0:112	3920	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3921		Вскоре министр был арестован в связи с обвинением в предательстве и растрате государственных средств.	52:65	0:101	3921	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3922		Весь ход тяжебных дел, которых у нее достаточно, она помнит так твердо, что даже поверенный ее сутяжных тайн, Петр Дормидонтыч Могильцев, приказный из местного уездного суда, ни разу не решался продать ее противной стороне, зная, что она чутьем угадает предательство.	253:266	0:267	3922	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3923		Она ненавидит предательство!	14:27	0:28	3923	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3924		Тем более, что верхняя губа Саломеи была довольно темно опушена, черты смугло-желтого, толстого, броватого лица резки и тяжеловесны, густейшие черные волосы почти зарастили узенькую ленточку лба, а большие азиатские глаза, выпученные, как у рака, двумя стражами здоровеннейшего армянского носа, -- смотрели -- именно, как у молодых кавказских парней смотрят: наивно и храбро, застенчиво и подозрительно, откровенно и с готовностью страшно и свирепо обидеться, если дружеская доверчивость будет обманута и посмеяна хитрым предательством, насмешкою, надменным коварством.	521:535	0:569	3924	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3925		Не реагировать на смерть близких, на предательство тех, кого любишь, на собственную любовь, потому что она тоже предает, на безобразное, на прекрасное, во всем (со стойкостью, достойной оловянного солдатика) придерживаясь правил этикета, спасающих от необходимости чувствовать.	37:50	0:277	3925	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3926		-- В ком есть вера и у кого душа не потаскушка, пойдем, отобьем труп товарища, снимем с себя позор предательства!	99:112	0:113	3926	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3927		"Утром повалялась в постели, почитала книжку писателя Трифонова ""Студенты"", про незнакомую молодежную жизнь, космополитов и череду взаимных предательств; сходила на базар, для себя и Домны Карповны; первый вечер счастливой недели безделья провела у одной из немногочисленных краснодарских подруг, следующий намеревалась привычно провести с Володей: Набережная, Пушкина, Красная, Покровка."	142:154	0:387	3927	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3928		Мера -- в парении чувств и мыслей и мера -- в предательстве.	46:59	0:60	3928	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3929		Ругал себя и за то, что проглядел его, вытащив в правительство с рядовой инженерной должности, но больнее всего было сознавать отступничество или прямое предательство со стороны многих из тех, кто меня окружал.	153:166	0:210	3929	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3930		Кардинал шепнул ему на ухо, что опасается отравы, ибо от людей, которые уморили законного государя своего, можно ожидать всякого предательства, и, хотя нет явных улик, осторожность не мешает.	129:142	0:191	3930	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3931		Обидно конечно, но такое предательство прощать нельзя.	25:38	0:54	3931	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3932		Он, не веря, поверил, и в этом -- предательство.	34:47	0:48	3932	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3933		"И в образе старика Тодеро, тиранящего близких (""Сеньор Тодеро -- хозяин""), и в угловатом, закомплексованном Гамлете, и даже в ""Трехгрошовой опере"", где его Мэкки-Нож тяжело переживал предательство близких."	188:201	0:205	3933	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3934		С другой стороны, я испытал, что обращение светское и служба за собою влечет предательство, ухищрения, зависть, злоключения и самое умерщвление духа, почему главное мое желание есть сообразить, если то возможно, для тебя удаление от света и познание оного.	77:90	0:256	3934	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3935		В России шаг князя вызвал всеобщее возмущение и был расценен как предательство.	65:78	0:79	3935	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3936		"Как ни были стеснены обстоятельства ясновельможного ""пане коханку"", он, всегда неразборчивый на средства и весьма легко мирившийся с совестью, не решился однако на предательство несчастной женщины и, по свидетельству Кастеры, наотрез отказался от сделанного ему предложения."	167:180	0:274	3936	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3937		Мария, глубоко задетая тем, что Виктория не позволила ей самой объясниться с Энрике, не оценила поступок сестры и обвинила ее в подлости и предательстве.	139:152	0:153	3937	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3938		Не обошлось тут и без предательства, в котором роль главного действующего лица -- увы! -- играл Прудентов.	22:35	0:106	3938	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3939		Я вот тоже лет в 18 был максималистом, и для меня одеть на ирокез бейсболку считалось ужасным предательством.	94:108	0:109	3939	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3940		Здесь я также нашел измену, предательство, убийц.	28:41	0:49	3940	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3941		Не выношу нерадивости и лени, а главное предательства и вранья.	40:53	0:63	3941	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3942		Братья, готовится новое предательство!	24:37	0:38	3942	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3943		Что все они продажны -- спору нет, но возникают сложности с мотивировкой того, что называется предательством.	94:108	0:109	3943	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3944		Умыслили не войну, а предательство; положили нечаянно овладеть столицею и схватить великого князя; наблюдали все его движения и ждали удобного случая.	21:34	0:150	3944	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3945		Терпеть не мог измены, предательства.	23:36	0:37	3945	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3946		Все доброе, все благородное, возникавшее вновь в груди азиатца, в один миг было подавлено ими; Мысль о предательстве, о ссылке огненным потоком протекла по всему его существу.	103:116	0:175	3946	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3947		Если существует дружба, то почему существует предательство Ведь считается, что измена исключает дружбу!	45:58	0:103	3947	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3948		Вообще, он смолоду охотно искал общества литераторов и был всегда испытанным и верным их другом, хотя многие из них отплачивали за эту дружбу легкомысленным предательством.	157:171	0:172	3948	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3949		Вообще немного странно, что книгу, скажем, о ловле шпионов в довоенном СССР считают товаром более надежным, чем недавно написанную сказку о вечных добре и зле, любви и предательстве, мишке и зайчике (и кстати, почему-то не спешат переиздавать рассказы Пришвина и Бианки -- самое вневременное, внеидеологичное, художественно-познавательное).	168:181	0:340	3949	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3950		Желая добра Изяславу, они не устыдились предательства: изъявляли усердие Игорю и в то же время тайно ссылались с его врагом, советуя ему спешить к Киеву.	40:53	0:153	3950	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3951		В предательстве.	2:15	0:16	3951	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3952		Я складывала все мои несчастия и взвешивала их от нечего делать: вот -- поссорилась с отцом, которого любила, прогнали из гимназии и оскорбили, тюрьма, предательство товарища, который был близок мне, арест мужа, опять тюрьма и ссылка, смерть мужа.	152:165	0:247	3952	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3953		Когда нужно совершить предательство, чтобы сохранить честь.	22:35	0:59	3953	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3954		Крестьянство неизбежно станет таковым, если только просвещающий его ход революционных событий не оборвется слишком рано предательством буржуазии и поражением пролетариата.	120:134	0:171	3954	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3955		"Михаила Константинова, вместе с протестом всей Южноамериканской Зарубежной России и непрестанными предупреждениями со стороны настояших русских священников на родине о предательстве Русской Белой Церкви синодальными двуликими янусами, довели до того, что Синод утерял всякое доверие и уважение со стороны мыслящей зарубежной общественности""."	169:182	0:341	3955	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3956		"Когда перед глазами совершается грандиозное хищничество, предательство или вероломство, то весьма естественно, что такого рода картина возбуждает в нас негодование; но когда перед нами происходит простая ""шалость"" -- помилуйте, стоит ли из-за пустяков бурю в стакане воды поднимать!"	58:71	0:282	3956	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3957		Сделав несколько десятков шагов, он снова окунулся в свой мир больших денег, интриг и предательства.	86:99	0:100	3957	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3958		.. и ее обморок, и персидская вежливость, и варенье Абу-Бекира, и предательство Зейнаб.	66:79	0:87	3958	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3959		"А единственное, чего я хочу -- это знать, что происходит в нашей стране; особенно, когда некие силы начинают выкрикивать такие слова, как ""предательство"", ""конспиративные теории"", едва почувствовав, что кто-то хочет установить истину."	141:154	0:234	3959	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3960		Еще раз в верхах армии появилась растерянность, нерешительность, предательство и трусость.	65:78	0:90	3960	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3961		"Одним из самых моих дерзких обманных маневров была публикация стихотворения ""Ограда"" -- на смерть Пастернака, чье имя тогда в советской прессе было синонимом предательства Родины."	161:174	0:179	3961	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3962		"Всякие попытки определить особой чертой, особо выработанными ""пунктами"" (вроде пунктов резолюции Старовера или конферентов) пределы, за которыми начинается это лицемерие буржуазных друзей свободы или, если хотите, это предательство свободы ее буржуазными друзьями, неминуемо осуждены на неуспех, ибо буржуазия, поставленная между двух огней (самодержавие и пролетариат), способна тысячами путей и средств менять свою позицию и лозунги, приспособляясь на вершок влево и на вершок вправо, постоянно торгуясь и маклерствуя."	221:234	0:520	3962	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3963		Что касается Балтера, то он не только никого не нажал, но его самого выдал, предательством сохранив себе место в гнездилище чести, ума и совести, писатель, насчет гордости коего вроде бы можно было не сомневаться.	76:90	0:213	3963	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3964		В Хемнице вместо ожидаемой помощи мы нашли предательство: реакционерные граждане cxватили нас ночью в кроватях и повезли в Альтенбург, для того чтобы предать прусскому войску.	43:56	0:175	3964	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3965		"В эту минуту в дверях появился руководитель подпольной организации ""Р-З"" ""Доктор"" и объяснил фашисту, что гестапо вешает на крюк не только полковников, но даже генерал-полковников, узнав об их предательстве."	198:211	0:207	3965	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3966		Боясь предательства, как это было при его попытке бежать из Флорищевой пустыни, Илиодор на этот раз в свои планы никого не посвятил.	6:19	0:132	3966	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3967		Кайли благополучно забыла предательства и осталась вместе с Оливье.	26:39	0:67	3967	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3968		Но вопрос для борющейся политической партии состоит теперь в том, сумеем ли мы научить чему-нибудь революцию сумеем ли мы воспользоваться правильностью нашего социал-демократического учения, связью нашей с единственным до конца революционным классом, пролетариатом, для того, чтобы наложить на революцию пролетарский отпечаток, чтобы довести революцию до настоящей решительной победы на деле, а не на словах, чтобы парализовать неустойчивость, половинчатость и предательство демократической буржуазии К этой цели должны мы направить все свои усилия.	461:474	0:549	3968	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3969		Но грань между верностью, хотя бы несовершенной, и полнотой предательства остается.	60:73	0:83	3969	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3970		Я не мог допустить мысли о возможности предательства моих ближайших сотрудников и всякую слежку за ними считал недостойной.	39:52	0:123	3970	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3971		"""Мое молчание было бы предательством, помощью гитлеровской армии""."	24:38	0:66	3971	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3972		"Но он не хотел ее жалеть, он и тут хотел клясть и клял, если не за предательство и коварство, то за ""проклятые женские фантазии"", ради которых она вышла из вагона и пошла расхаживать."	68:81	0:183	3972	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3973		Что же до Ю. Г. -- не было у него таких козырей, как одиночество и пенсионный возраст; к тому же он жаждал действовать -- издать, к примеру, полного Пушкина, полного Герцена; ему нужны были люди -- сотрудники, ученики, оппоненты; а сам не умел скрыть свой блеск и брезговал предательством; короче, таким в советской филологии не место.	274:288	0:335	3973	rushifteval	ru
предательство	NOUN	1700	1700-1916	1700-1916_предательство_3974		Тут пахнет уже предательством!	15:29	0:30	3974	rushifteval	ru
предательство	NOUN	1992	1992-2016	1992-2016_предательство_3975		Таких случаев было много, и я поняла, что все это давно носится в воздухе -- предательство и скука, что они вошли в состав воздуха и души, что легкие не могут дышать ничем иным, кроме как скукой и предательством, что жизнь давно исчерпала себя в сюжетах и перекочевала в глубоко материальный мир.	77:90	0:296	3975	rushifteval	ru
