lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_378		Роль пролетариев в лохмотьях, которые рвутся завладеть чужим достоянием, провозглашая великий догмат: la proprit c'est le vol, хочет взять на себя могучая и богатая Англия, проповедуя всеобщее равенство, т.е. всеобщую подчиненность ее силе.	5:16	0:240	378	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_379		Пролетарии мысли, соединяйтесь!	0:10	0:31	379	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_380		"""У нас нет решительно никаких средств производства, ""мы чистейшей воды пролетарии!"" -- любят заявлять о себе, напр. ""жрецы муз"", беллетристы и поэты."	71:83	0:149	380	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_381		"Говорят, что их лидеры тоже живут не худо даже и при ""оккупационном правительстве"", а ""патриотические"" пролетарии пера находятся в том же положении, что и их ""демократические"" коллеги."	103:113	0:184	381	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_382		А пролетарий опасен на улице.	2:12	0:29	382	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_383		Ни для кого не секрет, что через несколько лет таких пролетариев станет множество.	53:64	0:82	383	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_384		А между тем и без того уже (то есть и без французского воспитания) интеллигентный русский, даже и теперь еще, в огромном числе экземпляров -- есть не что иное, как умственный пролетарий, нечто без земли под собою, без почвы и начала, международный межеумок, носимый всеми ветрами Европы.	175:186	0:287	384	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_385		То он придумал гимн антиглобалистов Give Peace A Chance, то гимн пролетариев всех стран Power To The People, потом он написал гимн наркоманов в ломке Cold Turkey.	65:76	0:162	385	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_386		Долго подавленный пролетарий поднимает наконец голову.	18:28	0:54	386	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_387		Пролетарии всех стран, дожить готовясь, Выворачивай карман, в котором совесть, И вышвыривай ее, как лишний груз.	0:10	0:112	387	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_388		Это пролетарий до мозга костей!	4:14	0:31	388	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_389		В общем, сделали эти новые пролетарии свою работу на совесть, как умели.	27:37	0:72	389	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_390		"Безлошадный пролетарий, полуголодный мелкий крестьянин, богатей-промышленник -- все они беспорядочно перемешались в том самом ""деревенском миру"", который раньше казался однородной массой армяков и зипунов."	12:23	0:205	390	rushifteval	ru
пролетарий	NOUN	1992	1992-2016	1992-2016_пролетарий_391		Они-то висели на стене открыто -- дедушка и бабушка пролетарии, хотя в отдельной квартире и их портреты уже были куда-то спрятаны и за все время Ольге ни разу не попадались.	52:63	0:173	391	rushifteval	ru
пролетарий	NOUN	1700	1700-1916	1700-1916_пролетарий_392		-- Как мог сделать это пролетарий Когда он заикался о свободе, в него стреляли, и он... исчезал.	23:33	0:96	392	rushifteval	ru
