identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_промышленность_466-16	1992-2016_промышленность_467-16	0	3		промышленность
1700-1916_промышленность_444-16	1992-2016_промышленность_445-16	0	4		промышленность
1700-1916_промышленность_488-16	1992-2016_промышленность_489-16	0	4		промышленность
1700-1916_промышленность_468-16	1992-2016_промышленность_469-16	0	3		промышленность
1700-1916_промышленность_470-16	1992-2016_промышленность_471-16	0	3		промышленность
1700-1916_промышленность_492-16	1992-2016_промышленность_493-16	0	4		промышленность
1700-1916_промышленность_452-16	1992-2016_промышленность_453-16	0	4		промышленность
1700-1916_промышленность_486-16	1992-2016_промышленность_487-16	0	3		промышленность
1700-1916_промышленность_472-16	1992-2016_промышленность_473-16	0	4		промышленность
1700-1916_промышленность_496-16	1992-2016_промышленность_497-16	0	3		промышленность
1700-1916_промышленность_494-16	1992-2016_промышленность_495-16	0	4		промышленность
1700-1916_промышленность_448-16	1992-2016_промышленность_449-16	0	4		промышленность
1700-1916_промышленность_438-16	1992-2016_промышленность_439-16	0	4		промышленность
1700-1916_промышленность_446-16	1992-2016_промышленность_447-16	0	3		промышленность
1700-1916_промышленность_440-16	1992-2016_промышленность_441-16	0	4		промышленность
1700-1916_промышленность_450-16	1992-2016_промышленность_451-16	0	4		промышленность
1700-1916_промышленность_484-16	1992-2016_промышленность_485-16	0	3		промышленность
1700-1916_промышленность_442-16	1992-2016_промышленность_443-16	0	4		промышленность
1700-1916_промышленность_464-16	1992-2016_промышленность_465-16	0	2		промышленность
1700-1916_промышленность_482-16	1992-2016_промышленность_483-16	0	1		промышленность
1700-1916_промышленность_460-16	1992-2016_промышленность_461-16	0	3		промышленность
1700-1916_промышленность_458-16	1992-2016_промышленность_459-16	0	4		промышленность
1700-1916_промышленность_474-16	1992-2016_промышленность_475-16	0	3		промышленность
1700-1916_промышленность_480-16	1992-2016_промышленность_481-16	0	4		промышленность
1700-1916_промышленность_454-16	1992-2016_промышленность_455-16	0	4		промышленность
1700-1916_промышленность_478-16	1992-2016_промышленность_479-16	0	1		промышленность
1700-1916_промышленность_462-16	1992-2016_промышленность_463-16	0	3		промышленность
1700-1916_промышленность_476-16	1992-2016_промышленность_477-16	0	4		промышленность
1700-1916_промышленность_456-16	1992-2016_промышленность_457-16	0	3		промышленность
1700-1916_промышленность_490-16	1992-2016_промышленность_491-16	0	4		промышленность
1700-1916_промышленность_462-16	1992-2016_промышленность_463-16	1	2		промышленность
1700-1916_промышленность_440-16	1992-2016_промышленность_441-16	1	3		промышленность
1700-1916_промышленность_458-16	1992-2016_промышленность_459-16	1	3		промышленность
1700-1916_промышленность_438-16	1992-2016_промышленность_439-16	1	4		промышленность
1700-1916_промышленность_450-16	1992-2016_промышленность_451-16	1	4		промышленность
1700-1916_промышленность_496-16	1992-2016_промышленность_497-16	1	3		промышленность
1700-1916_промышленность_454-16	1992-2016_промышленность_455-16	1	4		промышленность
1700-1916_промышленность_460-16	1992-2016_промышленность_461-16	1	3		промышленность
1700-1916_промышленность_468-16	1992-2016_промышленность_469-16	1	4		промышленность
1700-1916_промышленность_452-16	1992-2016_промышленность_453-16	1	4		промышленность
1700-1916_промышленность_466-16	1992-2016_промышленность_467-16	1	4		промышленность
1700-1916_промышленность_464-16	1992-2016_промышленность_465-16	1	3		промышленность
1700-1916_промышленность_494-16	1992-2016_промышленность_495-16	1	3		промышленность
1700-1916_промышленность_442-16	1992-2016_промышленность_443-16	1	4		промышленность
1700-1916_промышленность_456-16	1992-2016_промышленность_457-16	1	4		промышленность
1700-1916_промышленность_472-16	1992-2016_промышленность_473-16	1	4		промышленность
1700-1916_промышленность_484-16	1992-2016_промышленность_485-16	1	4		промышленность
1700-1916_промышленность_492-16	1992-2016_промышленность_493-16	1	4		промышленность
1700-1916_промышленность_488-16	1992-2016_промышленность_489-16	1	4		промышленность
1700-1916_промышленность_476-16	1992-2016_промышленность_477-16	1	3		промышленность
1700-1916_промышленность_490-16	1992-2016_промышленность_491-16	1	4		промышленность
1700-1916_промышленность_482-16	1992-2016_промышленность_483-16	1	4		промышленность
1700-1916_промышленность_470-16	1992-2016_промышленность_471-16	1	4		промышленность
1700-1916_промышленность_474-16	1992-2016_промышленность_475-16	1	4		промышленность
1700-1916_промышленность_480-16	1992-2016_промышленность_481-16	1	4		промышленность
1700-1916_промышленность_446-16	1992-2016_промышленность_447-16	1	4		промышленность
1700-1916_промышленность_444-16	1992-2016_промышленность_445-16	1	3		промышленность
1700-1916_промышленность_478-16	1992-2016_промышленность_479-16	1	4		промышленность
1700-1916_промышленность_448-16	1992-2016_промышленность_449-16	1	4		промышленность
1700-1916_промышленность_486-16	1992-2016_промышленность_487-16	1	4		промышленность
1700-1916_промышленность_454-16	1992-2016_промышленность_455-16	2	4		промышленность
