lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_446-16		При застое торговли, промышленности, при упадке земледелия, наконец, при нищете народной в царствование Франциска Медичи в Тоскане процветали разбои и грабежи.	21:35	0:159
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_450-16		Но он не видел ни того, что наука будет находить возможность расширения всех условий жизни, ни того, что только при тесноте населения и при развитии всяких видов промышленности является совершенно живая насущная необходимость в просвещении, в развитии свободы труда и во всем прогрессе человечества, ни того, что при большой массе людей больше, чем при малом их количестве, затрудняются все те дела, которые вредят обществу и которые дают лишенный необходимости перевес немногим над остальными, ни того, наконец, что вообще, чем теснее, тем дружнее.	162:176	0:549
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_448-16		Это совпадение нисколько не случайно, а зависит преимущественно от того, что свободную внешнюю, т. е. исключительно морскую торговлю стали в Англии проповедовать и применять лишь тогда, когда прежде того два столетия укрепляли эту торговлю сильнейшими и исключительными покровительственными мерами (протекционизмом) английскому мореходству ("навигационный акт", 1651 г.) и довели его преобладания во всем свете над мореходством других стран, затем от того что переделывающая промышленность к тому времени была развита в стране уже до того, что занимала и кормила большую часть жителей и требовала сильного вывоза, так как далеко превышала внутренний спрос, и, наконец, от того, что уже тогда внутреннее производство хлеба, мяса и тому подобного сельскохозяйственного сырья, несмотря на явные усовершенствования, было недостаточно и требовался ввоз, от свободы которого выигрывало большее число жителей, чем то, которое теряло от невыгодности многих частей сельского хозяйства.	475:489	0:976
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_444-16		Отказавшись от своего достоинства, наука старается подделаться под жизнь и становится рабой промышленности, которой прежде бросала только крупицы со своего пышного стола.	92:106	0:170
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_442-16		Ему дали заимообразно из казны десять тысяч на десять лет и позволили торговать без пошлины в продолжение десяти лет по всей России, а в 1757 г. заведены были красочные фабрики в Астрахани и Кизляре, с воспрещением другим лицам заниматься этой промышленностью в течение двадцати лет.	244:259	0:283
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_440-16		В области хозяйства, промышленности и торговли царствование Анны Ивановны было продолжением царствования Петра Великого.	21:35	0:120
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_438-16		Богатство, или количество капиталов, судя по тому, что выше извлечено из американской переписи, может определяться скорее всего или преимущественно развитием других видов промышленности.	171:185	0:186
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_474-16		Но, несмотря на это, монополия торговли с колониями Америки одна могла бы поддержать национальную промышленность: колонии давали так много золота, что фабрикантам можно было продолжать работать, несмотря на дороговизну рабочей платы.	98:112	0:233
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_452-16		Развитие промышленности и торговли повело к образованию нового зажиточного сословия, прежняя родовитая знать, потомки старых завоевателей, увидела рядом с собой новую -- с аристократией от булата заспорила аристократия от злата.	9:23	0:228
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_454-16		В Лондоне в Olympia-Hall открыта выставка Ideal Home, на которой выставлены произведения русской кустарной промышленности.	107:121	0:122
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_472-16		Министром торговли и промышленности в то время был сделан Тимирязев, который был назначен по моему выбору.	21:35	0:106
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_470-16		Пропускаю, чтоб не утомлять читателя, все то, о чем уже писали биографы Пестеля и историки декабрьского бунта, как то: освобождение крестьян, количество отнимаемых в их пользу дворянских земель, местное земское управление, устройство веча, свободу вероисповедания и книгопечатания, свободу промышленности и пр.	290:304	0:310
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_468-16		Промышленности эти упадут непременно и выкинут на улицу несколько сотен работников без хлеба.	0:14	0:93
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_466-16		Для примера достаточно указать хотя бы на покровительство, оказанное нефтяной промышленности, так как такая промышленная ценность керосина и нефтяных остатков, какая существует уже давно в России (конечно, помимо акцизного обложения), совершенно немыслима при ввозе нефтяных товаров из Америки или какой-либо другой страны в мире.	78:92	0:330
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_462-16		Дюпень, брат адвоката, известный по своим классическим сочинениям об Англии, и особенно о морской, торговой и [пропуск] силе ее, преподает механику, применяя оную к искусствам и ремеслам (la mecanique, appliquee aux arts). Clement des Orenes преподает химию, применяя оную к искусствам] (la chymie, appliquee aux arts), и славный Say -- хозяйство промышленности (l'economie industrielle), Gaultier -- описательную геометрию (la geometrie descriptive).	347:361	0:451
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_460-16		Одним словом, они готовы согласиться на некоторые "жертвы", лишь бы только им оставили право управлять промышленностью и получать с нее доход Коллективизм, как известно, вносит в этот порядок существенные изменения, но сохраняет, однако, наемный труд.	103:118	0:251
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_458-16		-- состоит в обложении таможенною пошлиной таких привозимых извне товаров, которые можно и желательно производить в самой стране, и в доставлении через это новых прочных заработков своим жителям, т. е. в увеличении их благосостояния, особенно потому, что земледельческий труд оплачивается дешево, непродолжителен и земледелие повсюду сопряжено с бедствиями, зависящими от погодных неурожаев, засух, наводнений и т. п., а фабрично-заводская промышленность от этого свободна.	440:454	0:473
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_456-16		Сохраните, одним словом, всю массу тунеядцев, живущих за счет труда рабочего, и всех существующих посредников, живущих с чуждого труда, а также сохраните государство с его бесчисленными чиновниками, -- и вы увидите, что положение промышленности нисколько не улучшается.	230:244	0:269
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_476-16		Теперь мне хотелось бы перейти к вопросу о нашей промышленности, о том, что здесь говорил господин Варзар.	49:63	0:106
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_464-16		А так как для улучшения земледелия и первичной переработки его продуктов и особенно же усиления скотоводства и получаемых от него продуктов необходимы в России громадные капиталы, которые нигде не даются прямо земледелию вследствие великой раздробленности его усилий и сравнительно малой доходности всего хлебного хозяйства, а легко всюду ссужаются другим промышленным предприятиям, например железным дорогам, каналам, горным делам, фабрикам и заводам, то необходимость России пройти через этот последний вид промышленности, на мой взгляд, становится вполне очевидною, не говоря уже о том, что земледелие всюду оплачивается ныне ниже, чем другие виды промышленности, и представляет не зависящие еще от людей риски неурожаев.	356:368	0:724
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_484-16		Общественное воспитание в ней предоставлено совершенно частным усилиям, и правительство, с своей стороны, покровительствует ему несравненно менее, чем торговле и промышленности, которые признаются основами могущества и благосостояния государства.	162:176	0:246
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_486-16		Да наслаждаются они плодами своего трудолюбия, искусства и промышленности!	59:73	0:74
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_496-16		И в самом деле, по примеру Франции, итальянским правительством были составлены две таблицы, из которых одна указывает те отрасли фабричной промышленности, в которых детям безусловно запрещается работа, тогда как в другой приведены те производства, в которых детям запрещаются только известные, наиболее опасные занятия.	139:153	0:319
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_478-16		Современники видели в крепостном праве главную причину тугого развития русской городской промышленности.	89:103	0:104
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_492-16		Что же это за промышленность -- спросите вы.	14:28	0:44
промышленность	NOUN	1700	1700-1916	1700-1916_промышленность_488-16		Такова мелкая промышленность в Москве.	14:28	0:38
