lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4516		С радости, что ли, или с чего другого, уж не знаю, он проболтался об этом своему сверстнику, приставленному к нему для услуг и для игр, сыну придворного садовника.	81:91	0:163	4516	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4517		Короче, по окончании публичной части, когда мы собрались более тесным кругом, возобновив то самое увлекательное занятие, что имело место на даче Чуковского, с тостом поднялся молодой прозаик и озадачил многих, окатив юбиляра и его сверстников ушатом своих обид, до поры затаенных.	231:242	0:280	4517	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4518		-- Судя по тому, что ваши сверстники в университете говорили мне о ваших речах в Обществе дебатов, вы не были тогда ультрарадикалом.	26:36	0:132	4518	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4519		Самоня рос себе и рос вместе с цыпками, прыщами и нарывами, был действительно и худ, и бледен, но мало чем отличался от своих сверстников.	126:137	0:138	4519	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4520		Оттого он перегнал в чинах всех своих сверстников и при первой возможности был сделан камер-юнкером.	38:49	0:100	4520	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4521		Позволю себе привести суждения, высказанные обо мне в разное время двумя моими сверстниками, -- разумеется, печатно.	79:91	0:116	4521	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4522		Через 8 лет прохожу я через эту самую Калугу ратником, еще далеко не успокоившись духом и еще не возлюбивши покоя, тогда как все тогдашние мои сверстники и товарищи молодости давно уже пристроились и уже в пристани!	143:153	0:215	4522	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4523		Борис Волковинский, бесстрашный, прямой, всегда готовый прийти на помощь, немного похожий на Жана Марэ, любимца наших девочек, он приковывал к себе внимание и сверстников, и взрослых.	159:170	0:183	4523	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4524		Я очень хорошо понимал, почему Аполлон предоставил мне полную свободу принимать приезжих сверстников: неприлично же было ему вязаться с детьми в полуфрачках с отложными воротничками и которым, вдобавок, дают молоко вместо чаю.	89:100	0:226	4524	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4525		"Но все же стоит сравнить сам юмор, дышащий значимостью акта дарения: ""...в знак давней и упорной приязни"", с тем, как надписывали книги его сверстники и друзья."	143:153	0:160	4525	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4526		Великий князь не имел сверстников и жил и развивался одиноким.	22:33	0:62	4526	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4527		Свой собственный бизнес он начал уже в 13 лет, устраивая лотереи для сверстников и ребят постарше.	69:80	0:98	4527	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4528		Было время, и очень недавно, -- когда мы надеялись на себя, на своих сверстников, но теперь и эта надежда оказывается неосновательною.	69:80	0:134	4528	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4529		В отрочестве любить сверстников не только хочется, а и так легко, и даже напрашивается -- любить их отроческие лица, чистых, как ботичеллиевские профили, очертаний, идеально соразмерные друг другу покатый лоб, прямой, чуть вверх, нос, упругие, верхняя две трети нижней, губы, изощренно вылепленное фарфоровое ухо, ушко -- это в профиль; овал лица -- овальный, густоту и блеск волос, румянец, начинающийся с белизны виска и набирающий рдяность к центру щеки -- в фас.	20:31	0:466	4529	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4530		"Теперь уж он ""грозы не боится, природы не любит, Бога у него нет, и все доверчивые девочки, каких он знал, давно уже сгублены им и его сверстниками""."	137:149	0:149	4530	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4531		Тестирование покажет, что системы его организма работают лучше, чем у сверстников, и проработают, вероятно, дольше.	70:81	0:115	4531	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4532		Однако же эта праздничная речь и составляла именно силу Бакунина, подчинявшую ему сверстников: свет и блеск ее увлекали и тех, которые были равнодушны к самым идеям, ею возвещаемым.	82:93	0:181	4532	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4533		Это было раздумье о себе, о прожитой жизни, о сверстниках.	46:57	0:58	4533	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4534		Литераторы и другие почитатели и сверстники Белинского устраивали ежегодно в честь его обеды, на которых прекрасные тосты и прочувственные речи лились такой же рекой, как и прекрасные вина.	33:43	0:189	4534	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4535		"Я подумал про девочку Нину, когда взялся за дверную ручку, чтобы поворотом ее сжечь Павла Евгеньевича до двухсот знаков в файле ""Уманский-Нина"", и спросил: -- А вы Ваши сверстники Тень покивала с непредсказуемой горечью: -- Мы..."	172:182	0:229	4535	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4536		Но с годами, когда Л. Н. Толстой уже старик и стоит как бы один, когда все его знаменитые сверстники уже -- увы! -- сошли со сцены, да и я уже не молод, и не как интервьюер пишу сейчас, -- а потому только, что, думается, всякая мелочь, касающаяся Толстого, должна интересовать всех, и я решаюсь набросать несколько слов, в виде исключения, о посещении мною того русского гения, у которого, говорит И. С. Тургенев, медвежий талант.	90:100	0:430	4536	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4537		Живут семьи-SOS, как и все остальные семьи в мире: дети растут и ходят в школу, играют со сверстниками, помогают маме по дому.	90:102	0:126	4537	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4538		Примером, который он добровольно подал сверстникам и товарищам, Тургенев мог бы в России быть предтечей и основателем общины братьев милосердия.	39:50	0:144	4538	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4539		"(411) Многие мои сверстники, в том числе и я, всю свою сознательную жизнь успешно ""косили"" от Советской Армии."	18:28	0:110	4539	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4540		На первом плане в этих ожиданиях, конечно, стояла перспектива свободы от ученья, а затем шумные встречи с сверстниками, вкусная еда, беготня, пляска и та общая праздничная суета, которая так соблазнительно действует на детское воображение.	106:118	0:239	4540	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4541		"Искусственные барьеры ""я против них"" внезапно и драматично уступили место новому чувству общности, когда разделенные тысячами миль молодые люди разглядели себя и свои отражения в улыбках и глазах своих сверстников""."	205:216	0:215	4541	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4542		Добрые знакомые взяли к себе его детей (двух мальчиков и двух девочек, сверстников его четырех больших романов), которые были еще слишком малы для путешествия за океан, и в январе 1842 года он вместе с женой сел на пароход.	71:82	0:223	4542	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4543		Психологический барьер во взаимоотношениях со сверстниками вскоре был преодолён, судя по присвоению Борису Адамовичу воинских званий унтер-офицера, младшего и старшего портупей-юнкера.	46:58	0:184	4543	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4544		Каким образом, спрошу я, могли народиться те носители новых идей и стремлений, какие изображались Герценом, Тургеневым и их сверстниками в 40-х годах, если бы во всем тогдашнем культурном слое уже не имелось налицо элементов такого движения Русская передовая беллетристика торопилась выбирать таких носителей идей; но она упускала из виду многое, что уже давно сложилось в характерные стороны тогдашней жизни, весьма и весьма достойные творческого воспроизведения.	124:136	0:464	4544	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4545		Выразив озабоченность по поводу перегруженности учеников, он сообщил, что они занимаются на 25% больше, чем зарубежные сверстники.	119:129	0:130	4545	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4546		Посредине комнаты стоял Григоров -- его старший сверстник по университету, но с другого -- словесного -- факультета.	48:57	0:116	4546	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4547		Здесь же оставшиеся сверстники покойного в глубине души, а некоторые и не только в глубине отгораживаются от горьких мыслей: я-то жив.	20:30	0:134	4547	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4548		Всякий здоровый ребенок требует деятельности, и притом серьезной деятельности: с меньшим удовольствием играет он со своими сверстниками, чем помогает отцу или матери в каком-нибудь серьезном деле, если только это дело не превышает его сил и не требует от него такого продолжительного постоянства, которое приходится ему не по возрасту.	123:135	0:335	4548	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4549		Он легко побеждает своего сверстника: тот просто не успевает в игре за его скоростью.	26:36	0:85	4549	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4550		Из своих сверстников граф Кирилл особенно сблизился с умным, оригинальным и любезным графом Иваном Григорьевичем Чернышевым.	9:20	0:124	4550	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4551		-- Ну, руку отруби, ногу, -- вспоминал Фома призывные экзерсисы своих сверстников, пока Доктор немо хохотал в кресле, закрывшись книжкой Мэи.	70:81	0:141	4551	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4552		Но кто из моих сверстников еще помнит таких артистов и артисток, как Лафон, старик Буффе, Арналь, Феликс, Жоффруа, Брассер, Леритье, Иасент, Фаргейль, Тьерре и целый десяток молодых актрис и актеров, тот подтвердит то, что тогда театральное дело стояло выше всего именно в Париже.	15:26	0:280	4552	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4553		Теперь хилый астматик обгоняет не только своих здоровых сверстников, но и мастеров спорта.	56:67	0:90	4553	rushifteval	ru
сверстник	NOUN	1700	1700-1916	1700-1916_сверстник_4554		"Возьмите хоть такую вещь: среди ваших сверстников вы, наверное, уважаете множество лиц, среди ""взрослых людей"" лишь трех-четырех, и то вы их уважаете условно."	39:50	0:158	4554	rushifteval	ru
сверстник	NOUN	1992	1992-2016	1992-2016_сверстник_4555		Он хотел быть лидером, но данных для этого у него не было, физически он был слабее сверстников и способностей имел меньше, учился хуже, к тому же мальчик был очень озлоблен.	83:94	0:173	4555	rushifteval	ru
