lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4696		Он не затруднился оставить суетные почести и воинство по плоти, пришел в пустыню, в короткое время достиг совершенства во всех родах добродетелей.	106:118	0:146	4696	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4697		Эффективность очистки радиаторов зависит от многих факторов, основными из которых являются: состав отложений внутри трубок, который определяется как качеством местной воды, так и условиями ее подготовки перед заправкой в тепловоз; качество обслуживания тепловоза во время его эксплуатации; уровень, условия организации и степень совершенства технологического обслуживания в отделениях по ремонту радиаторов и др.	329:341	0:412	4697	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4698		"Слова ""нельзя"" и ""молчать"" семейство Куприянова знало в совершенстве."	61:73	0:69	4698	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4699		Хорошо бы думать , что нас таких немного, но... нет в мире совершенства!	59:71	0:72	4699	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4700		Внешность доведена здесь до высокой степени эстетического совершенства.	58:70	0:71	4700	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4701		"Попутно можно даже притвориться, что тебе безумно интересны ""эстетические принципы"", что ты озабочен ""совершенством и многообразием словаря"" (десяток лет спустя надо разглагольствовать ""про топонимы, генотипы и системы ассоциативных связей"")."	106:119	0:242	4701	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4702		И вот рядом с самообожающей похвальбой англичан да немцев выступили недавно японцы и ну нас корить всеми нашими недостатками и похваляться своими прирожденными, а особенно вновь приобретенными достоинствами, начиная с того, что они-де лет в тридцать приблизились к современному совершенству, начиная с парламентаризма, больше, чем мы успели в два столетия, а потому стали похваляться и взаправду верить, что они нас побьют, хотя их всего около сорока пяти миллионов, а у нас около ста сорока.	278:290	0:492	4702	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4703		Требования заказчика к новым вагонам предполагают использование самых передовых технологий производства, которыми в совершенстве владеют лишь иностранные производители.	116:128	0:168	4703	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4704		Узрим бо его лицем к лицу, и якоже есть; а в нем, яко в чистейщем зерцале и протчия вещи все в своих совершенствах.	101:114	0:115	4704	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4705		Владея в совершенстве русским языком, Юстинас Юстинаускас в напряженной обстановке начинал говорить с иностранным акцентом.	9:21	0:123	4705	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4706		Там он надеялся изучить в совершенстве искусство строения военных кораблей.	26:38	0:75	4706	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4707		Нельзя не учитывать и того, что даже при превосходстве в идеях и технологиях российским фирмам порой трудно первенствовать на рынке вооружений, где техническому совершенству и низкой стоимости часто противопоставляется политическое давление.	161:173	0:241	4707	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4708		"Срочнонаемные иноземные мастера, обязывавшиеся обучать русских, делали это неохотно и небрежно и, отжив сроки, уезжали, оставляя ""учеников без совершенства их науки"", возбуждая подозрение, не дают ли они на то присяжного обязательства своим цехам на родине."	145:157	0:257	4708	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4709		Надо отдать Моте должное -- хотя я это делаю уже год, -- то есть додать немного еще: он в совершенстве владел всеми языками на свете, включая несуществующие, в этом он был действительно велик.	90:102	0:192	4709	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4710		Он верил, что где-то существует она -- образец всех совершенств.	52:63	0:64	4710	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4711		Однако современные ученые считают, что совершенству нет предела, и кое-что в композитах хотели бы улучшить.	39:51	0:107	4711	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4712		Изучил их все в таком же совершенстве, в каком знал псалтирь, и долго удивлялся, как это он прожил столько времени и ничего не знал Около этих книжек теснилась некоторое время большая и пестрая группа любителей чтения, в которую входили с одной стороны раскольничий поп Конон и писарь станичного правления Мишаткин, а с другой -- такие голодранцы, как Грач и простодушный мужичок Агафон.	25:37	0:387	4712	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4713		"Для него это мир ""неизменный, строгий, точный, увлекательный для математика, логика, творца метафизических систем и для всех, кто любит совершенство больше жизни."	138:150	0:162	4713	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4714		Нет чувства, нет органа, который нельзя было бы довесть до самого тонкого совершенства в деле.	74:86	0:94	4714	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4715		Особняком стоит собор Спасо-Андроникова монастыря, отличающийся совершенством форм.	64:77	0:83	4715	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4716		За последнее время она сделала такие невероятные, изумительные успехи, что дошла действительно до совершенства.	98:110	0:111	4716	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4717		"В эпоху Ренессанса ""культура"" начинает ассоциироваться с признаками личного совершенства, под которым понималось соответствие некоему идеалу человека, и в этом значении используется вплоть до эпохи Просвещения."	79:91	0:210	4717	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4718		Но род человеческий, вместо стремления к совершенству, с течением времени развратился до того, что чай вовсе потерял силу врачевать душевные недуги и остался лекарством лишь для тела: так еще до сих пор он укрепляет глаза, желудок, возбуждает бодрость, предохраняет от подагры и от каменной болезни.	41:53	0:299	4718	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4719		"""Но все же, -- подумал он, -- дело вовсе не в осо-знанном стремлении природы к совершенству."	81:93	0:92	4719	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4720		Легко убедиться в том, что если современное положительное знание еще далеко от совершенства и если источники нашего познавания способны ввести в заблуждение, то все-таки они неизмеримо способнее руководить нами, чем неопределенные мистические предчувствия.	79:91	0:256	4720	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4721		Сложившаяся система отбора субъектов кредитования, по которой работает большинство коммерческих банков сегодня, во многом далека от совершенства.	132:144	0:145	4721	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4722		Совершенство, т. е. полнота добра, или единство добра и блага, выражается в трех видах: 1) безусловно сущее, вечно действительное совершенство -- в Боге; 2) потенциальное -- в человеческом сознании, вмещающем в себе абсолютную полноту бытия как идею, и в человеческой воле, ставящей ее как идеал и норму для себя; наконец, 3) в действительном осуществлении совершенства или в историческом процессе совершенствования.	0:12	0:416	4722	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4723		Эта машина инициирует путешествие, как некая внешняя сила, прочерчивающая в мире, практически достигшем совершенства, линию разлома, трещину, в которой заложен его будущий крах.	104:116	0:177	4723	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4724		О сем лучше, вразумительнее и обстоятельнее изъяснили законодатели, не мечтательное блаженство людям обещающие, но ощутительным образом благоразумнейшими и человеколюбивейшими установлениями оное творящие; и если бы он прочел Наказ ее императорского величества всероссийской монархини великия Екатерины, данный Комиссии о сочинении проекта нового уложения, то нашел бы в 9 главе, что сие рассуждение и польза, происходящая от оного, в совершенстве истолкована.	435:447	0:460	4724	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4725		"Как проявление потребности в самосовершенствовании и достижении мы обозначили те суждения, в которых выражено желание добиться высших результатов в своей деятельности, стремление к овладению профессиональным мастерством, желание самосовершенствования (""стать виртуозом"", ""стремиться к совершенству"", ""успешно окончить училище"")."	289:301	0:328	4725	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4726		Наступил золотой век подражателей-словесников, у которых была одна незыблемая вера -- в недосягаемое совершенство прозы Цицерона и стихов Вергилия.	101:113	0:147	4726	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4727		А искусством убеждать собеседников, заставлять их слушать себя и очаровывать этот человек владел в совершенстве.	99:111	0:112	4727	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4728		Но это, это последнее твое письмо -- это верх совершенства!	46:58	0:59	4728	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4729		И кто же прав: те деды-всеведы, которые знают, что Леонардо Ди Каприо -- хорошенький мальчик из богемной семьи, довольно артистичный, но столь же далекий от какого бы то ни было совершенства, как и мы с вами, возведенный безумной человеческой мечтой, алчущей зримых кумиров, в ранг Принца Человечества, или чистые наивные глаза девочек, отдающих первое золото сердца прекрасному миражу Ведь любовь, которую вызывает принц Лео, лишь в незначительной степени возвращается к нему.	178:190	0:477	4729	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4730		Тут могли бы они видеть, как языки составляются и приходят в совершенство {Есть много охотников отыскивать происхождения слов, но, сколь это дело трудно и часто невозможно, я приведу примеры: теперь у сандвичан вошло в язык множество английских слов, которые они, однако ж, совсем не так произносят, как англичане, следственно, чрез несколько веков нельзя будет различить, какие слова взяты из английского языка и какие их собственные, например кому бы пришло в голову, что кортар и доктор -- одно и то же слово; фаэ и фаир (пали) также одно!	61:73	0:542	4730	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4731		Наконец, некоторых губит излишнее стремление к совершенству; они хотят как можно полнее охватить вопрос, но так и не добираются до сути.	47:59	0:136	4731	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4732		Ихъ твореня, подобно алмазамъ, бросаютъ отъ себя тысячи лучей, но чтобы вкусить ихъ красоту, надо въ совершенств понимать ихъ языкъ, а совершенства можетъ достигнуть только тотъ, кто языки Арабскй и Персидскй знаетъ какъ родной.	101:112	0:228	4732	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4733		Замысел Фауста, управляющий событиями третьего акта, весьма прозрачен: чтобы достичь искомого совершенства в здешнем мире, ему нужно соединить два духовный мира, античный и новоевропейский, или, как он его называет, северный мир (мир в каком-то смысле готико-романтический).	94:106	0:274	4733	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4734		Кто похвастает совершенством Думаю, однако, что в самых поползновениях человеческих есть свое различие, и когда уже человеку не дано быть целомудренным во всем, то отличим, по крайней мере, и в осуждениях наших того, кто разборчивее другого в своих слабостях.	15:28	0:259	4734	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4735		Сверхзадача того и другого -- физическое и духовное совершенство.	52:64	0:65	4735	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4736		Но прямо любящй Тебя и славу Твою скажетъ: Государь! терпть вредныя послдствя сдланной ошибки, опасаясь объявленемъ оной открыть свое непредусмотрне, есть по многимъ причинамъ неправильное о слав своей попечене: 1-е, симъ поступкомъ покажешь Ты, что уподобляешь себя Богу, не могущему погршить, между тмъ какъ всякой знаетъ, что ни въ комъ изъ смертныхъ нтъ совершенства; 2-е, давать насажденному злу къ общему всхъ вреду укореняться и расти для того только, чтобъ не изобличить себя въ ошибк, есть самолюбю своему жертвовать народнымъ благомъ; 3-е, вс и безъ объявленя Твоего знаютъ сю ошибку, а потому упорное пребыване Твое въ оной не закроетъ ее отъ глазъ людскихъ, но только покажетъ, что Ты любишь себя больше, нежели общее благо.	358:370	0:736	4736	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4737		Как жаль ей дробить это природное совершенство.	34:46	0:47	4737	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4738		"""Неужели въ продолжене семнадцати лтъ, нельзя было прискать ничего новаго, хорошаго для исправленя и пополненя столь важной книги, какова грамматика Неужели въ си 17 лтъ русскй языкъ ни въ теори своей, ни въ практик, не сдлалъ ни малйшаго шага Или полагаютъ, что первое издане сей грамматики было non plus ultra совершенства, въ которому нечего прибавить, въ которомъ нечего перемнить"" Академя могла бы отвчать на подобные сему вопросы, но не такому журналисту, который самыми разсужденями своими показываетъ, что онъ не пойметъ ея отвтовъ; ибо, по всему видимому, не въ знани языка сдлалъ шаги, а только въ дерзости, поелику, не довольствуясь первыми въ оной порывами, простираетъ ихъ дале, продолжая въ непристойныхъ выраженяхъ изливать на академю слдующя хулы, брани, укоризны, насмшки и восклицаня, досел никмъ не дланныя и ни мало ею не заслуженныя: ""Чмъ ближе метода ученя къ математической, тмъ она совершенне."	314:326	0:917	4738	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4739		Встретим 7 ноября на www.kpss.ru Сайт www.kpss.ru отличается исключительным виртуальным совершенством.	88:101	0:102	4739	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4740		-- Поскольку вы сами поэт, я не думаю, чтобы вам было полезно изучить мертвый язык до такого совершенства, чтобы его обороты речи и формы, в которые обращается мысль, вливались у вас, хотя бы бессознательно, в живой язык, на котором вы пишете.	93:105	0:243	4740	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4741		Среди них выделялась супружеская чета Копелиовичей, Льва и Раи, которые вместе знали в совершенстве восемнадцать языков.	87:99	0:120	4741	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4742		Между духовными людьми и то почитается ныне достоинством, если кто умеет читать, и во всей Турецкой земле едва ли сыщется человек десять, знающих греческих писателей в совершенстве.	168:180	0:181	4742	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4743		Несовершенство, а может быть, напротив -- именно совершенство языка в том, что, обходя непроницаемую для слов зону, он указывает на неописуемое.	2:14	0:144	4743	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4744		На пример рождение Иисуса Христа открывает крайнее его к нам снисхождение: страдание доказывает величайшую его к нам любовь: воскресение открывает нам новый к безсмертной славе путь: низпослание Духа Святаго объявляет его о нашем совершенстве попечение: по сему и о прочем разсуждать надлежит.	230:242	0:293	4744	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4745		И задачей Евгения Шабанова было довести до полного совершенства текст президентского выступления.	51:63	0:97	4745	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4746		Но какъ ся болзнь въ Росси, къ великому ея щастю, весьма рдко бывала, такъ, что отъ прежняго вка, сколько извстно, только одно краткое, блаженныя памяти къ Его Величеству Государю Царю и Великому Князю Алексю Михайловичу, ниже сего подъ 119 приложенное, донесене сыскалося, а отъ прошедшей ныншняго вка многократной Турецкой войны въ запискахъ основательное ясное свдне не найдено: то при расположени средствъ къ пресченю сея болзни оставалося установителямъ оныхъ все предпринимать, нимало не медля, по собственному изысканю, и чрезъ опыты до совершенства доходить.	544:556	0:566	4746	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4747		Мисима стремился достичь совершенства, духовного и физического, но в нормах прежней самурайской Японии, не соответствовавших той стране, которую наблюдал вокруг себя.	25:37	0:166	4747	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4748		-- Это здание есть гробница какого-то святого; все оно построено из кирпичей, и кроме шаткости своей не имеет ничего замечательного; -- кажется, что это свойство надо приписать случаю, и скорее к недостатку искусства, чем к совершенству его.	224:236	0:241	4748	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4749		Простота совершенства: первые дни творения.	9:21	0:43	4749	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4750		Сжившись с папуасами, любимый ими, Миклуха несколько раз возвращался в Новую Гвинею и имел таким образом полную возможность изучить в совершенстве и язык туземцев, и их быть, представляющей очень много крайне интересных черт для сравнительной народной психологии.	134:146	0:263	4750	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4751		-- Я вижу лишь один путь к нравственному совершенству, -- продолжал Рабле.	41:53	0:74	4751	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4752		Захотелось искать в совершенстве Жени недостатки, сказать о ней что-нибудь неприятное.	20:32	0:86	4752	rushifteval	ru
совершенство	NOUN	1992	1992-2016	1992-2016_совершенство_4753		Ими в совершенстве владел уже не Чичерин, а Литвинов.	6:18	0:53	4753	rushifteval	ru
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4754		Будущий муж Аглаи должен был быть обладателем всех совершенств и успехов, не говоря уже о богатстве.	51:62	0:100	4754	rushifteval	ru
