lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4936		Совещание судей продолжалось 7 часов, и 9 ноября в часов вечера был вынесен приговор: Панкратов на 20 лет каторжных работ, Борисович -- 12 лет кат. работ, Шебалин -- 12 лет кат. работ, Караулов -- 4 года кат. раб., Васильев -- ссылка на поселение в отдаленные места Сибири, Дашкевич -- не столь отдаленные, Шулепникова -- не столь отдаленные, Шебалина -- в Тобольскую губернию, Дирдовский -- в Олонецкую губ., Степанов, Завадовскийи Затворницкий оправданы.	227:233	0:456	4936	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4937		"Жестокий ""розыгрыш"" Еженедельник ""Профиль"" со ссылкой на высокопоставленное лицо из администрации президента сообщает: ""Михалков -- это розыгрыш Березовского, розыгрыш президентской семьи."	51:58	0:188	4937	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4938		Государственный Совет нашел, что в преступлениях такой важности и Сенату и самому Совету следует присуждать наказание по всей строгости законов, а смягчение может зависеть единственно от монаршего милосердия; почему, с прописанием впрочем и всех этих рассуждений, представил заключение о ссылке того крестьянина в каторгу.	288:294	0:322	4938	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4939		Ссылку с картинкой не нашла, поэтому сфотографировала свой :-).	0:6	0:63	4939	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4940		"Он жил тогда в административной ссылке в одном из северо-восточных городов Европейской России, но соглашался уехать за границу, если ему дадут средства для органа вроде герценовского ""Колокола"", прекратившегося после смерти Герцена."	33:39	0:232	4940	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4941		"Без этого они не смогут предложить клиентам свои услуги, сообщила радиостанция ""Свобода -- Свободная Европа"" со ссылкой на алма-атинский еженедельник ""Деловая неделя""."	115:122	0:167	4941	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4942		Наталья Борисовна, непреклонно утвердясь в любви к жениху, в повиновении жестокому року, решилась делить с ним всю строгость ссылки, отказалась от всех предлагаемых ей почестей и последовала мужу, сердцем ее избранному, до сибирских узилищ.	125:131	0:240	4942	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4943		Ссылки на них собраны на сайте http://www.ewriting.narod.ru [17] в разделе Ресурсы.	0:6	0:83	4943	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4944		Стоит только прочесть первые прошения тяжущихся сторон, по которым началась тяжба; потом первое следствие или решение присутственного места, далее апелляционную жалобу, решение второй инстанции, поверить ссылки на законы -- и вы дома.	204:210	0:234	4944	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4945		Общеизвестна история Сергея Волконского, который в Сибири ходил в крестьянской одежке и не интересовался ничем, кроме сельского хозяйства, а вернувшись из ссылки, переоделся во фрак, вспомнил французский язык и напрочь утратил свои крестьянские интересы.	155:161	0:254	4945	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4946		О ссылке западноевропейской и русской, и в частности о женском вопросе, см. у проф.	2:8	0:83	4946	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4947		Ссылку на отсутствие возможностей своевременной подготовки и закладки семенного материала на хранение нельзя считать обоснованной.	0:6	0:130	4947	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4948		В приказе есть ссылка на какую-то записку, в которой весьма резко говорится о разных форменных и официальных лжах.	15:21	0:114	4948	rushifteval	ru
ссылка	NOUN	1992	1992-2016	1992-2016_ссылка_4949		С отбытием последних католических гостей мы вступали в полосу консультаций, которые, как я, хоть и не вполне ясно, представляла, должны были закончиться одним из двух: либо, при определенных выполненных условиях, возведением владыки Николая, либо -- его почетной ссылкой.	263:270	0:271	4949	rushifteval	ru
ссылка	NOUN	1700	1700-1916	1700-1916_ссылка_4950		Доводы против новшеств подтверждаются ссылками на Стоглав и Служебник.	38:46	0:70	4950	rushifteval	ru
