identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_стипендия_5066-16	1992-2016_стипендия_5067-16	0	4		стипендия
1700-1916_стипендия_5062-16	1992-2016_стипендия_5063-16	0	2		стипендия
1700-1916_стипендия_5058-16	1992-2016_стипендия_5059-16	0	4		стипендия
1700-1916_стипендия_5060-16	1992-2016_стипендия_5061-16	0	2		стипендия
1700-1916_стипендия_5056-16	1992-2016_стипендия_5057-16	0	3		стипендия
1700-1916_стипендия_5076-16	1992-2016_стипендия_5077-16	0	4		стипендия
1700-1916_стипендия_5096-16	1992-2016_стипендия_5097-16	0	2		стипендия
1700-1916_стипендия_5108-16	1992-2016_стипендия_5109-16	0	4		стипендия
1700-1916_стипендия_5106-16	1992-2016_стипендия_5107-16	0	4		стипендия
1700-1916_стипендия_5104-16	1992-2016_стипендия_5105-16	0	4		стипендия
1700-1916_стипендия_5112-16	1992-2016_стипендия_5113-16	0	4		стипендия
1700-1916_стипендия_5102-16	1992-2016_стипендия_5103-16	0	3		стипендия
1700-1916_стипендия_5094-16	1992-2016_стипендия_5095-16	0	4		стипендия
1700-1916_стипендия_5078-16	1992-2016_стипендия_5079-16	0	4		стипендия
1700-1916_стипендия_5080-16	1992-2016_стипендия_5081-16	0	4		стипендия
1700-1916_стипендия_5082-16	1992-2016_стипендия_5083-16	0	3		стипендия
1700-1916_стипендия_5084-16	1992-2016_стипендия_5085-16	0	4		стипендия
1700-1916_стипендия_5086-16	1992-2016_стипендия_5087-16	0	3		стипендия
1700-1916_стипендия_5088-16	1992-2016_стипендия_5089-16	0	4		стипендия
1700-1916_стипендия_5090-16	1992-2016_стипендия_5091-16	0	4		стипендия
1700-1916_стипендия_5092-16	1992-2016_стипендия_5093-16	0	4		стипендия
1700-1916_стипендия_5100-16	1992-2016_стипендия_5101-16	0	4		стипендия
1700-1916_стипендия_5114-16	1992-2016_стипендия_5115-16	0	4		стипендия
1700-1916_стипендия_5110-16	1992-2016_стипендия_5111-16	0	3		стипендия
1700-1916_стипендия_5098-16	1992-2016_стипендия_5099-16	0	4		стипендия
1700-1916_стипендия_5068-16	1992-2016_стипендия_5069-16	0	4		стипендия
1700-1916_стипендия_5074-16	1992-2016_стипендия_5075-16	0	4		стипендия
1700-1916_стипендия_5070-16	1992-2016_стипендия_5071-16	0	3		стипендия
1700-1916_стипендия_5072-16	1992-2016_стипендия_5073-16	0	4		стипендия
1700-1916_стипендия_5064-16	1992-2016_стипендия_5065-16	0	4		стипендия
1700-1916_стипендия_5106-16	1992-2016_стипендия_5107-16	1	2		стипендия
1700-1916_стипендия_5104-16	1992-2016_стипендия_5105-16	1	4		стипендия
1700-1916_стипендия_5082-16	1992-2016_стипендия_5083-16	1	4		стипендия
1700-1916_стипендия_5102-16	1992-2016_стипендия_5103-16	1	4		стипендия
1700-1916_стипендия_5090-16	1992-2016_стипендия_5091-16	1	4		стипендия
1700-1916_стипендия_5100-16	1992-2016_стипендия_5101-16	1	4		стипендия
1700-1916_стипендия_5070-16	1992-2016_стипендия_5071-16	1	3		стипендия
1700-1916_стипендия_5098-16	1992-2016_стипендия_5099-16	1	1		стипендия
1700-1916_стипендия_5094-16	1992-2016_стипендия_5095-16	1	3		стипендия
1700-1916_стипендия_5080-16	1992-2016_стипендия_5081-16	1	4		стипендия
1700-1916_стипендия_5092-16	1992-2016_стипендия_5093-16	1	4		стипендия
1700-1916_стипендия_5066-16	1992-2016_стипендия_5067-16	1	2		стипендия
1700-1916_стипендия_5072-16	1992-2016_стипендия_5073-16	1	2		стипендия
1700-1916_стипендия_5114-16	1992-2016_стипендия_5115-16	1	3		стипендия
1700-1916_стипендия_5108-16	1992-2016_стипендия_5109-16	1	4		стипендия
1700-1916_стипендия_5058-16	1992-2016_стипендия_5059-16	1	2		стипендия
1700-1916_стипендия_5112-16	1992-2016_стипендия_5113-16	1	4		стипендия
1700-1916_стипендия_5068-16	1992-2016_стипендия_5069-16	1	4		стипендия
1700-1916_стипендия_5064-16	1992-2016_стипендия_5065-16	1	4		стипендия
1700-1916_стипендия_5110-16	1992-2016_стипендия_5111-16	1	4		стипендия
1700-1916_стипендия_5056-16	1992-2016_стипендия_5057-16	1	4		стипендия
1700-1916_стипендия_5088-16	1992-2016_стипендия_5089-16	1	4		стипендия
1700-1916_стипендия_5084-16	1992-2016_стипендия_5085-16	1	3		стипендия
1700-1916_стипендия_5074-16	1992-2016_стипендия_5075-16	1	4		стипендия
1700-1916_стипендия_5078-16	1992-2016_стипендия_5079-16	1	4		стипендия
1700-1916_стипендия_5060-16	1992-2016_стипендия_5061-16	1	4		стипендия
1700-1916_стипендия_5076-16	1992-2016_стипендия_5077-16	1	4		стипендия
1700-1916_стипендия_5086-16	1992-2016_стипендия_5087-16	1	3		стипендия
1700-1916_стипендия_5096-16	1992-2016_стипендия_5097-16	1	4		стипендия
1700-1916_стипендия_5062-16	1992-2016_стипендия_5063-16	1	4		стипендия
1700-1916_стипендия_5082-16	1992-2016_стипендия_5083-16	2	4		стипендия
1700-1916_стипендия_5064-16	1992-2016_стипендия_5065-16	2	4		стипендия
1700-1916_стипендия_5096-16	1992-2016_стипендия_5097-16	2	4		стипендия
