lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
стипендия	NOUN	1700	1700-1916	1700-1916_стипендия_5056		Рождение стипендии Биржевой комитет сообщает директору технического училища, что в ознаменование столетия Отечественной войны 1812 года мариупольское биржевое о-во постановило вносить ежегодно плату за 5 учеников технического училища из детей бедных рабочих, по выбору биржевого комитета.	9:18	0:288	5056	rushifteval	ru
стипендия	NOUN	1992	1992-2016	1992-2016_стипендия_5057		Продолжаю рассылать письма по различным канадским учреждениям, которые теоретически могли бы мною заинтересоваться и дать какую-нибудь стипендию или грант.	135:144	0:155	5057	rushifteval	ru
стипендия	NOUN	1700	1700-1916	1700-1916_стипендия_5058		"Та бросается в институт, там опять то же: ""Примем, если представите удостоверение областного правления о том, что вам дана стипендия""."	123:132	0:134	5058	rushifteval	ru
стипендия	NOUN	1992	1992-2016	1992-2016_стипендия_5059		Когда Офили исполнилось 24 года, он получил стипендию от Академии, но поехал не в Италию, а в Зимбабве.	44:53	0:103	5059	rushifteval	ru
стипендия	NOUN	1700	1700-1916	1700-1916_стипендия_5060		Зато, бывало, как только придет из Петербурга циркуляр о принятии пожертвований на памятник Феофану Прокоповичу или на стипендию имени генерал-майора Мардария Отчаянного, так тотчас же первая мысль: поскорее дать знать любезновцам!	119:128	0:231	5060	rushifteval	ru
стипендия	NOUN	1992	1992-2016	1992-2016_стипендия_5061		Московские коммунисты поддерживают требования пикетчиков национализировать природные ресурсы России и на этой основе покончить с обнищанием народа, подняв минимальные пенсии, заработок, стипендии до разумного уровня.	186:195	0:216	5061	rushifteval	ru
стипендия	NOUN	1700	1700-1916	1700-1916_стипендия_5062		Та обратилась в донское областное правление с просьбой назначить ей имевшуюся в данный момент свободную стипендию.	104:113	0:114	5062	rushifteval	ru
стипендия	NOUN	1992	1992-2016	1992-2016_стипендия_5063		Из его же бюджета оплачивалось общежитие и выдавалась стипендия, когда наш курс -- первый набор новорожденного филиала -- отправили на год в Москву.	54:63	0:148	5063	rushifteval	ru
стипендия	NOUN	1700	1700-1916	1700-1916_стипендия_5064		Он пожертвует литературному фонду двадцать пять, столько же в пользу высших женских курсов и ежегодно будет давать несколько стипендий студентам и курсисткам.	125:134	0:158	5064	rushifteval	ru
стипендия	NOUN	1992	1992-2016	1992-2016_стипендия_5065		Андрей Каплиев проиграл в Верховном суде дело о размере стипендии.	56:65	0:66	5065	rushifteval	ru
