identifier1	identifier2	annotator	judgment	comment	lemma
5296	5297	0	4		увольнение
5296	5297	1	2		увольнение
5296	5297	2	4		увольнение
5298	5299	0	4		увольнение
5298	5299	1	4		увольнение
5298	5299	2	4		увольнение
5300	5301	0	4		увольнение
5300	5301	1	4		увольнение
5300	5301	2	4		увольнение
5302	5303	0	4		увольнение
5302	5303	1	4		увольнение
5302	5303	2	4		увольнение
5304	5305	0	4		увольнение
5304	5305	1	4		увольнение
5304	5305	2	4		увольнение
5306	5307	0	1		увольнение
5306	5307	1	1		увольнение
5306	5307	2	2		увольнение
5308	5309	0	2		увольнение
5308	5309	1	1		увольнение
5308	5309	2	3		увольнение
5310	5311	0	1		увольнение
5310	5311	1	1		увольнение
5310	5311	2	1		увольнение
5312	5313	0	4		увольнение
5312	5313	1	4		увольнение
5312	5313	2	4		увольнение
5314	5315	0	4		увольнение
5314	5315	1	4		увольнение
5314	5315	2	4		увольнение
5316	5317	0	4		увольнение
5316	5317	1	1		увольнение
5316	5317	2	4		увольнение
5318	5319	0	4		увольнение
5318	5319	1	4		увольнение
5318	5319	2	4		увольнение
5320	5321	0	4		увольнение
5320	5321	1	4		увольнение
5320	5321	2	4		увольнение
5322	5323	0	4		увольнение
5322	5323	1	4		увольнение
5322	5323	2	4		увольнение
5324	5325	0	4		увольнение
5324	5325	1	3		увольнение
5324	5325	2	4		увольнение
5326	5327	0	4		увольнение
5326	5327	1	4		увольнение
5326	5327	2	4		увольнение
5328	5329	0	3		увольнение
5328	5329	1	4		увольнение
5328	5329	2	2		увольнение
5330	5331	0	3		увольнение
5330	5331	1	2		увольнение
5330	5331	2	4		увольнение
5332	5333	0	2		увольнение
5332	5333	1	2		увольнение
5332	5333	2	2		увольнение
5334	5335	0	4		увольнение
5334	5335	1	4		увольнение
5334	5335	2	3		увольнение
5336	5337	0	4		увольнение
5336	5337	1	4		увольнение
5336	5337	2	3		увольнение
5338	5339	0	4		увольнение
5338	5339	1	4		увольнение
5338	5339	2	4		увольнение
5340	5341	0	4		увольнение
5340	5341	1	3		увольнение
5340	5341	2	3		увольнение
5342	5343	0	1		увольнение
5342	5343	1	4		увольнение
5342	5343	2	4		увольнение
5344	5345	0	4		увольнение
5344	5345	1	4		увольнение
5344	5345	2	4		увольнение
5346	5347	0	4		увольнение
5346	5347	1	4		увольнение
5346	5347	2	4		увольнение
5348	5349	0	3		увольнение
5348	5349	1	1		увольнение
5348	5349	2	1		увольнение
5350	5351	0	3		увольнение
5350	5351	1	4		увольнение
5350	5351	2	1		увольнение
5352	5353	0	4		увольнение
5352	5353	1	3		увольнение
5352	5353	2	4		увольнение
5354	5355	0	4		увольнение
5354	5355	1	3		увольнение
5354	5355	2	4		увольнение
