identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_углеводород_5396-16	1992-2016_углеводород_5397-16	0	2		углеводород
1700-1916_углеводород_5402-16	1992-2016_углеводород_5403-16	0	4		углеводород
1700-1916_углеводород_5356-16	1992-2016_углеводород_5357-16	0	4		углеводород
1700-1916_углеводород_5362-16	1992-2016_углеводород_5363-16	0	3		углеводород
1700-1916_углеводород_5414-16	1992-2016_углеводород_5415-16	0	4		углеводород
1700-1916_углеводород_5366-16	1992-2016_углеводород_5367-16	0	4		углеводород
1700-1916_углеводород_5412-16	1992-2016_углеводород_5413-16	0	4		углеводород
1700-1916_углеводород_5394-16	1992-2016_углеводород_5395-16	0	4		углеводород
1700-1916_углеводород_5368-16	1992-2016_углеводород_5369-16	0	4		углеводород
1700-1916_углеводород_5370-16	1992-2016_углеводород_5371-16	0	1		углеводород
1700-1916_углеводород_5360-16	1992-2016_углеводород_5361-16	0	1		углеводород
1700-1916_углеводород_5358-16	1992-2016_углеводород_5359-16	0	4		углеводород
1700-1916_углеводород_5406-16	1992-2016_углеводород_5407-16	0	4		углеводород
1700-1916_углеводород_5364-16	1992-2016_углеводород_5365-16	0	4		углеводород
1700-1916_углеводород_5404-16	1992-2016_углеводород_5405-16	0	4		углеводород
1700-1916_углеводород_5410-16	1992-2016_углеводород_5411-16	0	1		углеводород
1700-1916_углеводород_5388-16	1992-2016_углеводород_5389-16	0	4		углеводород
1700-1916_углеводород_5408-16	1992-2016_углеводород_5409-16	0	4		углеводород
1700-1916_углеводород_5384-16	1992-2016_углеводород_5385-16	0	3		углеводород
1700-1916_углеводород_5376-16	1992-2016_углеводород_5377-16	0	4		углеводород
1700-1916_углеводород_5398-16	1992-2016_углеводород_5399-16	0	4		углеводород
1700-1916_углеводород_5374-16	1992-2016_углеводород_5375-16	0	2		углеводород
1700-1916_углеводород_5400-16	1992-2016_углеводород_5401-16	0	3		углеводород
1700-1916_углеводород_5378-16	1992-2016_углеводород_5379-16	0	4		углеводород
1700-1916_углеводород_5392-16	1992-2016_углеводород_5393-16	0	4		углеводород
1700-1916_углеводород_5372-16	1992-2016_углеводород_5373-16	0	4		углеводород
1700-1916_углеводород_5390-16	1992-2016_углеводород_5391-16	0	4		углеводород
1700-1916_углеводород_5382-16	1992-2016_углеводород_5383-16	0	4		углеводород
1700-1916_углеводород_5380-16	1992-2016_углеводород_5381-16	0	2		углеводород
1700-1916_углеводород_5386-16	1992-2016_углеводород_5387-16	0	4		углеводород
1700-1916_углеводород_5370-16	1992-2016_углеводород_5371-16	1	1		углеводород
1700-1916_углеводород_5368-16	1992-2016_углеводород_5369-16	1	4		углеводород
1700-1916_углеводород_5380-16	1992-2016_углеводород_5381-16	1	4		углеводород
1700-1916_углеводород_5360-16	1992-2016_углеводород_5361-16	1	3		углеводород
1700-1916_углеводород_5364-16	1992-2016_углеводород_5365-16	1	3		углеводород
1700-1916_углеводород_5358-16	1992-2016_углеводород_5359-16	1	3		углеводород
1700-1916_углеводород_5374-16	1992-2016_углеводород_5375-16	1	4		углеводород
1700-1916_углеводород_5384-16	1992-2016_углеводород_5385-16	1	3		углеводород
1700-1916_углеводород_5356-16	1992-2016_углеводород_5357-16	1	4		углеводород
1700-1916_углеводород_5372-16	1992-2016_углеводород_5373-16	1	3		углеводород
1700-1916_углеводород_5382-16	1992-2016_углеводород_5383-16	1	4		углеводород
1700-1916_углеводород_5362-16	1992-2016_углеводород_5363-16	1	2		углеводород
1700-1916_углеводород_5366-16	1992-2016_углеводород_5367-16	1	3		углеводород
1700-1916_углеводород_5378-16	1992-2016_углеводород_5379-16	1	4		углеводород
1700-1916_углеводород_5386-16	1992-2016_углеводород_5387-16	1	4		углеводород
1700-1916_углеводород_5402-16	1992-2016_углеводород_5403-16	1	2		углеводород
1700-1916_углеводород_5376-16	1992-2016_углеводород_5377-16	1	4		углеводород
1700-1916_углеводород_5390-16	1992-2016_углеводород_5391-16	1	4		углеводород
1700-1916_углеводород_5414-16	1992-2016_углеводород_5415-16	1	2		углеводород
1700-1916_углеводород_5392-16	1992-2016_углеводород_5393-16	1	4		углеводород
1700-1916_углеводород_5412-16	1992-2016_углеводород_5413-16	1	4		углеводород
1700-1916_углеводород_5388-16	1992-2016_углеводород_5389-16	1	3		углеводород
1700-1916_углеводород_5394-16	1992-2016_углеводород_5395-16	1	1		углеводород
1700-1916_углеводород_5410-16	1992-2016_углеводород_5411-16	1	1		углеводород
1700-1916_углеводород_5400-16	1992-2016_углеводород_5401-16	1	4		углеводород
1700-1916_углеводород_5408-16	1992-2016_углеводород_5409-16	1	3		углеводород
1700-1916_углеводород_5398-16	1992-2016_углеводород_5399-16	1	1		углеводород
1700-1916_углеводород_5406-16	1992-2016_углеводород_5407-16	1	4		углеводород
1700-1916_углеводород_5396-16	1992-2016_углеводород_5397-16	1	2		углеводород
1700-1916_углеводород_5404-16	1992-2016_углеводород_5405-16	1	4		углеводород
1700-1916_углеводород_5372-16	1992-2016_углеводород_5373-16	2	3		углеводород
1700-1916_углеводород_5394-16	1992-2016_углеводород_5395-16	2	3		углеводород
1700-1916_углеводород_5392-16	1992-2016_углеводород_5393-16	2	4		углеводород
1700-1916_углеводород_5398-16	1992-2016_углеводород_5399-16	2	4		углеводород
1700-1916_углеводород_5378-16	1992-2016_углеводород_5379-16	2	3		углеводород
1700-1916_углеводород_5390-16	1992-2016_углеводород_5391-16	2	4		углеводород
1700-1916_углеводород_5380-16	1992-2016_углеводород_5381-16	2	1		углеводород
1700-1916_углеводород_5388-16	1992-2016_углеводород_5389-16	2	1		углеводород
1700-1916_углеводород_5382-16	1992-2016_углеводород_5383-16	2	4		углеводород
1700-1916_углеводород_5396-16	1992-2016_углеводород_5397-16	2	3		углеводород
1700-1916_углеводород_5376-16	1992-2016_углеводород_5377-16	2	4		углеводород
1700-1916_углеводород_5402-16	1992-2016_углеводород_5403-16	2	4		углеводород
1700-1916_углеводород_5370-16	1992-2016_углеводород_5371-16	2	1		углеводород
1700-1916_углеводород_5404-16	1992-2016_углеводород_5405-16	2	4		углеводород
1700-1916_углеводород_5356-16	1992-2016_углеводород_5357-16	2	1		углеводород
1700-1916_углеводород_5406-16	1992-2016_углеводород_5407-16	2	1		углеводород
1700-1916_углеводород_5358-16	1992-2016_углеводород_5359-16	2	4		углеводород
1700-1916_углеводород_5408-16	1992-2016_углеводород_5409-16	2	4		углеводород
1700-1916_углеводород_5368-16	1992-2016_углеводород_5369-16	2	2		углеводород
1700-1916_углеводород_5410-16	1992-2016_углеводород_5411-16	2	1		углеводород
1700-1916_углеводород_5366-16	1992-2016_углеводород_5367-16	2	4		углеводород
1700-1916_углеводород_5412-16	1992-2016_углеводород_5413-16	2	4		углеводород
1700-1916_углеводород_5364-16	1992-2016_углеводород_5365-16	2	4		углеводород
