identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_уклад_5508-16	1992-2016_уклад_5509-16	0	4		уклад
1700-1916_уклад_5522-16	1992-2016_уклад_5523-16	0	4		уклад
1700-1916_уклад_5524-16	1992-2016_уклад_5525-16	0	4		уклад
1700-1916_уклад_5520-16	1992-2016_уклад_5521-16	0	3		уклад
1700-1916_уклад_5494-16	1992-2016_уклад_5495-16	0	1		уклад
1700-1916_уклад_5532-16	1992-2016_уклад_5533-16	0	1		уклад
1700-1916_уклад_5530-16	1992-2016_уклад_5531-16	0	3		уклад
1700-1916_уклад_5496-16	1992-2016_уклад_5497-16	0	4		уклад
1700-1916_уклад_5516-16	1992-2016_уклад_5517-16	0	4		уклад
1700-1916_уклад_5528-16	1992-2016_уклад_5529-16	0	3		уклад
1700-1916_уклад_5498-16	1992-2016_уклад_5499-16	0	4		уклад
1700-1916_уклад_5534-16	1992-2016_уклад_5535-16	0	4		уклад
1700-1916_уклад_5486-16	1992-2016_уклад_5487-16	0	4		уклад
1700-1916_уклад_5500-16	1992-2016_уклад_5501-16	0	1		уклад
1700-1916_уклад_5482-16	1992-2016_уклад_5483-16	0	4		уклад
1700-1916_уклад_5480-16	1992-2016_уклад_5481-16	0	4		уклад
1700-1916_уклад_5484-16	1992-2016_уклад_5485-16	0	4		уклад
1700-1916_уклад_5478-16	1992-2016_уклад_5479-16	0	3		уклад
1700-1916_уклад_5492-16	1992-2016_уклад_5493-16	0	4		уклад
1700-1916_уклад_5514-16	1992-2016_уклад_5515-16	0	4		уклад
1700-1916_уклад_5518-16	1992-2016_уклад_5519-16	0	4		уклад
1700-1916_уклад_5502-16	1992-2016_уклад_5503-16	0	4		уклад
1700-1916_уклад_5512-16	1992-2016_уклад_5513-16	0	4		уклад
1700-1916_уклад_5488-16	1992-2016_уклад_5489-16	0	4		уклад
1700-1916_уклад_5510-16	1992-2016_уклад_5511-16	0	1		уклад
1700-1916_уклад_5506-16	1992-2016_уклад_5507-16	0	4		уклад
1700-1916_уклад_5490-16	1992-2016_уклад_5491-16	0	3		уклад
1700-1916_уклад_5504-16	1992-2016_уклад_5505-16	0	3		уклад
1700-1916_уклад_5476-16	1992-2016_уклад_5477-16	0	1		уклад
1700-1916_уклад_5526-16	1992-2016_уклад_5527-16	0	3		уклад
1700-1916_уклад_5496-16	1992-2016_уклад_5497-16	1	4		уклад
1700-1916_уклад_5492-16	1992-2016_уклад_5493-16	1	4		уклад
1700-1916_уклад_5510-16	1992-2016_уклад_5511-16	1	1		уклад
1700-1916_уклад_5522-16	1992-2016_уклад_5523-16	1	4		уклад
1700-1916_уклад_5534-16	1992-2016_уклад_5535-16	1	4		уклад
1700-1916_уклад_5498-16	1992-2016_уклад_5499-16	1	4		уклад
1700-1916_уклад_5488-16	1992-2016_уклад_5489-16	1	4		уклад
1700-1916_уклад_5508-16	1992-2016_уклад_5509-16	1	3		уклад
1700-1916_уклад_5532-16	1992-2016_уклад_5533-16	1	1		уклад
1700-1916_уклад_5478-16	1992-2016_уклад_5479-16	1	4		уклад
1700-1916_уклад_5482-16	1992-2016_уклад_5483-16	1	4		уклад
1700-1916_уклад_5490-16	1992-2016_уклад_5491-16	1	4		уклад
1700-1916_уклад_5526-16	1992-2016_уклад_5527-16	1	4		уклад
1700-1916_уклад_5500-16	1992-2016_уклад_5501-16	1	2		уклад
1700-1916_уклад_5486-16	1992-2016_уклад_5487-16	1	3		уклад
1700-1916_уклад_5506-16	1992-2016_уклад_5507-16	1	4		уклад
1700-1916_уклад_5516-16	1992-2016_уклад_5517-16	1	4		уклад
1700-1916_уклад_5484-16	1992-2016_уклад_5485-16	1	4		уклад
1700-1916_уклад_5524-16	1992-2016_уклад_5525-16	1	4		уклад
1700-1916_уклад_5528-16	1992-2016_уклад_5529-16	1	3		уклад
1700-1916_уклад_5494-16	1992-2016_уклад_5495-16	1	4		уклад
1700-1916_уклад_5502-16	1992-2016_уклад_5503-16	1	4		уклад
1700-1916_уклад_5530-16	1992-2016_уклад_5531-16	1	4		уклад
1700-1916_уклад_5520-16	1992-2016_уклад_5521-16	1	4		уклад
1700-1916_уклад_5514-16	1992-2016_уклад_5515-16	1	3		уклад
1700-1916_уклад_5476-16	1992-2016_уклад_5477-16	1	4		уклад
1700-1916_уклад_5518-16	1992-2016_уклад_5519-16	1	4		уклад
1700-1916_уклад_5504-16	1992-2016_уклад_5505-16	1	4		уклад
1700-1916_уклад_5480-16	1992-2016_уклад_5481-16	1	4		уклад
1700-1916_уклад_5512-16	1992-2016_уклад_5513-16	1	2		уклад
1700-1916_уклад_5492-16	1992-2016_уклад_5493-16	2	4		уклад
1700-1916_уклад_5496-16	1992-2016_уклад_5497-16	2	4		уклад
1700-1916_уклад_5490-16	1992-2016_уклад_5491-16	2	2		уклад
1700-1916_уклад_5494-16	1992-2016_уклад_5495-16	2	4		уклад
1700-1916_уклад_5486-16	1992-2016_уклад_5487-16	2	4		уклад
1700-1916_уклад_5488-16	1992-2016_уклад_5489-16	2	3		уклад
1700-1916_уклад_5530-16	1992-2016_уклад_5531-16	2	4		уклад
1700-1916_уклад_5476-16	1992-2016_уклад_5477-16	2	4		уклад
1700-1916_уклад_5510-16	1992-2016_уклад_5511-16	2	3		уклад
1700-1916_уклад_5512-16	1992-2016_уклад_5513-16	2	3		уклад
