lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6046-16		Но утверждают за достоверное, что книг моих не выпустит цензура.	56:63	0:64
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6070-16		Вся печать страны подчинена была зоркой цензуре.	40:47	0:48
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6072-16		Другой характерной чертой в истории нашей цензуры за николаевское время является постоянное вмешательство в цензуру посторонних ведомств, отчасти прямо в силу закона, отчасти в силу господствовавших административных нравов.	42:49	0:223
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6064-16		Цензура относится к нам так себе, во всяком случае злопыхательства нет.	0:7	0:71
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6074-16		Что же я мог отвечать на вопрос иностранца Конечно, я отвечал, что цензура наша существует только по имени, и дозволяется печатать все, что придет в голову.	67:74	0:156
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6048-16		Мы с Катковым не могли придти в себя от недоумения и не знали только, чему удивляться более: цинической ли нелепости всего романа, или явному сообщничеству существующей цензуры с проповедью двоеженства, фальшивых паспортов, преднамеренной проповеди атеизма и анархии со стороны духовного законоучителя, которому такая пропаганда в казенных заведениях тем сподручнее, что он профессор и щит.	169:176	0:390
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6062-16		Впрочем, судя по тому, что ныне печатается, нельзя слишком опасаться меча цензуры.	74:81	0:82
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6044-16		Цензура действует с ожесточением почти диким.	0:7	0:45
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6022-16		По мнению митрополита, цензура совершает великое дело, охраняя интересы государства, церкви и общества.	23:30	0:103
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6020-16		Впрочем, в последствии времени издано было повеление, по которому всякое сочинение, заключавшее в себе более печатного листа, должно было из Сицилии присылаться в главную цензуру в Неаполь.	171:178	0:189
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6060-16		"Здсь 1-е, г. сенаторъ, устраняясь отъ существенныхъ въ дл обстоятельствъ, затмваетъ ихъ посторонними, не принадлежащими къ длу разсказами, увряя, что Поповъ былъ боленъ, что съ полгода не занимался длами, что похалъ изъ Росси 7 Марта 1823 года, и что будто потому о рукописи, поступившей въ цензуру въ начал тогожъ года, не могъ слышать.	292:299	0:338
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6018-16		Не знаю, или лучше сказать не припомню, что говорил Тургенев Ральстону, но когда по возвращении с мельницы мы вошли в гостиную, а Тургенев пошел, не затворяя за собою дверей в соседнюю спальню, помыть руки, Ральстон, вероятно в связи с предшествующим разговором, спросил у меня: строга ли наша цензура Всякий грамотный теперь знает, каковы были тогдашние строгости цензуры и какие прекрасные плоды принесла нам эта цензура.	294:301	0:423
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6016-16		Сводя всё мною сказанное, нахожу, что по отношению ко всем книгам и брошюрам, за исключением, быть может, подлежащих духовной и медицинской цензуре, предварительная цензура должна быть заменена карательною в судебном порядке, с соблюдением точно установленного срока для получения разрешения на выпуск издания из типографии.	140:147	0:324
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6058-16		Право, мне кажется, что даже цензура того времени не пропустила бы ничего подобного.	29:36	0:84
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6066-16		Маленький нажим правительства, кой-какие притеснения по цензуре с журналом (тогда им издавался "Новый Путь") -- и "жертва" уже готова, и пророк уже "вопиет", в гостиной, в салоне, в редакции, отраженно --- в зале Географического общества.	56:63	0:238
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6026-16		Почему русский рабочий мало еще проявляет свою революционную активность по поводу зверского обращения полиции с народом, по поводу травли сектантов, битья крестьян, по поводу безобразий цензуры, истязаний солдат, травли самых невинных культурных начинаний и т. п.	186:193	0:263
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6024-16		Учителю истории платились деньги тоже чрезвычайно исправно; но, по уходе его, мы с Александрой Михайловной историю учили по-своему: брались за книги и зачитывались иногда до глубокой ночи, или, лучше сказать читала Александра Михайловна, потому что она же и держала цензуру.	266:273	0:274
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6028-16		Уже поговаривают в Берлине о запрещении Лейпцигских газет, а в Вене положено около 1000-х штрафа за всякое стихотворение, которое пошлется в Лейпциг без предварительной австрийской цензуры.	181:188	0:189
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6042-16		Первоначально нас свела цензура.	24:31	0:32
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6040-16		Всякая мысль, не прогнанная сквозь цензуру света, не наведенная его лаком, казалась ей преступлением; всякое самобытное чувство -- грехом смертельным.	35:42	0:150
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6050-16		Жаль, если цензура не пропустит "Пахаря"!	11:18	0:41
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6038-16		Посмотрим общие распоряжения по цензуре за это время.	32:39	0:53
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6056-16		Не отдавай в цензуру, прежде чем не сделаешь поправок, какие сделаешь непременно, если поговоришь с опытными людьми.	13:20	0:116
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6052-16		Эта противная книжка протянется до 10 июля (целую неделю будет лежать в цензуре) и еще после этого придется ездить по магазинам и растыкивать ее.	72:79	0:145
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6034-16		В то же время оказалось, что Пушкин лишен права печатать что-либо без разрешения высшего начальства, с дозволения одной обыкновенной цензуры.	133:140	0:141
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6036-16		У них происходит нечто новое: несмотря на существование "бюро цензуры", которое весьма ревностно следит за тем, чтоб писатели не порочили благочестивую жизнь Америки, выходят ужаснейшие книги, вроде недавно переведенного на русский язык романа Синклера Льюиса "Эльмер Гантри".	62:69	0:276
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6032-16		На прессу по отделу театра надет был специальный намордник в виде особой цензуры при ведомстве императорского двора.	73:80	0:116
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6054-16		Мы полагаем, что поэт был благодарен цензуре за недопущение и этой второй редакции.	37:44	0:83
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6030-16		По цензуре он ничего не понимает, кричит только, что в русской литературе пропасть либерализма, особенно в журналах.	3:10	0:116
цензура	NOUN	1700	1700-1916	1700-1916_цензура_6068-16		Привлекая солидные фирмы к делу комитет надеется поставить дело настолько хорошо, чтобы удовлетворить все требования, гарантируя при этом получение частями войск картин, тщательно подвергшихся цензуре.	193:200	0:201
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6059-16		Тогда еще газета выходила по воскресеньям, номер делали в субботу, и цензура в ней была минимальная.	69:76	0:100
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6051-16		Порадовал, что местная цензура пропустила текст Генриха Сапгира к пригласительному билету: Генрих, поскольку этот текст был написан им по моей просьбе, попросил меня найти к нему какой-нибудь эпиграф, какую-нибудь фразу из "Петушков".	23:30	0:234
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6021-16		Предусмотрительный Лебедев долгое время таскал с собой наготове во время многочисленных поездок Хрущева папку из журнала "Новый мир" с версткой запрещенной цензурой повести и в момент одного из припадков хрущевского антисталинизма подсунул ее, так же как мое стихотворение "Наследники Сталина", этому самому спонтанному в мире политику.	156:164	0:336
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6063-16		Это было прекрасное время освобождения от лжи, лицемерия, цензуры, ксенофобии.	58:65	0:78
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6055-16		Обсуждали, разумеется, умопомрачительные спирали советской актуальности: сотеннотысячные митинги и демонстрации за отмену шестой статьи, за изгнание КПСС, а также возникновение новых партий, фактическое крушение цензуры, раздувание войны на Кавказе, личность Горбачева.	212:219	0:269
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6049-16		Именно такие отношения сложились у многих советских писателей, в том числе и у меня лично, -- с цензурой.	96:104	0:105
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6065-16		Хотя написана была без внутренней цензуры, однако раздражали словечки под старый русский язык.	34:41	0:94
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6057-16		Но известны и примеры ужесточения цензуры.	34:41	0:42
цензура	NOUN	1992	1992-2016	1992-2016_цензура_6053-16		И это именно он добился того, что сняли неуча и авантюриста Макарова с поста директора Музея Маяковского, а Воронцова и Колоскова отстранили от курирования Маяковского -- до этого все, что касалось поэта, проходило их цензуру, и Лиля Юрьевна, и мой отец были ими вычеркнуты из литературоведения.	218:225	0:295
