lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
четверть	NOUN	1700	1700-1916	1700-1916_четверть_618-16		Этот энергический припадок, кажется, был не в духе Павла: он, видно, не был похож на тех горячих людей, которые, рассердившись, кричат, колотят стекла, часто бьют своих лакеев и даже жен, если таковые имеются, а потом, через четверть часа, преспокойно курят трубку.	225:233	0:265
четверть	NOUN	1700	1700-1916	1700-1916_четверть_674-16		Отчисляя отсюда почти целую четверть поверхности для возведения жилищ и вообще зданий, на дороги, воды и т. п., все же получим в реальности цифру не менее 56 млн. кв. км пригодной для растительности.	28:36	0:199
четверть	NOUN	1700	1700-1916	1700-1916_четверть_676-16		Часы пронзительно пробили уже несколько четвертей, а Глеба Алексеевича все еще не было.	40:49	0:87
четверть	NOUN	1700	1700-1916	1700-1916_четверть_648-16		Весьма малая часть оных квартирует в крепости, а остальные расставлены по городу и окрестным деревням, по пространству сей крепости, имеющему не более трех четвертей квадратной версты.	156:165	0:184
четверть	NOUN	1700	1700-1916	1700-1916_четверть_622-16		Благодаря почти постоянному присутствию гостей и нашим наездам, водка покупалась в Лопасне четвертями, и это, конечно, было известно в Лопасне и в деревне Мелихово, среди мужиков, которые, как известно, отлично знают, как живут "господа".	91:101	0:238
четверть	NOUN	1700	1700-1916	1700-1916_четверть_624-16		-- Это пустяки, пойдемте, -- и через четверть часа книги были у меня.	37:45	0:69
четверть	NOUN	1700	1700-1916	1700-1916_четверть_626-16		Оставалось только три четверти часа до последнего срока, назначенного Кларой.	22:30	0:77
четверть	NOUN	1700	1700-1916	1700-1916_четверть_628-16		Но Боже, как в душе было далеко от веселья и как томительны были эти последние четверть часа прогулки, когда приходилось говорить обо всем, думая о другом.	79:87	0:155
четверть	NOUN	1700	1700-1916	1700-1916_четверть_672-16		Разговор продолжался еще с четверть часа в том же духе и направлении, после чего Анна Якимовна, в жару разговора выпившая еще три чашки чаю, стала собираться домой, сняла очки, уложила их в футляр и послала в переднюю спросить, пришел ли Максютка проводить ее, и, узнавши, что Максютка тут, встала.	27:35	0:298
четверть	NOUN	1700	1700-1916	1700-1916_четверть_630-16		По истечени четверти часа дверь отворили.	12:20	0:41
четверть	NOUN	1700	1700-1916	1700-1916_четверть_620-16		Правда, прошедший год у нас урожай яровых был очень хороший, а овса -- превосходнейший: у меня, например, хозяйственная десятина, 3200 кв.саж., дала на круг 24 четверти овса, чего еще ни разу не было за 16 лет моего хозяйства; были десятины, которые дали более 35 четвертей.	160:168	0:274
четверть	NOUN	1700	1700-1916	1700-1916_четверть_634-16		28 декабря (четверг) Встали в семь с четвертью, по-видимому, не чувствовали никакой усталости.	37:46	0:94
четверть	NOUN	1700	1700-1916	1700-1916_четверть_646-16		Тогда жители перешли на четверть порции и задержали дани.	24:32	0:57
