lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6336-16		Но как забилось мое сердце, когда я узнал, что в тот же день меня причислили к штабу Суворова.	79:84	0:94
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6320-16		Он пришел сюда, на Самбур, и занемог крепко со всем штабом и домом своим от мала до велика -- доказательство благорастворенного здешнего климата.	52:58	0:145
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6318-16		Получено из штаба известие о заключении перемирия до ратификации мирного договора.	12:17	0:82
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6314-16		Что нового в войсках Их Императорское Высочество Августейший Главнокомандующий войсками гвардии Петербургского военного округа Великий Князь Николай Николаевич, после переезда 3 июля в Красное Село и принятия командования над войсками красносельского лагерного сбора, ежедневно выезжал в поле на занятия войск, в сопровождении начальника штаба округа и лагерного обора, очередного офицера генерального штаба, штаба округа и дежурного адъютанта.	338:343	0:444
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6358-16		И так уж от военных неудач на душе было невесело, а тут еще погода стояла отвратительная; моросивший дождик успел вымочить меня за время переезда от Парадима до зотовского штаба.	172:177	0:178
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6316-16		Пред обедом мы ходили в магазейны английский, часовой, с бронзовыми и мраморными вещами, а вечером в комнатах Главного штаба смотрели освещение газом.	119:124	0:150
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6346-16		Он тотчас потребовал меня в штаб.	28:32	0:33
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6372-16		Кажется, 12-го апреля я, зайдя утром в штаб в отделение генерал-квартирмейстера, узнал, что противник крупными массами перешел на Манычском фронте в наступление, форсировал Маныч и продолжал наступление на Торговую.	39:43	0:215
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6370-16		На 3-й день, т.-е. 15-го числа, прибыл резервный баталион; поселяне, почувствуя несказанную робость, оставили меня в безопасности, спокойно допустили отцу моему, села Маркова дьячку Павлу Константинову, приехавшему погребать меня, взять и везти меня в свой дом, но опасаясь быть в оном, я два дня и две ночи безвыходно провел в церкви, где получив уведомление от старшины села Коломны Мелентия Дмитриева, что поселяне коломенские раскаяваются, что меня не убили, я уехал в штаб деревню Перегино под покровительство командира резервного баталиона г. майора Толмачева, но, получив и здесь уведомление от жены моей, что поселяне, надеясь на измену резерва, готовятся сделать новое нападение на штаб, вынужден был, испрося у г. Толмачева конвой, отправиться к своему отцу в село Маркове.	473:477	0:783
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6368-16		Его имя стало особенно популярным со времени нашей смуты, когда сперва в должности начальника штаба верховного главнокомандующего, а затем главнокомандующего юго-западного фронта, он независимо, смело и твердо подымал голос свой на защиту чести и достоинства родной армии и русского офицерства.	94:99	0:294
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6366-16		Он знал Левашова как полковника генерального штаба и как довольно видную личность в литературе; с Александром Прохоровым его личное знакомство ограничивалось покуда одной встречей.	45:50	0:180
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6364-16		В 9 1/2 приехал в Могилев -- был встречен съехавшимися главнокомандующими и их начальн. штабов.	88:94	0:95
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6362-16		Затем было длинное совещание с вызванными из разных округов офицерами Генерального штаба относительно временных мер к скорейшему, в случае нужды, снабжению войск лошадьми.	83:88	0:171
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6360-16		Один из адъютантов доложил коменданту, что начальник главного штаба неотступно требует от караульного офицера, чтобы тот выпустил Караджу, и грозит, что ему достанется, если он не исполнит этого требования.	62:67	0:206
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6350-16		Вот этот результат: 1) Lamartine 250800 2) Duport (de l"Eure) 245983 3) F. Arago 243640 4) Garnier-Pags 240890 Правительство 5) Marrast 229166 6) Marie 225776 7) Crmieux 210699 8) Branger 204271 Песенник 9) Carnot 195638 министр 10) Bettemont 189252 то же 11) Duvivier 182252 генерал de la garde mobile 12) Lasteyrie 165156 из старой оппозиции 13) Vavin 151003 то же и покровитель поляков 14) Cavaignac 144127 из "National", начальник Алжира 15) Berger 136660 из старой оппозиции и мэр II квартала 16) Pagnerre 136117 из "National", книгопродавец 17) Buchez 135678 основатель "Atelier", католический демократ 18) Carmenin 135 050 памфлетист и редактор декрета о всеобщих выборах 19) Carbon 135045 работник из "Atelier", помощник мэра 20) Caussidier 133779 префект полиции 21) Albert 133 работник из Правительства 22) Wolowsky 132353 экономист старой школы 23) Peupin 132353 из "Atelier", работник 24) Ledru Rollin 131567 член Правительства!! 25) Schmit 124383 ложный работник 26) Flocon 121865 член Правительства!! 27) Lous Blanc 121140 член Правительства!! 28) Recurt 118075 медик из "National" 29) Rerdignier 117290 работник, автор книги "du campagnonage" 30) Bastide 110928 редактор из "National" 31) Cognerel 109934 протестантский пастор 32) Garnon 106747 33) Guinard 106262 начальник штаба национальной гвардии 34) Lamenais 104 871 Из результатов оказалось: Ламартин в качестве главы умеренной партии получил страшное число -- 260 т. голосов, в депутаты вводится старая династическая оппозиция короля Лудвига-Филиппа, из работников принимаются только работники-аристократы "Atelier", допускаются два либеральных священника (Когнерель, Ламенэ), вся социальная партия отстраняется без исключения, даже та умеренная, которой покровительствовал "National" [наконец, члены Правительства], решительно демократическая -- тоже, наконец 4 члена Правительства, представляющие движение, получают обидное меньшинство голосов и, видимо, только из опасения произвести междоусобную войну исключением их, но генерал Куртэ, главноначальствующий национальной гвардией, исключается без милости за одно слово, может быть, им сказанное: "Je veux tre le gnral du peuple".	1289:1294	0:2154
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6352-16		Начальник штаба, которого севастопольцы прозвали за его немецкий формализм и страсть к переписке "бумажным генералом" и "старшим писарем", низенький, прилизанный, не считавший себя вправе даже выразить какое-нибудь свое мнение, -- докладывал главнокомандующему о словах перебежчиков и донесениях с "секретов".	10:15	0:309
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6348-16		В мае встречаюсь под аркою главного штаба с Огрицкою.	36:41	0:53
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6356-16		Движение эшелонов было распределено таким образом: первый эшелон, под начальством генерального штаба подполковника Скобелева, шел, обыкновенно, с 3 до 9 часов утра и с 4 до 8 вечера; второй, начальником которого был генерального штаба подполковник Гродеков, шел с 4 до 8 вечера и с 3 до 9 часов утра; наконец, третий, под начальством генерального штаба подполковника Пожарова шел, как и первый эшелон, с 3 до 9 утра и с 4 до 8 вечера.	95:100	0:434
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6322-16		Начальник штаба флота капитан 1-го ранга Машуков пошел в Керчь на ледоколе "Гайдамак", с ним только что прибывший из Константинополя транспорт "Россия" для принятия части войск с барж, перегруженных до крайности.	10:15	0:212
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6344-16		Кроме того, начальник Главного штаба уведомил губернатора о всемилостивейше назначенной вдове Данилова пожизненной пенсии из государственного казначейства, по сто двадцати рублей в год.	31:36	0:185
штаб	NOUN	1700	1700-1916	1700-1916_штаб_6354-16		Сахарова в главный штаб от 14-го августа На южном фронте 13-го августа наши передовые части и авангарды медленно отходили, задерживаясь, к укрепленным позициям у Аньшанчжана.	19:23	0:174
