identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_юбилей_6450-16	1992-2016_юбилей_6451-16	0	4		юбилей
1700-1916_юбилей_6442-16	1992-2016_юбилей_6443-16	0	4		юбилей
1700-1916_юбилей_6480-16	1992-2016_юбилей_6481-16	0	3		юбилей
1700-1916_юбилей_6460-16	1992-2016_юбилей_6461-16	0	3		юбилей
1700-1916_юбилей_6482-16	1992-2016_юбилей_6483-16	0	4		юбилей
1700-1916_юбилей_6438-16	1992-2016_юбилей_6439-16	0	4		юбилей
1700-1916_юбилей_6484-16	1992-2016_юбилей_6485-16	0	4		юбилей
1700-1916_юбилей_6436-16	1992-2016_юбилей_6437-16	0	4		юбилей
1700-1916_юбилей_6486-16	1992-2016_юбилей_6487-16	0	4		юбилей
1700-1916_юбилей_6434-16	1992-2016_юбилей_6435-16	0	4		юбилей
1700-1916_юбилей_6488-16	1992-2016_юбилей_6489-16	0	4		юбилей
1700-1916_юбилей_6492-16	1992-2016_юбилей_6493-16	0	2		юбилей
1700-1916_юбилей_6490-16	1992-2016_юбилей_6491-16	0	4		юбилей
1700-1916_юбилей_6478-16	1992-2016_юбилей_6479-16	0	3		юбилей
1700-1916_юбилей_6462-16	1992-2016_юбилей_6463-16	0	4		юбилей
1700-1916_юбилей_6446-16	1992-2016_юбилей_6447-16	0	4		юбилей
1700-1916_юбилей_6440-16	1992-2016_юбилей_6441-16	0	4		юбилей
1700-1916_юбилей_6444-16	1992-2016_юбилей_6445-16	0	4		юбилей
1700-1916_юбилей_6452-16	1992-2016_юбилей_6453-16	0	4		юбилей
1700-1916_юбилей_6458-16	1992-2016_юбилей_6459-16	0	4		юбилей
1700-1916_юбилей_6464-16	1992-2016_юбилей_6465-16	0	4		юбилей
1700-1916_юбилей_6470-16	1992-2016_юбилей_6471-16	0	4		юбилей
1700-1916_юбилей_6476-16	1992-2016_юбилей_6477-16	0	4		юбилей
1700-1916_юбилей_6448-16	1992-2016_юбилей_6449-16	0	4		юбилей
1700-1916_юбилей_6454-16	1992-2016_юбилей_6455-16	0	4		юбилей
1700-1916_юбилей_6468-16	1992-2016_юбилей_6469-16	0	3		юбилей
1700-1916_юбилей_6474-16	1992-2016_юбилей_6475-16	0	4		юбилей
1700-1916_юбилей_6466-16	1992-2016_юбилей_6467-16	0	4		юбилей
1700-1916_юбилей_6456-16	1992-2016_юбилей_6457-16	0	4		юбилей
1700-1916_юбилей_6472-16	1992-2016_юбилей_6473-16	0	4		юбилей
1700-1916_юбилей_6438-16	1992-2016_юбилей_6439-16	1	4		юбилей
1700-1916_юбилей_6448-16	1992-2016_юбилей_6449-16	1	4		юбилей
1700-1916_юбилей_6440-16	1992-2016_юбилей_6441-16	1	3		юбилей
1700-1916_юбилей_6450-16	1992-2016_юбилей_6451-16	1	3		юбилей
1700-1916_юбилей_6444-16	1992-2016_юбилей_6445-16	1	4		юбилей
1700-1916_юбилей_6456-16	1992-2016_юбилей_6457-16	1	4		юбилей
1700-1916_юбилей_6436-16	1992-2016_юбилей_6437-16	1	4		юбилей
1700-1916_юбилей_6490-16	1992-2016_юбилей_6491-16	1	4		юбилей
1700-1916_юбилей_6492-16	1992-2016_юбилей_6493-16	1	3		юбилей
1700-1916_юбилей_6454-16	1992-2016_юбилей_6455-16	1	4		юбилей
1700-1916_юбилей_6442-16	1992-2016_юбилей_6443-16	1	4		юбилей
1700-1916_юбилей_6446-16	1992-2016_юбилей_6447-16	1	4		юбилей
1700-1916_юбилей_6458-16	1992-2016_юбилей_6459-16	1	4		юбилей
1700-1916_юбилей_6452-16	1992-2016_юбилей_6453-16	1	4		юбилей
1700-1916_юбилей_6434-16	1992-2016_юбилей_6435-16	1	4		юбилей
1700-1916_юбилей_6460-16	1992-2016_юбилей_6461-16	1	4		юбилей
1700-1916_юбилей_6484-16	1992-2016_юбилей_6485-16	1	4		юбилей
1700-1916_юбилей_6462-16	1992-2016_юбилей_6463-16	1	4		юбилей
1700-1916_юбилей_6464-16	1992-2016_юбилей_6465-16	1	4		юбилей
1700-1916_юбилей_6488-16	1992-2016_юбилей_6489-16	1	4		юбилей
1700-1916_юбилей_6466-16	1992-2016_юбилей_6467-16	1	4		юбилей
1700-1916_юбилей_6486-16	1992-2016_юбилей_6487-16	1	3		юбилей
1700-1916_юбилей_6468-16	1992-2016_юбилей_6469-16	1	4		юбилей
1700-1916_юбилей_6470-16	1992-2016_юбилей_6471-16	1	4		юбилей
1700-1916_юбилей_6482-16	1992-2016_юбилей_6483-16	1	4		юбилей
1700-1916_юбилей_6476-16	1992-2016_юбилей_6477-16	1	4		юбилей
1700-1916_юбилей_6472-16	1992-2016_юбилей_6473-16	1	3		юбилей
1700-1916_юбилей_6480-16	1992-2016_юбилей_6481-16	1	4		юбилей
1700-1916_юбилей_6478-16	1992-2016_юбилей_6479-16	1	4		юбилей
1700-1916_юбилей_6474-16	1992-2016_юбилей_6475-16	1	4		юбилей
1700-1916_юбилей_6472-16	1992-2016_юбилей_6473-16	2	4		юбилей
1700-1916_юбилей_6452-16	1992-2016_юбилей_6453-16	2	3		юбилей
1700-1916_юбилей_6468-16	1992-2016_юбилей_6469-16	2	4		юбилей
1700-1916_юбилей_6474-16	1992-2016_юбилей_6475-16	2	4		юбилей
1700-1916_юбилей_6448-16	1992-2016_юбилей_6449-16	2	4		юбилей
1700-1916_юбилей_6454-16	1992-2016_юбилей_6455-16	2	2		юбилей
1700-1916_юбилей_6446-16	1992-2016_юбилей_6447-16	2	4		юбилей
1700-1916_юбилей_6462-16	1992-2016_юбилей_6463-16	2	4		юбилей
1700-1916_юбилей_6456-16	1992-2016_юбилей_6457-16	2	4		юбилей
1700-1916_юбилей_6470-16	1992-2016_юбилей_6471-16	2	4		юбилей
1700-1916_юбилей_6458-16	1992-2016_юбилей_6459-16	2	4		юбилей
1700-1916_юбилей_6436-16	1992-2016_юбилей_6437-16	2	4		юбилей
1700-1916_юбилей_6444-16	1992-2016_юбилей_6445-16	2	4		юбилей
1700-1916_юбилей_6450-16	1992-2016_юбилей_6451-16	2	3		юбилей
1700-1916_юбилей_6442-16	1992-2016_юбилей_6443-16	2	4		юбилей
1700-1916_юбилей_6460-16	1992-2016_юбилей_6461-16	2	3		юбилей
