lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6434		Остается пожелать, чтобы в день полувекового литературного юбилея г. Суворина этот праздник прошел бы так же удачно, как и торжество в ночь на первое мая.	59:65	0:154	6434	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6435		Не будь юбилея, считает Комиссаров, такую идею вряд ли удалось бы протолкнуть.	8:14	0:78	6435	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6436		Но что еще осталось сделать, дабы потомство наше встретило новые государственные юбилеи с более удовлетворенным и гордым чувством Со стороны и внешнего, и внутреннего благополучия нынешняя Россия (правда, в более огромном масштабе) напоминает Московскую Русь, вышедшую из великой Смуты.	81:87	0:286	6436	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6437		Год Художественного театра Rubric Вернисаж 26 октября 1998 года театралы всего мира будут праздновать 100-летний юбилей Московского художественного театра.	113:119	0:155	6437	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6438		Сегодня, 12-го числа, -- утром торжество по случаю 100-летнего юбилея рождения императора Александра I: в 10 часов утра панихида в Петропавловском соборе; в 1 час -- выход в Зимнем дворце, с войсками и духовенством.	63:69	0:215	6438	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6439		Отряд следопытов побывал в школе N 5 г. Буйнакска, когда там отмечался юбилей героя.	71:77	0:84	6439	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6440		Всё это и еще многое другое мне хотелось вам написать тогда еще, когда я узнал про ваш юбилей, но тогда писать было поздно и, поверите ли, до сих пор не нашел времени.	87:93	0:167	6440	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6441		На сцене была та же лестница, что и на 30-летнем юбилее, и юбиляры должны были по ней спускаться.	49:55	0:97	6441	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6442		Местная еврейская община празднует тысячелетний юбилей со дня основания синагоги, раскопанной несколько сот лет тому назад в горах.	48:54	0:131	6442	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6443		Когда поёт душа У Ларисы Николаевны Васильевой юбилей.	47:53	0:54	6443	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6444		К юбилею Тургенева Орел, 2, VII.	2:8	0:32	6444	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6445		Съезд прошел в особые для Ставропольской епархии дни празднования ее 160-летнего юбилея, под сенью великой святыни Кавказа и всей России -- Моздокского чудотворного образа Пресвятой Богородицы.	81:87	0:193	6445	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6446		Тоже юбилей В.М. Пукришкевича.	5:11	0:30	6446	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6447		Но судьба распорядилась иначе, празднуем их юбилей мы, родные, близкие, знакомые, да и вообще весь культурный гуманитарный мир.	44:50	0:127	6447	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6448		На торжестве по случаю столетнего юбилея присутствовал император, пожаловавший главе фирмы звание министра.	34:40	0:107	6448	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6449		Поздравляем Владимира Владимировича с днем рождения и 30-летним юбилеем шахты, желаем ему крепкого здоровья, дальнейших успехов в труде, счастья и благополучия в жизни.	64:71	0:168	6449	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6450		А днем я насилу дотащился до залы, чтобы принять нескольких казанских профессоров и Кавелина, который пришел, как он говорил, затем, чтобы поблагодарить меня за многое в юбилее, полагая, что это мой подвиг.	170:176	0:206	6450	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6451		О том, что данный конкурс приурочен к юбилею Конституции, в приказе нет ни строчки.	38:44	0:83	6451	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6452		При обыске раненой злоумышленницы были найдены некоторые документы доказывающие, что она прибыла вы Москву по Николаевской железной дороге, а также вырезки из Петербургских газет об отправлении поездов и номер нашей газеты с отчеркнутым известием о предстоящем юбилее госпиталя.	261:267	0:278	6452	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6453		Итак, -- парадоксальный, уникальный, неизменный, дорогой, добрый и глубокоуважаемый Ростислав Янович -- я обнимаю Вас, поздравляю с юбилеем и желаю и впредь оставаться Пляттом.	132:139	0:176	6453	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6454		Вчера слышал рассказы Заблоцкого и Краевского о московском юбилее и московских наших приятелях.	59:65	0:95	6454	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6455		Юбилеи для глав администраций самого разного уровня -- отличный способ повысить свою популярность.	0:6	0:98	6455	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6456		Эскизы и кроки Книжный рынок, как никогда завален в настоящее время всевозможного рода макулатурой, посвященной столетнему юбилею отечественной войны.	123:129	0:150	6456	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6457		А вообще-то какой театр без застолья Премьера -- банкет, 50-й спектакль, 100-й спектакль -- банкет, дорогие гости в зале (а это каждый день!) -- прием, юбилей, гастроли, общая беда, награда -- конечно, застолье!	152:158	0:211	6457	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6458		Вероятно, впрочем, заключительная сцена юбилея произвела на меня сильное впечатление, потому что она некоторое время мешала мне заснуть и потом дала содержание тем сновидениям, которые тревожили меня в последующую ночь.	40:46	0:219	6458	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6459		"Хочу привести слова президента В.В. Путина из его приветствия нашему РГУ в связи с юбилеем: ""Ваш университет -- мощный центр отечественной науки, настоящая кузница кадров для нефтегазовых отраслей российской промышленности."	84:91	0:223	6459	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6460		"Что касается самого издания, то оно было бы лучшим памятником талантливому и оригинальному писателю, в особенности теперь, когда так недалек столетний юбилей ""священной памяти двенадцатого года""."	152:158	0:195	6460	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6461		Следует отметить еще одну характерную черту нашего завлита: Дина Морисовна удачно успевала на все юбилеи, дни рождения, парадные и непарадные застолья, фуршеты и посиделки; если что-нибудь междусобойное затевалось в буфетах, гримерках, мастерских, реквизиторском, бутафорском или других цехах, она с поразительной точностью появлялась в нужное время и в нужном месте.	98:104	0:367	6461	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6462		Больше всего труда стоила мне грамота Московскому университету по случаю столетнего юбилея, который будет праздноваться 12 января следующего года.	84:90	0:146	6462	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6463		"Конечно, официально все питерские достижения были приурочены к предстоящему 300-летию города, которому Оргкомитетом в 2002 г. был установлен статус ""центрального экспонента"" ярмарки, но VI НВЯ ясно показала, что дело не только в грядущем юбилее, Впервые питерские издательства не потерялись на фоне ""крутых московских товарищей"", наоборот, московские издательства со своей кричащей продукцией смотрелись несколько вульгарно на фоне элитной, высокопрофессиональной и качественно сделанной книжной продукции Санкт-Петербурга."	241:247	0:523	6463	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6464		"Такова была воля скончавшегося лорда Балльрофа, который всю свою жизнь посвятил изучению Везувия и еще в текущем году праздновал 40-летний юбилей своих столь опасных научных"" исследований."	140:146	0:188	6464	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6465		Слишком часто в нее упираются, не дожив до первого юбилея.	51:57	0:58	6465	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6466		Король прусский, узнав о юбилее обоих князей, прислал им бриллиантовые знаки к ордену Черного Орла, при собственноручных рескриптах на французском языке, очень лестных и прекрасно написанных.	25:31	0:191	6466	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6467		Комитет строительства архитектуры и градостроительства Пермской области сердечно поздравляет вас с 60-летним юбилеем со дня образования вашего управления 29 сентября 1944 года.	109:116	0:176	6467	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6468		Къ юбилею же и возстановлена часть минной галлереи по направленю капитали бастона изъ колодца бывшаго 12.	3:9	0:105	6468	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6469		Николай Дмитриевич, все Ваши коллеги и редакция газеты сердечно поздравляют Вас с юбилеем!	82:89	0:90	6469	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6470		Они познакомились на юбилее Косицкого и понравились друг другу.	21:27	0:63	6470	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6471		"""Огонек"" поговорил о прошлом и настоящем с ее автором -- Михаилом Горбачевым -- В 2015 году юбилей у нас всех."	95:101	0:110	6471	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6472		На место Александра Михайловича Гедеонова, после двадцатипятилетнего юбилея покинувшего управление театрами, директором был назначен гофмейстер двора великого князя Константина Николаевича, Андрей Иванович Сабуров.	69:75	0:214	6472	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6473		В Министерстве по делам молодежи и туризму РД и ряде других ведомств республики продолжается активная подготовка к празднованию юбилея Победы, и сами ветераны не остаются здесь просто наблюдателями.	128:134	0:198	6473	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6474		Театр и музыка Предполагавшийся сегодня в Литературно-художественном кружке, по случаю юбилея Художественного театра, раут в виду кончины А.П. Ленского отменен. неизвестный.	87:93	0:173	6474	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6475		Два юбилея Сергей ЛЮБИМОВ В последний день сентября Саратовскую область посетила представительная делегация, состоящая из авторов ныне действующей Конституции и членов Конституционного суда.	4:10	0:190	6475	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6476		Все произошло по той же программе, как юбилей Егерского полка.	39:45	0:62	6476	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6477		"""Не бросайте талантливого ребенка, тем более что у нас скоро юбилей, 250-летие"", -призывал Садовничий."	63:69	0:102	6477	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6478		"Потом обратился к нему и Канкрин: ""Что это значит, Сергей Семенович, что Греча нет на юбилее"" Уваров взбесился и пошел с жалобой к Бенкендорфу, называя неявку мою с Булгариным стачкой и бунтом."	88:94	0:193	6478	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6479		МАШГОРОДОК, ВОЗРАСТ ЗРЕЛОСТИ В городской администрации состоялась первая рабочая встреча по подготовке 45-летнего юбилея машгородка.	114:120	0:132	6479	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6480		Сегодня было торжество в Академии наук по случаю 150-летнего юбилея ее существования.	61:67	0:85	6480	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6481		С чем мы подойдем к юбилею Многие эксперты считают, что Российской Федерации нужно и пора создавать систему воздушно-космической обороны.	20:26	0:137	6481	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6482		200-летний юбилей московского военного госпиталя 21-го ноября Московский военный госпиталь торжественно отпраздновал 200-летие своего существования.	11:17	0:148	6482	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6483		"Недавно с большой помпой был отмечен юбилей ""конюшни"", проходивший под девизом ""Пять лет побед!""."	38:44	0:97	6483	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6484		Несмотря на свое пренебрежительное, по-видимому, отношение к юбилею Косицкого и к его заслугам, старый профессор все-таки злобствовал, что Косицкого будут чествовать, а его, Найденова, несмотря на его ученые заслуги, публично не чествовали; юбилей его в прошлом году имел исключительно официальный характер.	241:247	0:307	6484	rushifteval	ru
юбилей	NOUN	1992	1992-2016	1992-2016_юбилей_6485		Всего два с половиной десятилетия отделяют нас от трехсотлетнего юбилея Соликамского ботанического сада -- первого научного учреждения Урала, истока российского научного экологического мировоззрения.	65:71	0:199	6485	rushifteval	ru
юбилей	NOUN	1700	1700-1916	1700-1916_юбилей_6486		"Они далеки от хитроумных ухищрений наших русских ""матерей семейств"", дозволяющих своим дочкам объявлять себя невестами всех состоятельных людей, не исключая и женатых, принимать в этой роли подарки и вещами, и деньгами, чтобы, в конце концов, выдать их за первого встречного, обладающего возможностью совершить с их милой, чуть не справившей свой юбилей в роли невесты, дочкой заграничный вояж."	350:356	0:394	6486	rushifteval	ru
